biobank,cluster,n_publications,rank_cdf_ipf,term_cdf_ipf,cdf_ipf_score,df_score,ipf_score,rank_tfidf,term_tfidf,mean_tfidf_score
Estonian Biobank,5,62,5,humans polymorphism_single_nucleotide,0.627438414,0.161290323,3.890118169,5,polymorphism_single_nucleotide,0.074116001
Estonian Biobank,6,65,1,obesity,1.060985397,0.430769231,2.463001814,1,genetic_loci,0.092126145
Estonian Biobank,6,65,2,body_mass_index,1.02105335,0.476923077,2.140918315,2,body_mass_index,0.079858709
Estonian Biobank,6,65,3,genetic_loci,1.010159657,0.446153846,2.264150955,3,obesity,0.078205366
Estonian Biobank,6,65,4,white_people,0.70604264,0.323076923,2.185370078,4,genomewide_association_study,0.075159418
Estonian Biobank,6,65,5,genetic_loci genomewide_association_study,0.696930612,0.2,3.484653061,5,female,0.058061259
Estonian Biobank,7,133,1,phenotype polymorphism_single_nucleotide,0.569931702,0.218045113,2.613824704,1,polymorphism_single_nucleotide,0.070995891
Estonian Biobank,7,133,2,quantitative_trait_loci,0.547668173,0.233082707,2.349673129,2,genomewide_association_study,0.061787478
Estonian Biobank,7,133,3,polymorphism_single_nucleotide,0.528779043,0.533834586,0.990529757,3,quantitative_trait_loci,0.052300401
Estonian Biobank,7,133,4,phenotype,0.508544277,0.285714286,1.77990497,4,phenotype,0.05032139
Estonian Biobank,7,133,5,animals,0.432227157,0.157894737,2.73743866,5,phenotype polymorphism_single_nucleotide,0.046459431
Estonian Biobank,8,25,1,depressive_disorder_major,1.676433203,0.44,3.810075462,1,risk_factors,0.17178603
Estonian Biobank,8,25,2,polymorphism_single_nucleotide risk_factors,1.643825695,0.44,3.735967489,2,depressive_disorder_major,0.142951732
Estonian Biobank,8,25,3,risk_factors,1.448541303,0.8,1.810676628,3,polymorphism_single_nucleotide risk_factors,0.139357367
Estonian Biobank,8,25,4,depressive_disorder_major genomewide_association_study,0.798196873,0.16,4.988730456,4,genomewide_association_study,0.102632627
Estonian Biobank,8,25,5,genomewide_association_study humans,0.791957169,0.52,1.522994556,5,genomewide_association_study humans,0.097565572
Estonian Biobank,9,66,1,genetics_population,0.819222435,0.242424242,3.379292546,1,genetic_variation,0.06922007
Estonian Biobank,9,66,2,genetic_variation,0.756327888,0.348484848,2.1703322,2,genome_human,0.067084497
Estonian Biobank,9,66,3,genome_human,0.725850751,0.272727273,2.661452753,3,genetics_population,0.063496461
Estonian Biobank,9,66,4,estonia,0.662233357,0.303030303,2.185370078,4,estonia,0.062580543
Estonian Biobank,9,66,5,haplotypes,0.614416827,0.181818182,3.379292546,5,haplotypes,0.047438883
FinnGen,0,165,1,male,1.340042608,0.945454545,1.417352758,1,male,0.137716521
FinnGen,0,165,2,middle_aged,1.10590237,0.509090909,2.172308226,2,female,0.109320697
FinnGen,0,165,3,female male,1.067935682,0.357575758,2.98659979,3,female male,0.088382008
FinnGen,0,165,4,humans male,1.027303323,0.333333333,3.08190997,4,middle_aged,0.087726734
FinnGen,0,165,5,female,0.962801453,0.872727273,1.103209998,5,humans male,0.083592898
FinnGen,1,61,1,causality,2.197121871,0.754098361,2.913574655,1,causality,0.249832499
FinnGen,1,61,2,depressive_disorder_major,1.059871558,0.262295082,4.040760316,2,mendelian_randomization_analysis,0.100134086
FinnGen,1,61,3,genomewide_association_study causality,0.845980765,0.180327869,4.691347881,3,depressive_disorder_major,0.093911291
FinnGen,1,61,4,humans depressive_disorder_major,0.734610977,0.147540984,4.979029954,4,genomewide_association_study causality,0.08062307
FinnGen,1,61,5,depression,0.578088884,0.147540984,3.918157994,5,genomewide_association_study,0.074340124
FinnGen,2,183,1,risk_factors,0.82133169,0.633879781,1.295721546,1,polymorphism_single_nucleotide,0.124152779
FinnGen,2,183,2,polymorphism_single_nucleotide risk_factors,0.812778253,0.262295082,3.098717088,2,risk_factors,0.106622961
FinnGen,2,183,3,humans mendelian_randomization_analysis,0.761668962,0.540983607,1.407933536,3,humans mendelian_randomization_analysis,0.10653391
FinnGen,2,183,4,polymorphism_single_nucleotide,0.723078705,0.879781421,0.821884491,4,mendelian_randomization_analysis,0.093876608
FinnGen,2,183,5,genomewide_association_study polymorphism_single_nucleotide,0.708999849,0.234972678,3.017371449,5,genetic_predisposition_to_disease,0.087880235
FinnGen,3,73,1,pregnancy,2.858766418,1,2.858766418,1,pregnancy,0.240530244
FinnGen,3,73,2,female pregnancy,1.35526668,0.342465753,3.957378707,2,female,0.131429626
FinnGen,3,73,3,diabetes_gestational,1.273116264,0.315068493,4.040760316,3,female pregnancy,0.099438065
FinnGen,3,73,4,preeclampsia,1.217763383,0.301369863,4.040760316,4,diabetes_gestational,0.093966729
FinnGen,3,73,5,female,1.103209998,1,1.103209998,5,humans female,0.088067932
FinnGen,4,47,1,genetic_predisposition_to_disease polymorphism_single_nucleotide,2.019090302,0.553191489,3.649894007,1,autoimmune_diseases,0.195613062
FinnGen,4,47,2,autoimmune_diseases,2.000761529,0.510638298,3.918157994,2,genetic_predisposition_to_disease polymorphism_single_nucleotide,0.18538688
FinnGen,4,47,3,mendelian_randomization_analysis autoimmune_diseases,1.036950944,0.212765957,4.873669438,3,genetic_predisposition_to_disease,0.123841819
FinnGen,4,47,4,genetic_predisposition_to_disease,0.95047875,0.744680851,1.276357178,4,polymorphism_single_nucleotide,0.107464822
FinnGen,4,47,5,humans mendelian_randomization_analysis,0.748900817,0.531914894,1.407933536,5,humans mendelian_randomization_analysis,0.091481857
FinnGen,5,34,1,crohn_disease,3.248817716,0.852941176,3.808958702,1,crohn_disease,0.278349335
FinnGen,5,34,2,colitis_ulcerative,3.219901687,0.852941176,3.77505715,2,inflammatory_bowel_diseases,0.273169682
FinnGen,5,34,3,inflammatory_bowel_diseases,3.170060818,0.882352941,3.592735593,3,colitis_ulcerative,0.264316445
FinnGen,5,34,4,colitis_ulcerative crohn_disease,2.268996762,0.529411765,4.285882774,4,colitis_ulcerative crohn_disease,0.174337542
FinnGen,5,34,5,inflammatory_bowel_diseases colitis_ulcerative,1.317978517,0.264705882,4.979029954,5,inflammatory_bowel_diseases colitis_ulcerative,0.100703517
FinnGen,6,100,1,gastrointestinal_microbiome,2.405569907,1,2.405569907,1,gastrointestinal_microbiome,0.304674334
FinnGen,6,100,2,humans gastrointestinal_microbiome,1.515755082,0.47,3.225010813,2,humans gastrointestinal_microbiome,0.176453436
FinnGen,6,100,3,gastrointestinal_microbiome genomewide_association_study,1.482620498,0.44,3.369592042,3,gastrointestinal_microbiome genomewide_association_study,0.169454875
FinnGen,6,100,4,mendelian_randomization_analysis gastrointestinal_microbiome,1.076050402,0.29,3.710518629,4,mendelian_randomization_analysis gastrointestinal_microbiome,0.117352945
FinnGen,6,100,5,gastrointestinal_microbiome mendelian_randomization_analysis,0.677090488,0.16,4.231815552,5,mendelian_randomization_analysis,0.106944821
FinnGen,7,89,1,humans genomewide_association_study,2.48441261,0.97752809,2.541525544,1,humans genomewide_association_study,0.295184564
FinnGen,7,89,2,genomewide_association_study mendelian_randomization_analysis,1.088630178,0.640449438,1.69979098,2,genomewide_association_study mendelian_randomization_analysis,0.155545328
FinnGen,7,89,3,polymorphism_single_nucleotide,0.313978345,0.382022472,0.821884491,3,genomewide_association_study,0.114687644
FinnGen,7,89,4,telomere,0.310874506,0.06741573,4.611305174,4,mendelian_randomization_analysis,0.083048928
FinnGen,7,89,5,lupus_erythematosus_systemic,0.296876347,0.06741573,4.403665809,5,polymorphism_single_nucleotide,0.053493255
FinnGen,8,456,1,genomewide_association_study mendelian_randomization_analysis,0.380216403,0.223684211,1.69979098,1,genomewide_association_study,0.064554855
FinnGen,8,456,2,polymorphism_single_nucleotide,0.25053058,0.304824561,0.821884491,2,mendelian_randomization_analysis,0.064202538
FinnGen,8,456,3,diabetes_mellitus_type_2,0.242448743,0.094298246,2.571084346,3,genomewide_association_study mendelian_randomization_analysis,0.04392241
FinnGen,8,456,4,genetic_predisposition_to_disease,0.223922312,0.175438596,1.276357178,4,polymorphism_single_nucleotide,0.03691186
FinnGen,8,456,5,genetic_predisposition_to_disease genomewide_association_study,0.206500438,0.074561404,2.769535285,5,genetic_predisposition_to_disease,0.026907582
FinnGen,9,100,1,male female,2.32850703,0.87,2.676444862,1,male female,0.194613719
FinnGen,9,100,2,male,1.389005703,0.98,1.417352758,2,male,0.145307338
FinnGen,9,100,3,middle_aged,1.238215689,0.57,2.172308226,3,female,0.129031244
FinnGen,9,100,4,female,1.103209998,1,1.103209998,4,middle_aged,0.100250229
FinnGen,9,100,5,female middle_aged,0.857894536,0.21,4.085212078,5,humans mendelian_randomization_analysis,0.071553722
Million Veteran Program,0,31,1,united_states_department_of_veterans_affairs,1.190710343,0.419354839,2.839386203,1,alleles,0.089565438
Million Veteran Program,0,31,2,united_states united_states_department_of_veterans_affairs,1.170583995,0.35483871,3.298918532,2,genotype,0.086981283
Million Veteran Program,0,31,3,genotype,1.09911724,0.387096774,2.839386203,3,aged,0.084822978
Million Veteran Program,0,31,4,united_states,0.932314864,0.612903226,1.521145305,4,united_states_department_of_veterans_affairs,0.08382118
Million Veteran Program,0,31,5,aged,0.895638881,0.709677419,1.262036605,5,united_states united_states_department_of_veterans_affairs,0.081480722
Million Veteran Program,1,82,1,genetic_predisposition_to_disease genomewide_association_study,0.758258779,0.426829268,1.776491997,1,genomewide_association_study,0.109424684
Million Veteran Program,1,82,2,phenotype,0.73998478,0.365853659,2.022625066,2,polymorphism_single_nucleotide,0.096587461
Million Veteran Program,1,82,3,genomewide_association_study humans,0.641556397,0.402439024,1.59417044,3,genetic_predisposition_to_disease,0.093188837
Million Veteran Program,1,82,4,genetic_predisposition_to_disease,0.634153063,0.585365854,1.083344816,4,genetic_predisposition_to_disease genomewide_association_study,0.088096673
Million Veteran Program,1,82,5,polymorphism_single_nucleotide,0.622958078,0.609756098,1.021651247,5,genomewide_association_study humans,0.085132617
Million Veteran Program,2,53,1,female humans,0.944060072,0.396226415,2.3826278,1,female humans,0.094205015
Million Veteran Program,2,53,2,humans male,0.737885602,0.471698113,1.564317477,2,male,0.090722052
Million Veteran Program,2,53,3,male middle_aged,0.664024682,0.339622642,1.955183786,3,female,0.086991321
Million Veteran Program,2,53,4,male,0.602220298,0.79245283,0.759944661,4,humans male,0.081595
Million Veteran Program,2,53,5,female,0.598726058,0.716981132,0.835065292,5,veterans,0.067510642
Million Veteran Program,3,28,1,mendelian_randomization_analysis,2.046155564,1,2.046155564,1,mendelian_randomization_analysis,0.212566599
Million Veteran Program,3,28,2,mendelian_randomization_analysis polymorphism_single_nucleotide,1.243300032,0.357142857,3.481240088,2,mendelian_randomization_analysis polymorphism_single_nucleotide,0.105696911
Million Veteran Program,3,28,3,humans mendelian_randomization_analysis,1.058395326,0.285714286,3.704383639,3,genomewide_association_study,0.101116384
Million Veteran Program,3,28,4,triglycerides,0.855442652,0.214285714,3.992065711,4,polymorphism_single_nucleotide,0.094323164
Million Veteran Program,3,28,5,cholesterol_hdl,0.822410364,0.214285714,3.837915032,5,humans mendelian_randomization_analysis,0.087100408
Million Veteran Program,4,37,1,covid19,0.732092953,0.216216216,3.385929909,1,female,0.088595745
Million Veteran Program,4,37,2,male female,0.703812995,0.243243243,2.893453424,2,male,0.079536528
Million Veteran Program,4,37,3,risk_factors,0.682181949,0.540540541,1.262036605,3,risk_factors,0.069477764
Million Veteran Program,4,37,4,female,0.654510634,0.783783784,0.835065292,4,middle_aged,0.067412399
Million Veteran Program,4,37,5,middle_aged,0.653575245,0.540540541,1.209114204,5,covid19,0.066142209
Million Veteran Program,5,9,1,genomics,3.009715474,0.888888889,3.385929909,1,genomics,0.27689128
Million Veteran Program,5,9,2,genomics humans,2.789578247,0.777777778,3.586600604,2,genomics humans,0.261377791
Million Veteran Program,5,9,3,genomewide_association_study genomics,2.319104038,0.555555556,4.174387268,3,genomewide_association_study genomics,0.211844073
Million Veteran Program,5,9,4,epigenesis_genetic,1.56173763,0.333333333,4.68521289,4,epigenesis_genetic,0.112748048
Million Veteran Program,5,9,5,casecontrol_studies cell_cycle_proteins,1.131261777,0.222222222,5.090677997,5,precision_medicine,0.085722798
Million Veteran Program,6,31,1,white_people,1.303601881,0.516129032,2.525728644,1,white_people,0.122541313
Million Veteran Program,6,31,2,stress_disorders_posttraumatic,1.092742825,0.419354839,2.605771352,2,stress_disorders_posttraumatic,0.099498346
Million Veteran Program,6,31,3,veterans white_people,1.010682606,0.290322581,3.481240088,3,multifactorial_inheritance,0.08318793
Million Veteran Program,6,31,4,multifactorial_inheritance,0.857478157,0.35483871,2.416529352,4,veterans white_people,0.081368627
Million Veteran Program,6,31,5,stress_disorders_posttraumatic united_states,0.77265788,0.193548387,3.992065711,5,genomewide_association_study humans,0.078800436
Million Veteran Program,7,21,1,humans veterans,2.196982129,0.714285714,3.075774981,1,humans veterans,0.238323388
Million Veteran Program,7,21,2,aortic_aneurysm_abdominal,1.140590203,0.285714286,3.992065711,2,aortic_aneurysm_abdominal,0.14745406
Million Veteran Program,7,21,3,veterans,0.753043203,0.857142857,0.878550404,3,veterans,0.137719429
Million Veteran Program,7,21,4,brain_injuries_traumatic,0.702526628,0.238095238,2.950611838,4,aortic_aneurysm_abdominal humans,0.062380821
Million Veteran Program,7,21,5,crosssectional_studies,0.585861901,0.19047619,3.075774981,5,brain_injuries_traumatic,0.055385279
Million Veteran Program,8,21,1,incidence,1.612347576,0.476190476,3.385929909,1,incidence,0.113319498
Million Veteran Program,8,21,2,prospective_studies,1.434872866,0.523809524,2.739302744,2,prospective_studies,0.106299696
Million Veteran Program,8,21,3,humans incidence,1.411193767,0.380952381,3.704383639,3,humans incidence,0.093625587
Million Veteran Program,8,21,4,incidence male,1.279305011,0.333333333,3.837915032,4,veterans,0.083111893
Million Veteran Program,8,21,5,risk_assessment,1.124042605,0.380952381,2.950611838,5,incidence male,0.078675779
Million Veteran Program,9,12,1,depressive_disorder_major,2.469589093,0.666666667,3.704383639,1,depressive_disorder_major,0.252654714
Million Veteran Program,9,12,2,suicide_attempted,1.97512578,0.583333333,3.385929909,2,suicide_attempted,0.215403643
Million Veteran Program,9,12,3,suicidal_ideation,1.33068857,0.333333333,3.992065711,3,suicidal_ideation,0.1442414
Million Veteran Program,9,12,4,depressive_disorder_major genomewide_association_study,1.171303223,0.25,4.68521289,4,risk_factors,0.121902995
Million Veteran Program,9,12,5,humans interleukin6,0.848446333,0.166666667,5.090677997,5,humans suicide_attempted,0.095186282
UK Biobank,0,339,1,genotype,3.137373189,1,3.137373189,1,genotype,0.266575146
UK Biobank,0,339,2,genotype humans,2.201604917,0.578171091,3.807877892,2,genotype humans,0.156917058
UK Biobank,0,339,3,genomewide_association_study genotype,1.70963455,0.410029499,4.169540378,3,genomewide_association_study genotype,0.121120426
UK Biobank,0,339,4,phenotype,0.798375691,0.345132743,2.313242387,4,phenotype,0.069096559
UK Biobank,0,339,5,polymorphism_single_nucleotide,0.661101665,0.448377581,1.474430688,5,polymorphism_single_nucleotide,0.066501667
UK Biobank,1,1872,1,biological_specimen_banks,0.515735272,0.409722222,1.258743715,1,biological_specimen_banks,0.074747584
UK Biobank,1,1872,2,united_kingdom,0.359643197,0.387286325,0.928623536,2,united_kingdom,0.058294364
UK Biobank,1,1872,3,animals,0.278117939,0.077991453,3.566005356,3,risk_factors,0.03037943
UK Biobank,1,1872,4,risk_factors,0.222657096,0.200320513,1.111504221,4,animals,0.025735562
UK Biobank,1,1872,5,crosssectional_studies,0.220523516,0.081196581,2.715921202,5,female,0.022817024
UK Biobank,2,207,1,air_pollution,3.636650067,0.971014493,3.745206785,1,air_pollution,0.268040351
UK Biobank,2,207,2,air_pollutants,3.490488311,0.913043478,3.82291577,2,air_pollutants,0.252083472
UK Biobank,2,207,3,particulate_matter,3.402648064,0.888888889,3.827979072,3,particulate_matter,0.243597034
UK Biobank,2,207,4,environmental_exposure,3.240845612,0.859903382,3.768848548,4,environmental_exposure,0.233756399
UK Biobank,2,207,5,nitrogen_dioxide,2.111513157,0.468599034,4.506012614,5,nitrogen_dioxide,0.142922526
UK Biobank,3,640,1,phenotype,1.568667494,0.678125,2.313242387,1,phenotype,0.175965326
UK Biobank,3,640,2,humans genomewide_association_study,0.92799014,0.259375,3.577793312,2,genomewide_association_study,0.138254053
UK Biobank,3,640,3,genomewide_association_study,0.887872064,0.796875,1.114192395,3,polymorphism_single_nucleotide,0.108850884
UK Biobank,3,640,4,polymorphism_single_nucleotide,0.875443221,0.59375,1.474430688,4,humans genomewide_association_study,0.101335044
UK Biobank,3,640,5,phenotype polymorphism_single_nucleotide,0.716424627,0.2015625,3.554354739,5,phenotype polymorphism_single_nucleotide,0.060757719
UK Biobank,4,692,1,genetic_predisposition_to_disease genomewide_association_study,1.950160042,0.697976879,2.794018114,1,genetic_predisposition_to_disease genomewide_association_study,0.16961318
UK Biobank,4,692,2,genomewide_association_study humans,1.603185934,0.719653179,2.227720214,2,genomewide_association_study humans,0.160599051
UK Biobank,4,692,3,genetic_predisposition_to_disease,1.37786886,0.809248555,1.702652234,3,genomewide_association_study,0.143436876
UK Biobank,4,692,4,genomewide_association_study,1.102921662,0.989884393,1.114192395,4,genetic_predisposition_to_disease,0.141427159
UK Biobank,4,692,5,polymorphism_single_nucleotide,0.901277718,0.611271676,1.474430688,5,polymorphism_single_nucleotide,0.09669914
UK Biobank,5,1173,1,mendelian_randomization_analysis,1.60076625,0.991474851,1.614530362,1,mendelian_randomization_analysis,0.20592631
UK Biobank,5,1173,2,humans mendelian_randomization_analysis,0.961545621,0.32054561,2.999715461,2,genomewide_association_study,0.129367946
UK Biobank,5,1173,3,genomewide_association_study,0.88432491,0.79369139,1.114192395,3,polymorphism_single_nucleotide,0.108093508
UK Biobank,5,1173,4,polymorphism_single_nucleotide,0.868569144,0.589087809,1.474430688,4,humans mendelian_randomization_analysis,0.099813017
UK Biobank,5,1173,5,genomewide_association_study mendelian_randomization_analysis,0.674231271,0.181585678,3.713020099,5,genomewide_association_study mendelian_randomization_analysis,0.070588077
UK Biobank,6,839,1,prospective_studies,1.310487292,0.766388558,1.709951536,1,prospective_studies,0.147661881
UK Biobank,6,839,2,risk_factors,0.833296967,0.749702026,1.111504221,2,risk_factors,0.11333772
UK Biobank,6,839,3,cardiovascular_diseases,0.785214356,0.345649583,2.271706362,3,cardiovascular_diseases,0.077116327
UK Biobank,6,839,4,prospective_studies risk_factors,0.754231771,0.231227652,3.26185802,4,biological_specimen_banks,0.065976009
UK Biobank,6,839,5,humans prospective_studies,0.634985919,0.157330155,4.036008985,5,prospective_studies risk_factors,0.0650242
UK Biobank,7,583,1,brain,2.122549134,0.77186964,2.749880323,1,brain,0.200032469
UK Biobank,7,583,2,magnetic_resonance_imaging,2.004558802,0.701543739,2.857353989,2,magnetic_resonance_imaging,0.180760739
UK Biobank,7,583,3,humans magnetic_resonance_imaging,0.962865112,0.233276158,4.127576179,3,humans magnetic_resonance_imaging,0.075195269
UK Biobank,7,583,4,magnetic_resonance_imaging male,0.846744841,0.204116638,4.14833817,4,neuroimaging,0.067201554
UK Biobank,7,583,5,white_matter,0.846298308,0.210977702,4.011316373,5,white_matter,0.066222391
UK Biobank,8,1511,1,male middle_aged,1.223858189,0.67968233,1.800632642,1,male middle_aged,0.103895402
UK Biobank,8,1511,2,adult aged,1.127072676,0.532097948,2.118167678,2,middle_aged,0.097224947
UK Biobank,8,1511,3,female humans,1.010282676,0.477167439,2.117249825,3,male,0.09446471
