disease,n_papers,n_trials,dalys,expected_papers,sii,flags,severity,flag_count,needs_review
Road injuries,279,19743,65.14364666178717,,0.002708723535761237,"['LOW_PAPERS', 'LOW_VS_TRIALS', 'HIGH_TRIALS_LOW_PAPERS', 'HIGH_BURDEN_LOW_PAPERS']",CRITICAL,4,True
Viral skin diseases,33,0,0.0,,0.002121824072673917,['VERY_LOW_PAPERS'],CRITICAL,1,True
Maternal disorders,125,39534,12.314021231347068,,0.001694563077762723,"['LOW_PAPERS', 'LOW_VS_TRIALS', 'HIGH_TRIALS_LOW_PAPERS']",CRITICAL,3,True
Brain and central nervous system cancer,30,100437,8.912595213850375,80000.0,0.002793656662106514,"['VERY_LOW_PAPERS', 'FAR_BELOW_EXPECTED', 'LOW_VS_TRIALS', 'HIGH_TRIALS_LOW_PAPERS']",CRITICAL,4,True
Stomach cancer,4299,100415,22.786633095688547,60000.0,0.0015987837687134743,"['FAR_BELOW_EXPECTED', 'LOW_VS_TRIALS', 'HIGH_BURDEN_LOW_PAPERS']",CRITICAL,3,True
Food-borne trematodiases,42,0,0.0,,0.0037960035260766745,['VERY_LOW_PAPERS'],CRITICAL,1,True
Adverse effects of medical treatment,29,0,0.0,,0.0026956379879266024,['VERY_LOW_PAPERS'],CRITICAL,1,True
Other digestive diseases,38,0,0.0,,0.0017058455850929022,['VERY_LOW_PAPERS'],CRITICAL,1,True
Hypertensive heart disease,1559,12175,25.462184707367495,80000.0,0.0019033121643587947,"['FAR_BELOW_EXPECTED', 'HIGH_BURDEN_LOW_PAPERS']",CRITICAL,2,True
Non-rheumatic valvular heart disease,26,0,0.0,,0.0030303150415420532,['VERY_LOW_PAPERS'],CRITICAL,1,True
Bacterial skin diseases,40,0,0.0,,0.002122263889759779,['VERY_LOW_PAPERS'],CRITICAL,1,True
Atrial fibrillation and flutter,408,4445,8.358893711971431,50000.0,0.0022255266085267067,"['LOW_PAPERS', 'FAR_BELOW_EXPECTED', 'LOW_VS_TRIALS']",CRITICAL,3,True
Conflict and terrorism,26,0,0.0,,0.0029155455995351076,['VERY_LOW_PAPERS'],CRITICAL,1,True
Other musculoskeletal disorders,132,29524,45.17782536783429,,0.0014922380214557052,"['LOW_PAPERS', 'LOW_VS_TRIALS', 'HIGH_TRIALS_LOW_PAPERS', 'HIGH_BURDEN_LOW_PAPERS']",CRITICAL,4,True
Lower respiratory infections,1197,45810,82.53484053909253,50000.0,0.0016816705465316772,"['FAR_BELOW_EXPECTED', 'LOW_VS_TRIALS', 'HIGH_BURDEN_LOW_PAPERS']",CRITICAL,3,True
Intestinal nematode infections,117,44321,1.3816409735708872,,0.002516404492780566,"['LOW_PAPERS', 'LOW_VS_TRIALS', 'HIGH_TRIALS_LOW_PAPERS']",CRITICAL,3,True
Gallbladder and biliary diseases,22,0,0.0,,0.002401270903646946,['VERY_LOW_PAPERS'],CRITICAL,1,True
Neonatal disorders,228,11118,186.36601177438888,,0.0016842216718941927,"['LOW_PAPERS', 'LOW_VS_TRIALS', 'HIGH_TRIALS_LOW_PAPERS', 'HIGH_BURDEN_LOW_PAPERS']",CRITICAL,4,True
"Tracheal, bronchus, and lung cancer",20,101350,46.53627212165932,200000.0,0.004395331256091595,"['VERY_LOW_PAPERS', 'FAR_BELOW_EXPECTED', 'LOW_VS_TRIALS', 'HIGH_TRIALS_LOW_PAPERS', 'HIGH_BURDEN_LOW_PAPERS']",CRITICAL,5,True
