PMID,Year,Cluster
39231257,2024,5
39216831,2024,6
39187811,2024,5
39172543,2024,5
39152716,2024,2
39134147,2024,5
39103647,2024,0
39066726,2024,5
38976479,2024,3
38969684,2024,5
38959048,2024,4
38949781,2024,5
38890378,2024,2
38886608,2024,5
38857864,2024,5
38843839,2024,2
38821558,2024,5
38788860,2024,6
38785764,2024,2
38749656,2024,5
38730536,2024,6
38718130,2024,5
38696263,2024,5
38669848,2024,5
38500034,2024,5
38475739,2024,5
38431799,2024,6
38428566,2024,1
38413941,2024,1
38407830,2024,5
38389223,2024,5
38380516,2024,0
38331796,2024,5
38315173,2024,5
38297216,2024,1
38272215,2024,5
38249632,2024,5
38246843,2024,6
38205626,2024,4
38182036,2024,1
38177409,2024,2
38171007,2024,5
38150521,2024,5
38114583,2024,2
38101152,2024,5
38052687,2024,1
38030421,2024,5
38001522,2023,6
38001075,2023,5
37984892,2023,5
37932809,2023,3
37932687,2023,5
37917629,2023,5
37883726,2023,3
37854792,2023,5
37814158,2024,5
37788254,2023,5
37772799,2024,5
37681982,2023,5
37646173,2023,2
37614148,2023,5
37575628,2022,5
37471273,2023,5
37471272,2023,5
37469269,2023,0
37441777,2023,5
37395662,2023,5
37316492,2023,5
37231974,2023,2
37210495,2023,5
37203699,2023,4
37202423,2023,1
37083889,2023,5
37069152,2023,5
37022188,2023,5
36919278,2023,5
36918537,2023,2
36918465,2023,5
36854077,2023,6
36790430,2023,5
36774516,2023,5
36745605,2023,4
36719510,2023,5
36701266,2023,2
36681081,2023,5
36671522,2023,5
36624344,2023,5
36578078,2022,2
36528816,2024,5
36457067,2022,3
36434585,2022,5
36402112,2022,1
36385137,2022,5
36349831,2023,5
36341765,2023,5
36335192,2022,0
36252166,2022,5
36212116,2022,5
36205922,2022,5
36172648,2022,3
36153021,2022,2
36054527,2023,1
36044299,2022,5
36006053,2022,5
35965314,2022,3
35909968,2022,5
35899481,2022,5
35867623,2022,5
35790903,2022,5
35738385,2022,5
35737523,2022,5
35708143,2022,5
35638817,2022,5
35637425,2022,5
35610370,2022,5
35606784,2022,2
35570576,2023,4
35549752,2022,5
35522911,2022,5
35472059,2022,6
35462851,2022,5
35388538,2022,5
35359238,2022,5
35325007,2022,1
35306521,2022,5
35302613,2022,5
35240378,2022,5
35197002,2022,6
35188453,2022,1
35145307,2022,5
35138264,2022,5
35102306,2022,5
35064520,2023,5
35035346,2021,5
35017663,2022,6
34943984,2021,5
34915846,2021,5
34906974,2022,6
34906477,2022,5
34904952,2021,4
34886133,2021,5
34875136,2022,6
34850838,2021,5
34850831,2021,5
34799703,2022,5
34741103,2021,5
34704921,2021,5
34662869,2021,6
34609793,2022,1
34583020,2022,5
34569714,2022,5
34543095,2021,5
34495756,2022,5
34492150,2021,5
34488317,2021,3
34473285,2021,5
34233244,2021,5
34226482,2021,1
34196502,2021,5
34161860,2021,5
34146660,2021,5
34085867,2021,5
34056937,2022,5
33989357,2021,2
33976138,2021,5
33945303,2021,3
33926227,2021,3
33895331,2021,1
33857251,2021,1
33816330,2021,1
33567219,2021,3
33446240,2021,5
33445703,2021,5
33317529,2020,5
33239105,2020,2
33188398,2020,5
33177758,2020,5
33118846,2020,3
33007198,2020,5
32933512,2020,5
32875630,2020,5
32867859,2020,6
32788145,2020,4
32776937,2020,1
32730258,2020,6
32725224,2020,5
32715776,2020,5
32669382,2020,5
32615197,2020,5
32533681,2020,5
32483195,2020,5
32335796,2020,5
32291086,2020,1
32277851,2020,2
32202927,2020,6
32106221,2020,5
32083951,2020,5
31898525,2020,2
31889767,2019,5
31779558,2019,3
31501475,2020,2
31454810,2019,2
31445249,2019,5
31420373,2020,5
31417545,2019,1
31387660,2020,2
31360723,2019,4
31266570,2019,5
31237056,2020,5
31170018,2019,5
31113372,2019,2
31103399,2019,6
31039166,2019,5
30916181,2019,5
30762907,2019,4
30721924,2019,5
30721457,2019,1
30711217,2019,5
30627083,2018,6
30408231,2019,5
30339674,2018,5
30209973,2018,5
30177073,2018,3
30106222,2018,6
29748851,2018,5
29581049,2018,5
29533092,2018,2
29482536,2018,3
29410084,2018,1
29379948,2018,5
29186155,2017,5
28650970,2017,5
28539069,2018,5
28399922,2017,5
28383545,2017,5
27780076,2016,5
27636104,2016,5
27605022,2016,1
27460141,2016,4
26905784,2016,3
26871866,2016,5
26740506,2016,5
26442513,2015,5
26155799,2015,5
26138992,2015,5
25883404,2015,5
25540974,2015,5
25496340,2015,5
25145346,2014,5
25135908,2014,6
25059247,2014,5
24580118,2014,5
25792214,2014,3
24143865,2013,5
23758476,2013,0
23667249,2014,5
23302519,2013,2
22987824,2013,6
22672471,2012,6
21732822,2011,5
21189494,2010,5
39511865,2024,6
39004109,2024,4
38262770,2024,5
37620119,2023,3
36966315,2023,4
36624143,2023,4
36508462,2022,4
36220873,2022,3
35331410,2022,4
34849976,2022,3
34600518,2021,5
33313899,2021,4
33297865,2021,6
33043366,2021,4
35372952,2020,4
32145261,2020,2
32134444,2020,6
30797598,2019,4
30773988,2019,4
30610202,2020,0
29171014,2018,4
23300414,2012,5
39695714,2024,3
39695566,2024,6
39559555,2024,4
39541584,2024,4
39378367,2024,4
39328053,2024,6
38871437,2024,4
38789442,2024,4
38576119,2024,5
38389329,2024,3
38192107,2024,3
38053109,2023,3
37481540,2023,3
37399677,2023,5
37255344,2023,3
37211597,2023,3
37203739,2023,5
37016478,2023,5
36951637,2024,3
36696162,2023,4
36319979,2022,3
36047277,2022,5
35925243,2022,3
35544440,2022,5
35289370,2022,5
35286521,2022,5
35262495,2022,4
34941540,2021,4
34871428,2022,5
34863191,2021,3
34858924,2021,5
34787769,2022,3
34559060,2021,4
34171963,2021,5
33770108,2021,6
33741681,2022,3
33653311,2021,5
33603197,2021,3
33563268,2021,5
33454728,2021,4
33371915,2021,3
33249421,2021,3
33048326,2020,3
32823317,2020,4
32689995,2020,5
32542622,2020,3
32396907,2020,3
32327712,2020,6
32253255,2020,3
32098907,2020,3
32086443,2020,6
31968383,2020,5
31903508,2020,5
31844175,2020,3
31811014,2020,3
31729900,2020,3
31620872,2019,3
31615491,2019,3
31483250,2019,5
31424540,2020,3
31378129,2019,3
31326931,2019,4
31230513,2019,3
31182655,2019,3
31147625,2019,3
31135699,2019,3
31029262,2019,5
30895751,2019,4
30872326,2019,3
30779308,2019,3
30704418,2019,6
30667086,2019,3
30419920,2018,3
30275112,2019,3
30240342,2018,2
29921618,2018,3
29390947,2018,3
29370748,2018,5
29348694,2018,6
29143655,2017,3
29063669,2019,3
29063527,2017,6
28980135,2017,3
28954475,2017,3
28903729,2017,4
28640237,2018,6
28281147,2018,3
28190457,2017,6
28177781,2017,3
28153006,2017,3
28122615,2017,5
27919386,2017,3
27881091,2016,4
27551001,2017,3
27415017,2016,3
27323645,2016,5
27256132,2016,3
27256123,2016,3
27256119,2016,3
27130428,2016,3
27082668,2016,5
26990222,2016,3
26711415,2015,3
26711413,2015,3
26711411,2015,3
26711410,2015,3
26644426,2016,3
26583683,2016,3
26394267,2015,3
26305759,2015,3
26305757,2015,3
26261999,2015,4
25825819,2015,6
25735479,2015,5
25669218,2015,3
25496153,2014,6
25425352,2014,6
25359560,2015,6
25123746,2014,4
24801761,2015,5
24727618,2014,3
24283583,2013,3
23842533,2013,4
23660530,2014,3
23299918,2013,3
23163223,2012,4
23072321,2012,6
24845044,2012,3
22965048,2012,5
22722690,2012,3
22722687,2012,3
22438108,2012,3
22411865,2012,5
22261761,2012,5
21572889,2011,5
21386873,2011,3
19853341,2010,3
19181887,2009,5
16510336,2006,5
39741269,2024,6
39715278,2024,6
39693409,2024,1
39689273,2024,4
39653777,2024,6
39651649,2024,5
39627772,2024,6
39601636,2024,6
39572783,2024,0
39560198,2024,6
39550435,2024,6
39542477,2024,3
39536393,2024,6
39532214,2024,6
39523384,2024,6
39520911,2024,0
39519533,2024,5
39505858,2024,1
39492579,2024,5
39443723,2024,1
39422784,2024,6
39389599,2024,5
39340776,2024,3
39324397,2024,5
39304655,2024,1
39273499,2024,6
39267056,2024,5
39260412,2024,5
39238191,2024,1
39231094,2024,1
39225381,2024,6
39223976,2024,6
39217651,2024,1
39204870,2024,6
39178994,2024,6
39164641,2024,1
39164464,2024,3
39133244,2024,2
39064694,2024,6
39031379,2024,2
39017997,2024,5
38992789,2024,6
38978111,2024,6
38959173,2024,3
38951643,2024,0
38942746,2024,6
38934512,2024,6
38892680,2024,6
38889167,2024,6
38846084,2024,5
38809553,2024,6
38782943,2024,6
38762090,2024,6
38758462,2024,1
38757665,2024,1
38730343,2024,2
38727677,2024,6
38705835,2024,6
38686954,2024,6
38682281,2024,3
38642570,2024,2
38598228,2024,6
38593780,2024,3
38583779,2024,6
38582094,2024,2
38551161,2024,6
38542718,2024,3
38539016,2024,6
38519469,2024,5
38507016,2024,6
38504981,2024,3
38478133,2024,3
38467587,2024,1
38462610,2024,5
38452721,2024,5
38429741,2024,5
38409502,2024,6
38381161,2024,0
38374256,2024,0
38369719,2024,6
38367182,2024,5
38365589,2024,5
38361437,2024,1
38347632,2024,5
38340285,2024,6
38336614,2024,0
38318504,2023,1
38317237,2024,3
38309755,2024,3
38297030,2024,6
38291304,2024,1
38266555,2024,5
38262085,2024,5
38234123,2024,3
38222374,2023,3
38218434,2024,6
38204417,2024,5
38184734,2024,6
38179710,2024,3
38176737,2024,6
38160283,2024,5
38154103,2023,5
38151182,2024,5
38117513,2024,5
38085061,2024,6
38073256,2024,6
38060463,2023,5
38042969,2023,3
37985486,2024,6
37982439,2024,0
37973425,2024,5
37967073,2023,1
37964750,2023,5
37964359,2023,5
37945903,2023,0
37932343,2023,0
37924948,2024,5
37919141,2023,5
37908181,2023,3
37897866,2023,5
37878590,2024,6
37858075,2023,5
37837526,2023,4
37831014,2024,6
37820945,2024,6
37815156,2024,5
37794186,2023,3
37778454,2023,6
37768647,2024,5
37762582,2023,3
37758482,2023,3
37751759,2023,5
37747194,2023,3
37738239,2023,5
37723198,2023,1
37700254,2023,4
37679034,2023,5
37676847,2023,5
37669985,2023,5
37664985,2023,5
37653613,2023,6
37652020,2023,5
37638657,2024,0
37633920,2023,5
37619665,2024,1
37595761,2023,5
37591787,2023,6
37582815,2023,5
37562195,2023,5
37554051,2023,5
37550605,2023,5
37550530,2023,5
37549530,2023,3
37532801,2023,5
37530747,2023,0
37487555,2023,3
37461124,2023,5
37434025,2024,5
37415668,2023,0
37390377,2023,5
37356206,2023,6
37311464,2023,0
37303941,2021,3
37280243,2023,5
37275857,2023,5
37183816,2023,5
37183448,2023,5
37183395,2023,0
37149800,2023,3
37147718,2023,3
37143403,2023,5
37137303,2023,1
37133223,2023,5
37084979,2023,6
37072018,2023,5
37069442,2023,0
37062152,2023,1
37061351,2023,3
37036129,2023,5
37024597,2023,5
37017830,2023,2
37015072,2023,3
36982561,2023,5
36973633,2023,5
36971839,2023,5
36971448,2023,3
36928603,2023,5
36890420,2023,1
36857861,2023,0
36842352,2023,5
36842216,2023,0
36811574,2023,0
36802703,2023,0
36801148,2023,5
36791419,2023,5
36758346,2023,6
36748180,2023,5
36742319,2023,2
36737789,2023,1
36730760,2023,5
36727839,2023,0
36715683,2023,5
36692622,2023,3
36657087,2023,3
36596347,2023,5
36584672,2023,5
36572909,2022,1
36543923,2023,0
36540001,2023,3
36528340,2023,5
36524772,2023,5
36484476,2023,5
36480766,2023,5
36477530,2022,0
36470968,2022,5
36454274,2022,1
36450222,2022,3
36427627,2023,3
36424608,2022,1
36404298,2022,0
36383614,2022,0
36370491,2022,5
36355346,2023,1
36344838,2022,3
36329793,2022,5
36329022,2022,5
36323789,2022,5
36315916,2022,5
36307545,2022,3
36305857,2023,3
36304472,2022,5
36302863,2022,1
36302445,2022,6
36284205,2023,3
36272974,2022,5
36252619,2023,0
36238242,2022,3
36231176,2022,3
36229913,2022,1
36229581,2022,5
36224396,2022,0
36209129,2022,3
36208176,2023,5
36206625,2022,5
36195647,2022,5
36194903,2022,3
36194178,2022,5
36190732,2022,6
36179463,2022,5
36163213,2022,3
36152635,2022,5
36081304,2022,3
36076200,2022,6
36071172,2022,5
36064688,2022,3
36058001,2022,5
36029480,2022,5
36028821,2022,5
35999846,2022,5
35995794,2022,5
35986965,2022,5
35930257,2023,3
35927151,2022,5
35911719,2022,5
35882101,2022,5
35879192,2022,1
35875865,2023,3
35869555,2022,1
35852389,2022,5
35773546,2022,3
35767050,2022,5
35761793,2022,3
35760239,2022,5
35697829,2022,5
35576468,2022,6
35575846,2022,3
35567574,2022,5
35544468,2022,5
35535623,2022,5
35514209,2022,5
35512072,2022,5
35507966,2023,3
35501119,2023,5
35500836,2022,0
35458116,2022,3
35444173,2022,3
35428611,2022,3
35397229,2022,5
35394406,2022,5
35383530,2022,5
35377214,2023,5
35361730,2022,5
35349659,2022,6
35346416,2022,0
35331411,2022,1
35292802,2022,5
35255713,2022,3
35194191,2022,1
35182688,2022,5
35170067,2022,3
35151425,2022,5
35147251,2022,5
35134646,2022,0
35133889,2023,3
35118908,2022,3
35104449,2022,5
35061657,2022,6
35001159,2022,3
34931483,2022,3
34914499,2021,5
34906514,2022,0
34878723,2022,5
34873324,2022,3
34873266,2021,2
34865855,2022,0
34865148,2022,4
34835076,2021,6
34822762,2022,6
34767757,2021,2
34755244,2021,5
34751492,2022,5
34732537,2022,6
34708495,2021,5
34687733,2021,5
34672108,2021,5
34663939,2021,5
34663935,2021,3
34655528,2021,6
34647126,2021,1
34644529,2021,6
34642841,2021,5
34610247,2021,3
34597274,2021,6
34588209,2021,5
34587216,2021,6
34579168,2021,5
34543871,2021,2
34514615,2021,5
34481456,2021,6
34459047,2021,0
34450420,2021,3
34433626,2021,3
34424534,2022,6
34413139,2021,2
34378841,2022,0
34353130,2023,3
34348410,2021,5
34344910,2021,6
34341450,2021,6
34333552,2021,1
34326469,2021,5
34325683,2021,0
34282405,2021,5
34259831,2021,5
34258712,2021,6
34216325,2022,3
34211457,2021,5
34179951,2021,0
34167926,2021,5
34099924,2021,6
34098400,2021,6
34086673,2021,0
34057996,2022,5
34051771,2021,6
34050765,2021,0
34038146,2021,4
33998685,2021,4
33977357,2021,3
33971972,2021,2
33970413,2021,3
33949807,2021,6
33931075,2021,1
33924139,2021,1
33892407,2021,2
33888095,2021,5
33878186,2022,0
33860443,2022,3
33852959,2021,0
33845693,2022,3
33821745,2021,6
33819484,2021,6
33807714,2021,5
33794315,2021,5
33759313,2021,2
33755160,2021,5
33753722,2021,5
33745059,2021,3
33744940,2021,5
33738883,2021,6
33735910,2021,5
33653294,2021,5
33637952,2021,6
33631543,2021,6
33630765,2021,5
33621267,2021,6
33620764,2021,0
33620596,2021,1
33597721,2021,3
33592239,2021,5
33579769,2021,6
33575699,2021,6
33570639,2021,3
33545035,2021,5
33532862,2021,0
33510147,2021,1
33506766,2020,5
33497356,2021,2
33493007,2021,3
33483446,2021,3
33481645,2021,3
33472890,2021,6
33472089,2021,5
33469137,2021,0
33455880,2021,5
33413813,2021,6
33402119,2021,6
33398198,2021,0
33386398,2021,6
33376744,2020,2
33347879,2021,0
33341879,2021,5
33296265,2021,3
33218850,2021,6
33175565,2020,3
33170024,2020,0
33166379,2021,3
33144568,2020,0
33141063,2021,5
33057820,2021,3
33047901,2020,6
33020649,2020,6
33000275,2020,6
32994050,2020,1
32991738,2021,2
32977748,2020,6
32943495,2020,5
32939321,2020,5
32901105,2020,1
32850593,2020,3
32830648,2020,5
32792008,2020,1
32772113,2020,5
32755821,2020,3
32719002,2020,6
32681593,2020,0
32602268,2020,6
32581211,2020,3
32580138,2020,0
32546565,2021,0
32526625,2020,6
32512508,2020,6
32493608,2020,6
32488253,2020,6
32482234,2020,5
32473645,2020,1
32398863,2020,6
32378640,2020,1
32373223,2020,6
32325946,2020,6
32318716,2020,6
32302515,2020,5
32295625,2020,6
32293362,2020,5
32289442,2020,1
32281895,2020,3
32247041,2020,2
32246291,2020,2
32207985,2020,6
32180758,2020,1
32179180,2020,6
32164959,2020,1
32142217,2020,5
32113706,2020,2
32109421,2020,5
32102900,2020,1
32083487,2020,5
32073412,2020,4
32056172,2020,3
32043910,2020,3
32024821,2020,1
32019550,2020,6
31977235,2020,3
31973566,2020,6
31964786,2020,5
31956070,2020,6
31932949,2020,1
31911640,2020,6
31833811,2019,3
31808923,2019,6
31797645,2020,3
31796895,2021,0
31781887,2020,6
31758549,2020,2
31744064,2019,6
31711507,2019,6
31689000,2020,6
31673082,2019,5
31672760,2019,5
31665216,2020,6
31647824,2019,6
31636452,2019,6
31620934,2020,5
31592524,2020,5
31580706,2019,3
31570195,2020,5
31564435,2019,0
31556699,2019,6
31532041,2019,2
31525280,2020,1
31511532,2019,0
31494049,2019,6
31492767,2020,6
31465545,2020,2
31434914,2019,3
31431620,2019,6
31428099,2019,1
31326317,2019,6
31325501,2019,4
31324937,2020,3
31321888,2019,3
31316790,2019,5
31270165,2019,5
31266387,2019,6
31250731,2019,1
31209416,2019,5
31194579,2019,5
31186007,2019,6
31174452,2019,6
31170806,2019,5
31164008,2019,0
31152163,2019,0
31047008,2019,6
31005972,2019,2
30982469,2019,5
30975989,2019,6
30947297,2019,6
30900145,2019,3
30898364,2019,0
30898102,2019,6
30864686,2019,1
30842574,2021,1
30811542,2019,2
30775382,2019,3
30755160,2019,6
30726831,2019,3
30717773,2019,1
30694319,2019,6
30686769,2019,1
30632609,2019,5
30629588,2019,1
30600410,2019,0
30513248,2019,3
30412858,2018,6
30394189,2018,3
30362817,2018,2
30346136,2018,5
30336701,2019,0
30255797,2018,6
30251587,2019,3
30225832,2018,5
30211778,2018,2
30205414,2018,5
30142704,2018,6
30113239,2018,1
30102551,2018,3
30102236,2018,3
30055613,2018,6
30021846,2018,3
29917119,2019,0
29909979,2019,6
29876651,2018,3
29868916,2018,5
29748182,2018,1
29714649,2018,5
29659828,2018,4
29626450,2018,6
29533868,2018,6
29531354,2018,0
29521943,2018,6
29473504,2017,5
29447406,2018,3
29437488,2018,3
29391382,2018,6
29370377,2018,4
29357838,2018,6
29334632,2018,5
29309628,2018,0
29288237,2018,6
29284292,2018,5
29273807,2018,6
29262808,2017,6
29235571,2018,6
29224780,2018,1
29218905,2018,5
29208638,2018,1
29181702,2018,6
29174804,2018,1
29145885,2017,5
29105743,2018,5
29091326,2018,1
29072696,2017,1
29040543,2018,6
29029636,2017,6
28964907,2017,5
28922617,2017,3
28869591,2017,1
28869590,2017,0
28864117,2017,3
28846118,2017,6
28790411,2017,6
28768734,2017,1
28747168,2017,3
28743036,2017,6
28733441,2017,2
28711986,2017,2
28696069,2017,5
28673354,2017,6
28574760,2017,3
28566333,2017,5
28566218,2017,6
28552196,2017,0
28502013,2017,3
28429832,2017,0
28379727,2017,5
28330491,2017,3
28306399,2017,3
28258397,2017,3
28209224,2017,0
28186126,2017,1
28170288,2017,5
28170055,2018,6
28166213,2017,6
28146470,2017,6
28106247,2017,6
28032715,2017,6
28027327,2016,5
28027104,2017,5
27936342,2016,3
27875525,2016,3
27869479,2016,3
27865361,2016,6
27837552,2016,3
27829394,2016,6
27486995,2016,2
27807750,2016,3
27733530,2016,6
27788586,2017,5
27764781,2017,6
27752113,2016,3
27632229,2016,6
27622547,2016,3
27082785,2016,5
27738994,2017,6
27717399,2016,6
27641504,2016,1
27575023,2016,5
27554584,2017,6
27550725,2016,3
27535360,2016,3
27535334,2016,5
27497240,2016,6
27477083,2017,1
27469064,2016,3
27461108,2016,1
27455348,2016,0
27403896,2016,5
27401242,2016,5
27357108,2016,5
27285759,2016,5
27225129,2016,0
27203439,2016,1
27195705,2016,5
27148435,2016,3
27113056,2017,3
27091807,2016,6
27058463,2016,3
27036030,2016,6
27016411,2016,6
27003550,2016,6
26974007,2016,0
26907767,2016,5
26906701,2016,5
26892698,2016,5
26866580,2016,4
26865648,2016,5
26864360,2016,2
26847235,2016,3
26785043,2016,1
26778693,2016,5
26749252,2016,6
26697911,2015,3
26697908,2015,3
26696571,2015,5
26687816,2016,2
26667417,2016,3
26610472,2015,5
26550921,2016,5
26541751,2016,5
26514206,2016,3
26492224,2015,5
26479558,2015,5
26479555,2015,5
26476723,2015,6
26420620,2015,3
26420618,2015,3
26420614,2015,5
26420611,2015,3
26403782,2015,6
26344441,2015,5
26339997,2015,5
26288839,2015,6
26269204,2015,6
26265036,2015,6
26206728,2015,5
26203078,2015,3
26186169,2015,3
26045509,2017,6
26035013,2015,5
25996355,2015,3
25959800,2017,4
25937514,2015,5
25913285,2015,3
25886171,2015,2
25857298,2015,1
25826113,2015,1
25802843,2015,1
25697106,2015,5
25686047,2015,3
25686046,2015,3
25686039,2015,3
25656021,2015,3
25637035,2015,5
25581047,2015,3
25575525,2015,3
25573920,2015,3
25534822,2015,2
25515230,2015,5
25407005,2015,3
25379629,2014,5
25314610,2014,3
25313427,2014,3
25264586,2014,1
25227145,2015,3
25157428,2014,5
25102856,2015,2
25010756,2014,3
24968918,2014,3
24929994,2015,2
24918606,2014,3
24850092,2013,6
24850089,2013,6
24850088,2013,1
24845592,2013,5
24845591,2013,5
24845589,2013,3
24845431,2013,6
24845429,2013,6
24835369,2013,3
24786321,2014,3
24661208,2014,3
24620772,2014,3
24620768,2014,3
24583392,2014,5
24560520,2014,0
24556734,2014,3
24465403,2014,6
25792219,2014,2
24362270,2014,3
24362266,2014,3
24337181,2014,5
24295191,2013,3
24239448,2015,5
24197135,2014,6
24174912,2013,3
24151018,2014,6
24097068,2013,0
24074187,2013,5
24004821,2013,3
23979958,2013,6
23885460,2013,3
23875796,2013,5
23864136,2013,3
23863988,2013,3
23793759,2013,3
23767138,2013,5
23751030,2013,3
23701512,2013,6
23670264,2013,3
23573534,2013,5
23568484,2013,1
23548156,2013,5
23510980,2013,3
23430290,2013,3
23354611,2013,6
24845137,2012,3
23197820,2012,5
23031272,2012,5
24845043,2012,3
22998582,2012,3
24849885,2012,6
22794246,2012,3
22739075,2012,5
24835067,2012,3
22536972,2012,5
22463865,2012,6
22453029,2012,3
22281780,2012,5
22276394,2011,5
23581021,2012,3
22144705,2012,3
22081359,2012,5
22081339,2012,3
22023257,2012,0
21966258,2011,5
21893874,2011,3
21893827,2011,5
21814798,2011,5
21706184,2011,3
21668860,2011,5
21672893,2011,5
21672889,2011,5
21667462,2011,3
21574153,2011,3
21205714,2011,5
20824442,2010,3
20693620,2010,5
20560026,2010,3
20443953,2010,6
20332270,2010,5
20305037,2010,5
19909513,2009,1
19886990,2009,3
19272145,2009,3
19214109,2009,5
19064549,2008,3
19013897,2008,3
18712392,2008,3
18382258,2008,3
18230036,2008,3
17709966,2007,5
17658443,2007,5
17286540,2007,5
17230202,2007,5
14762216,2004,5
40199286,2024,4
39775791,2024,0
39734228,2024,0
39730427,2024,0
39702642,2024,0
39696687,2024,5
39596552,2024,6
39578299,2024,6
39563277,2024,0
39561769,2024,6
39547964,2024,6
39537649,2024,5
39535783,2024,6
39535614,2024,3
39532885,2024,4
39500877,2024,0
39478586,2024,6
39466536,2024,1
39444292,2024,6
39444118,2024,6
39437264,2024,1
39433797,2024,6
39430240,2024,1
39424414,2024,5
39419296,2024,1
39400419,2024,5
39396498,2024,6
39395265,2024,6
39387315,2024,5
39389016,2024,5
39366729,2024,6
39362880,2024,0
39361723,2024,3
39355646,2024,6
39354109,2024,5
39349773,2024,0
39339711,2024,5
39339005,2024,1
39332415,2024,6
39316441,2024,6
39309428,2024,1
39297878,2024,5
39304265,2024,6
39294559,2024,0
39292459,2024,4
39283896,2024,5
39278973,2024,6
39257908,2024,0
39253075,2024,1
39242755,2024,5
39236878,2024,6
39231251,2024,5
39228094,2024,6
39222903,2024,5
39212933,2024,1
39214992,2024,0
39192232,2024,5
39192095,2024,6
39183478,2024,6
39179767,2024,0
39176479,2024,4
39175234,2024,3
39142818,2024,6
39135062,2024,1
39117878,2024,6
39112992,2024,6
39111972,2024,6
39104886,2024,5
39101570,2024,6
39096911,2024,6
39090803,2024,6
39090361,2024,6
39080328,2024,0
39073225,2024,6
39063004,2024,1
39058572,2024,6
39053458,2024,5
39039282,2024,0
39023470,2024,0
39020067,2024,6
39009591,2024,6
39004962,2024,6
38992046,2024,5
38967053,2024,5
38965592,2024,6
38965433,2024,4
38951853,2024,6
38943497,2024,3
38943244,2024,4
38935877,2024,5
38918381,2024,6
38917428,2024,6
38886662,2024,0
38881341,2024,6
38880235,2024,4
38879526,2024,6
38866963,2024,6
38862028,2024,1
38862027,2024,3
38851890,2024,0
38849509,2024,2
38818903,2024,5
38805227,2024,6
38772848,2024,6
38772745,2024,0
38761890,2024,5
38757301,2024,0
38754433,2024,6
38753886,2024,6
38723657,2024,5
38722288,2024,1
38718314,2024,6
38684639,2024,5
38678364,2024,6
38664597,2024,5
38652884,2024,3
38642556,2024,6
38642551,2024,6
38637779,2024,5
38619103,2024,1
38614075,2024,0
38613554,2024,6
38608873,2024,0
38608311,2024,1
38604166,2024,0
38598574,2024,4
38598551,2024,0
38589364,2024,1
38579329,2024,5
38565542,2024,6
38563611,2024,3
38555716,2024,5
38528394,2024,6
38527285,2024,6
38521193,2024,2
38520909,2024,1
38515211,2024,3
38514308,2024,5
38514307,2024,6
38509709,2024,5
38497983,2024,2
38487849,2024,5
38487346,2024,0
38486050,2024,6
38479499,2024,5
38471288,2024,5
38459814,2024,6
38459615,2024,5
38458846,2024,5
38451475,2024,5
38439091,2024,1
38432677,2024,1
38425181,2024,6
38424111,2024,4
38414064,2024,5
38413668,2024,0
38413437,2024,3
