,Acne_vulgaris,Acute_glomerulonephritis,Acute_hepatitis,Adverse_effects_of_medical_treatment,African_trypanosomiasis,Age-related_and_other_hearing_loss,Alcohol_use_disorders,Alopecia_areata,Alzheimer's_disease_and_other_dementias,Animal_contact,Anxiety_disorders,Aortic_aneurysm,Appendicitis,Asthma,Atrial_fibrillation_and_flutter,Attention-deficit_hyperactivity_disorder,Autism_spectrum_disorders,Bacterial_skin_diseases,Bipolar_disorder,Bladder_cancer,Blindness_and_vision_loss,Brain_and_central_nervous_system_cancer,Breast_cancer,COVID-19,Cardiomyopathy_and_myocarditis,Cervical_cancer,Chagas_disease,Chronic_kidney_disease,Chronic_obstructive_pulmonary_disease,Cirrhosis_and_other_chronic_liver_diseases,Colon_and_rectum_cancer,Conduct_disorder,Conflict_and_terrorism,Congenital_birth_defects,Cystic_echinococcosis,Cysticercosis,Decubitus_ulcer,Dengue,Depressive_disorders,Dermatitis,Diabetes_mellitus,Diarrheal_diseases,Dietary_iron_deficiency,Diphtheria,Drowning,Drug_use_disorders,Eating_disorders,Ebola,Encephalitis,Endocarditis,"Endocrine,_metabolic,_blood,_and_immune_disorders",Environmental_heat_and_cold_exposure,Esophageal_cancer,Exposure_to_forces_of_nature,Exposure_to_mechanical_forces,Eye_cancer,Falls,"Fire,_heat,_and_hot_substances",Food-borne_trematodiases,Foreign_body,Fungal_skin_diseases,Gallbladder_and_biliary_diseases,Gallbladder_and_biliary_tract_cancer,Gout,Guinea_worm_disease,Gynecological_diseases,HIV_AIDS,Headache_disorders,Hemoglobinopathies_and_hemolytic_anemias,Hodgkin_lymphoma,Hypertensive_heart_disease,Idiopathic_developmental_intellectual_disability,Idiopathic_epilepsy,Inflammatory_bowel_disease,"Inguinal,_femoral,_and_abdominal_hernia",Interpersonal_violence,Intestinal_nematode_infections,Invasive_Non-typhoidal_Salmonella_(iNTS),Iodine_deficiency,Ischemic_heart_disease,Kidney_cancer,Larynx_cancer,Leishmaniasis,Leprosy,Leukemia,Lip_and_oral_cavity_cancer,Liver_cancer,Low_back_pain,Lower_extremity_peripheral_arterial_disease,Lower_respiratory_infections,Lymphatic_filariasis,Malaria,Malignant_neoplasm_of_bone_and_articular_cartilage,Malignant_skin_melanoma,Maternal_disorders,Measles,Meningitis,Mesothelioma,Motor_neuron_disease,Multiple_myeloma,Multiple_sclerosis,Nasopharynx_cancer,Neck_pain,Neonatal_disorders,Neuroblastoma_and_other_peripheral_nervous_cell_tumors,Non-Hodgkin_lymphoma,Non-melanoma_skin_cancer,Non-rheumatic_valvular_heart_disease,Onchocerciasis,Oral_disorders,Osteoarthritis,Other_cardiovascular_and_circulatory_diseases,Other_chronic_respiratory_diseases,Other_digestive_diseases,Other_intestinal_infectious_diseases,Other_malignant_neoplasms,Other_mental_disorders,Other_musculoskeletal_disorders,Other_neglected_tropical_diseases,Other_neoplasms,Other_neurological_disorders,Other_nutritional_deficiencies,Other_pharynx_cancer,Other_sense_organ_diseases,Other_skin_and_subcutaneous_diseases,Other_transport_injuries,Other_unintentional_injuries,Other_unspecified_infectious_diseases,Otitis_media,Ovarian_cancer,Pancreatic_cancer,Pancreatitis,Paralytic_ileus_and_intestinal_obstruction,Parkinson's_disease,Pertussis,Pneumoconiosis,Poisonings,Police_conflict_and_executions,Prostate_cancer,Protein-energy_malnutrition,Pruritus,Psoriasis,Pulmonary_Arterial_Hypertension,Rabies,Rheumatic_heart_disease,Rheumatoid_arthritis,Road_injuries,Scabies,Schistosomiasis,Schizophrenia,Self-harm,Sexually_transmitted_infections_excluding_HIV,Soft_tissue_and_other_extraosseous_sarcomas,Stomach_cancer,Stroke,Sudden_infant_death_syndrome,Testicular_cancer,Tetanus,Thyroid_cancer,Tracheal,"Tracheal,_bronchus,_and_lung_cancer",Trachoma,Tuberculosis,Typhoid_and_paratyphoid,Upper_digestive_system_diseases,Upper_respiratory_infections,Urinary_diseases_and_male_infertility,Urticaria,Uterine_cancer,Varicella_and_herpes_zoster,Vascular_intestinal_disorders,Viral_skin_diseases,Vitamin_A_deficiency,Yellow_fever,Zika_virus
Colon_and_rectum_cancer,0.9983588,0.99832535,0.998742,0.9989917,0.99647343,0.9982317,0.99787694,0.9983229,0.9984541,0.99706614,0.99748814,0.99788445,0.9981492,0.9987124,0.9983541,0.9972371,0.9977828,0.99809897,0.99796486,0.9996655,0.9983169,0.9993433,0.99967134,0.997658,0.99865174,0.99946874,0.9971773,0.9988072,0.9986931,0.9991814,0.99999964,0.9959179,0.9964126,0.9984598,0.9972146,0.9971717,0.9983157,0.99735916,0.9983569,0.9986249,0.9990642,0.9990018,0.99879557,0.9981175,0.99754214,0.9979089,0.9982971,0.99653906,0.9980929,0.99765295,0.99938995,0.998288,0.99961436,0.99686587,0.9982862,0.9986047,0.99783695,0.99848163,0.9974961,0.9973303,0.9968982,0.9991866,0.9995034,0.99880004,0.99667925,0.99955255,0.99860245,0.99854624,0.99844295,0.998899,0.9989262,0.9981654,0.99838114,0.9992837,0.9976595,0.996728,0.99723125,0.9974745,0.9977692,0.9987195,0.99947524,0.99921435,0.99704236,0.9975144,0.9990704,0.9994688,0.9996431,0.99811167,0.9989508,0.99868304,0.9966162,0.9975503,0.99909157,0.9994141,0.99861836,0.9978809,0.99823886,0.9992782,0.9983905,0.9989934,0.99862826,0.9995162,0.9979807,0.99881923,0.9989904,0.99878204,0.99964243,0.99796605,0.9963824,0.9989337,0.9985522,0.9990613,0.99889416,0.9997169,0.9990584,0.9996066,0.9982589,0.9989244,0.997866,0.99895984,0.9989472,0.9987713,0.99948215,0.9983734,0.9994353,0.99613017,0.9975851,0.9987318,0.998245,0.99969447,0.99972564,0.9990299,0.99801284,0.998294,0.9983584,0.9985962,0.99858254,0.99584526,0.9995705,0.9983914,0.99866796,0.9987652,0.99872786,0.9974118,0.99825174,0.9989985,0.9974011,0.99701494,0.99780625,0.99808484,0.9974652,0.9984747,0.99918026,0.9996004,0.99889743,0.99799085,0.9989273,0.9981577,0.999267,0.9974978,0.9997109,0.9971869,0.9983753,0.99736744,0.999734,0.9986929,0.9993136,0.9981735,0.9995729,0.9983069,0.99872416,0.99846303,0.99832535,0.9968922,0.9966899
Conduct_disorder,0.9959807,0.9950551,0.9958274,0.9964821,0.9938772,0.9967347,0.9989711,0.9957752,0.99710065,0.995092,0.9992024,0.9946369,0.99493337,0.9969067,0.9955174,0.99943477,0.9986039,0.9954418,0.99870163,0.99556446,0.99647003,0.99586993,0.996233,0.99644077,0.99575746,0.99613786,0.9944576,0.99609995,0.9964439,0.9958856,0.9959179,1.0000001,0.9963452,0.9962168,0.9938779,0.99460006,0.996178,0.9952649,0.9986751,0.996204,0.99669397,0.99618727,0.9963123,0.99582696,0.9964205,0.9987853,0.99847883,0.99463093,0.99578714,0.99458236,0.9966048,0.99632084,0.99527454,0.9958641,0.9959092,0.9949731,0.9971721,0.99608374,0.9949989,0.99447745,0.9942448,0.9954457,0.99501204,0.99617517,0.9944868,0.99614745,0.9969359,0.9966356,0.99609613,0.99539435,0.9965957,0.9977277,0.99693334,0.9961655,0.9944564,0.9986017,0.99492466,0.9950061,0.9957441,0.99593186,0.99525267,0.9952437,0.9941792,0.99525934,0.9955765,0.9956645,0.9953843,0.99686104,0.9961909,0.99656516,0.99456745,0.99536306,0.99529505,0.9955603,0.99695396,0.99583405,0.99571407,0.99534386,0.99641806,0.99522305,0.99659806,0.9958359,0.9965345,0.99684685,0.99568856,0.9950649,0.9954476,0.99497545,0.9943511,0.9962946,0.99602336,0.9964387,0.9966467,0.99609137,0.9959752,0.9956495,0.99879384,0.9963886,0.99571145,0.99529654,0.9971519,0.9966987,0.9955272,0.9970634,0.9963274,0.9956193,0.99592817,0.99679816,0.9959805,0.99571174,0.9954646,0.9957002,0.9944409,0.99669516,0.9959638,0.9959372,0.99647087,0.99744666,0.9960323,0.99624157,0.99600875,0.9960272,0.99622244,0.9952292,0.99566597,0.99620336,0.99666613,0.9950398,0.99527836,0.9985163,0.9987277,0.99695873,0.9951595,0.99514425,0.9967302,0.997006,0.99548966,0.9960417,0.99540275,0.9934997,0.99571884,0.99556136,0.99580705,0.9950075,0.9960595,0.99657094,0.9961776,0.9956949,0.99592495,0.99580604,0.9950185,0.9956656,0.9963643,0.99487245,0.9948321
Conflict_and_terrorism,0.9972057,0.9956578,0.99635273,0.9978384,0.99661285,0.9975903,0.997655,0.996925,0.9971435,0.9981543,0.99733,0.99616385,0.9963864,0.9971699,0.9959694,0.99697965,0.9978029,0.9973145,0.9972204,0.996119,0.99736977,0.99685574,0.99688864,0.99870646,0.9965323,0.9967736,0.9967161,0.9963719,0.99660826,0.99627125,0.9964126,0.9963452,1.0000001,0.99723023,0.99633604,0.99670064,0.9977914,0.9975077,0.9977556,0.99728084,0.9968466,0.9973329,0.9970533,0.9975258,0.9987197,0.9980989,0.9978453,0.9982072,0.99740183,0.9966868,0.99699867,0.9978049,0.9954566,0.99855006,0.9974698,0.9962787,0.9974201,0.99805963,0.99681646,0.99720544,0.9963301,0.9960848,0.99526244,0.99684966,0.9976956,0.9967613,0.99800974,0.9975463,0.9974873,0.99623543,0.9967676,0.9976425,0.9971666,0.9965505,0.99621016,0.99881536,0.9966687,0.99705195,0.99671954,0.995993,0.9960211,0.99612683,0.99666524,0.9977446,0.9964763,0.996358,0.99576026,0.9970129,0.99707353,0.9979723,0.99694425,0.99754167,0.9965665,0.9968997,0.99731475,0.99794596,0.9974141,0.99696296,0.9973781,0.9962757,0.9971849,0.9962445,0.99708813,0.997689,0.9963826,0.995799,0.9957613,0.99588627,0.99669963,0.99713326,0.99642926,0.9971618,0.99707997,0.9968339,0.99698734,0.9965962,0.9982531,0.9972695,0.99792135,0.99639326,0.99784106,0.9969917,0.99594456,0.9975982,0.9974101,0.9991899,0.99839324,0.9978394,0.9971278,0.9963304,0.99613076,0.99664724,0.9961268,0.99675447,0.997025,0.99766344,0.99810725,0.9989048,0.99670374,0.9969118,0.9969246,0.996625,0.99707794,0.9979866,0.9969484,0.9965431,0.99856144,0.99747044,0.99721587,0.9974442,0.99824554,0.99762565,0.9962562,0.99521846,0.9971931,0.99838763,0.9965735,0.997569,0.99628294,0.99561304,0.9962848,0.99734825,0.99767077,0.9975313,0.9967695,0.9979857,0.996817,0.997141,0.99645287,0.9973005,0.99612343,0.9970571,0.9967603,0.99760914,0.9973021
Congenital_birth_defects,0.99861103,0.99821,0.99800205,0.9991179,0.9966121,0.99907947,0.99754477,0.99860495,0.9981365,0.99816024,0.9973658,0.998781,0.9986127,0.9983941,0.99824965,0.99754554,0.9983511,0.99865603,0.99791515,0.99831337,0.99912137,0.99869686,0.9984723,0.99778533,0.9989692,0.9982642,0.9973228,0.998298,0.998229,0.99859214,0.9984598,0.9962168,0.99723023,0.9999999,0.99817723,0.998063,0.9987178,0.9973434,0.9981114,0.99871814,0.9985914,0.99867666,0.99869096,0.9978733,0.9982275,0.99765235,0.99833995,0.9966685,0.9985054,0.99877,0.99911904,0.9982465,0.9980811,0.99706805,0.9988442,0.99900275,0.9977333,0.9988089,0.99757147,0.9988171,0.99778956,0.99893206,0.9981908,0.9984884,0.9971303,0.99887747,0.9983096,0.99912316,0.99907887,0.9982674,0.99882054,0.99917024,0.9988544,0.99860483,0.9986557,0.99702734,0.9975121,0.99741393,0.997726,0.998159,0.9985197,0.9985749,0.99720466,0.9981836,0.9982957,0.99865216,0.99813586,0.99828637,0.99901664,0.99862546,0.9968269,0.9975077,0.9990511,0.99847585,0.99890804,0.9978577,0.99888635,0.99864566,0.9985791,0.9980538,0.99843305,0.99836624,0.99864924,0.99936086,0.9982152,0.9981296,0.9983401,0.9988223,0.9966635,0.99904627,0.9983893,0.9991816,0.99861723,0.9990578,0.9987883,0.9988472,0.99833137,0.99942636,0.9979932,0.9990568,0.99934477,0.99845403,0.99830294,0.9989998,0.9991707,0.9969488,0.9988217,0.99831766,0.998935,0.99838275,0.9983311,0.99898356,0.99888724,0.9981556,0.99780756,0.99861103,0.9986328,0.99639535,0.99829525,0.9983375,0.9987053,0.9983068,0.99880064,0.9975909,0.99895483,0.9984441,0.99796665,0.9978525,0.9976875,0.99799407,0.99742967,0.9979971,0.9988136,0.9978252,0.9988158,0.99885446,0.9988696,0.9980024,0.9985697,0.99824756,0.99832666,0.99746686,0.9983972,0.99759024,0.99903804,0.99864906,0.99906087,0.9985804,0.9984968,0.9985775,0.99853414,0.9986445,0.99814075,0.99701256,0.9968958
Cystic_echinococcosis,0.9975299,0.9969884,0.9971799,0.9980448,0.9972926,0.99729043,0.99573964,0.99744064,0.99660933,0.99832356,0.9955288,0.9971297,0.9979435,0.9970389,0.99646986,0.9952945,0.9963098,0.9983493,0.9959813,0.9971271,0.997484,0.9973752,0.99709666,0.99706197,0.9972358,0.9971988,0.99791574,0.99664176,0.9967571,0.9974492,0.9972146,0.9938779,0.99633604,0.99817723,0.9999995,0.99944603,0.99734,0.9974659,0.9963531,0.99784356,0.99700546,0.9981771,0.9974538,0.9971555,0.9974797,0.996009,0.9967752,0.99655133,0.99812734,0.9980855,0.99765646,0.9969183,0.99673176,0.99640155,0.99722147,0.9980064,0.99598473,0.99752724,0.9985391,0.9982428,0.9982114,0.9978813,0.99714607,0.9974931,0.99795514,0.9977016,0.99729586,0.9979377,0.9977099,0.99717784,0.99714506,0.997149,0.99737304,0.9973757,0.9976125,0.9955715,0.9985865,0.9976424,0.99701655,0.996303,0.9972989,0.99744904,0.99819773,0.99828106,0.9969349,0.997606,0.9970466,0.996683,0.9973795,0.99790657,0.99762034,0.99760795,0.9980072,0.99740744,0.99736416,0.99746495,0.9985156,0.99790674,0.9970836,0.9967361,0.997046,0.9970407,0.99708086,0.9977494,0.9969238,0.99706835,0.99705005,0.9967904,0.9976096,0.99781823,0.99671555,0.99756175,0.9972464,0.9980791,0.9983982,0.99784315,0.99662143,0.99796385,0.99809474,0.99818623,0.9978548,0.9971043,0.99691176,0.99716455,0.99809766,0.9959124,0.99794906,0.9974821,0.9979107,0.9972036,0.9971216,0.9979336,0.9980241,0.9965382,0.99687994,0.9980247,0.998128,0.9953607,0.9967915,0.99712163,0.99773806,0.9970799,0.99741715,0.99791795,0.99785286,0.9971508,0.9969569,0.99850214,0.9983982,0.99617124,0.9959143,0.99696183,0.99784046,0.9967133,0.99708545,0.9972549,0.9979138,0.9972353,0.9974895,0.99764615,0.9971998,0.99725443,0.99830997,0.9979147,0.99797034,0.99793726,0.9976716,0.9978513,0.9973158,0.9979309,0.9972355,0.9980053,0.99706084,0.9972625,0.99677694
Cysticercosis,0.9976954,0.9970285,0.99736524,0.9981019,0.9980215,0.9975569,0.99629855,0.99766237,0.9972857,0.9985393,0.99605656,0.99659985,0.997412,0.9973196,0.9964518,0.9959997,0.9968669,0.9984963,0.9965295,0.9970987,0.99779475,0.9974968,0.9972359,0.9973899,0.997301,0.9973601,0.9984088,0.9967711,0.9968775,0.99740666,0.9971717,0.99460006,0.99670064,0.998063,0.99944603,0.9999998,0.99736786,0.99800074,0.9968738,0.99811035,0.9972628,0.9983909,0.99774647,0.99763954,0.99772686,0.99655753,0.99705917,0.99705315,0.99860847,0.99772036,0.9977722,0.9972278,0.99649096,0.9968082,0.9972694,0.99775994,0.9963692,0.99756277,0.9990168,0.9978047,0.9984042,0.99757004,0.9968364,0.99755955,0.9984584,0.9976382,0.9978412,0.9981818,0.99793494,0.9972151,0.9972992,0.9975782,0.99779737,0.99753577,0.99705356,0.9960469,0.999106,0.9979539,0.9973021,0.996339,0.9970441,0.9971175,0.99864626,0.99866647,0.9971012,0.99755347,0.9968429,0.99689305,0.9973924,0.99812716,0.9983962,0.99831504,0.99769455,0.99748904,0.99755067,0.9979259,0.9987276,0.9977315,0.99760073,0.9968671,0.9976266,0.99712396,0.997252,0.9979915,0.9971898,0.997089,0.9969404,0.9965106,0.99844825,0.99790156,0.99680185,0.9975859,0.9973955,0.99794793,0.9985363,0.99772453,0.9971668,0.9979575,0.99864054,0.9979512,0.9981834,0.99747473,0.9968374,0.9975397,0.9982027,0.9961842,0.9978398,0.9979422,0.997923,0.9971219,0.99698204,0.9977064,0.9974442,0.9971324,0.9973675,0.99812734,0.9983746,0.9957146,0.99691373,0.9974178,0.997931,0.9973344,0.99756056,0.9983367,0.99778503,0.99739975,0.99715394,0.9988923,0.9988848,0.99672127,0.9963039,0.9975454,0.99756354,0.99653876,0.99734205,0.99764407,0.9976402,0.9977427,0.99729496,0.996901,0.9970669,0.99796987,0.99857885,0.99828815,0.99785143,0.9981543,0.9976469,0.99800473,0.997296,0.99825084,0.9969306,0.99829894,0.99753135,0.99786395,0.9974184
Decubitus_ulcer,0.9986414,0.99750566,0.9979797,0.9991845,0.9961892,0.99869335,0.9980259,0.998258,0.9979285,0.9982275,0.9977856,0.9983172,0.99856746,0.9985662,0.99839056,0.9974416,0.99795383,0.99847883,0.99793106,0.9982257,0.99884045,0.99816936,0.99839014,0.9984128,0.99817497,0.99844176,0.9967595,0.998513,0.9987635,0.99836016,0.9983157,0.996178,0.9977914,0.9987178,0.99734,0.99736786,0.99999946,0.9972623,0.9986385,0.9986135,0.99872935,0.99865305,0.99860454,0.9978779,0.99884397,0.99829257,0.9985256,0.996874,0.9978376,0.99818206,0.9987839,0.9989604,0.9980237,0.99758965,0.99930835,0.9980935,0.99911165,0.99948305,0.9973291,0.9984959,0.9973821,0.99846894,0.9977257,0.99849236,0.9970453,0.9986692,0.9986358,0.99906826,0.9984574,0.9976825,0.99883306,0.99819547,0.9984357,0.99839705,0.9987022,0.9977466,0.99727404,0.99727046,0.99783844,0.99841654,0.997966,0.99833304,0.9969171,0.99811065,0.99748826,0.9982764,0.9978098,0.99917966,0.9993868,0.9989129,0.99690837,0.9975635,0.99841166,0.99802345,0.99885535,0.997953,0.9984503,0.99809724,0.9981093,0.99759024,0.9983402,0.9980475,0.99916995,0.99906474,0.9973521,0.9972971,0.9980249,0.99824595,0.99666077,0.9990116,0.9989544,0.99907184,0.99884826,0.99879044,0.9986875,0.9981855,0.9985856,0.99922734,0.99778885,0.9983218,0.99911827,0.9985967,0.9981929,0.9989461,0.9988946,0.9978728,0.9990222,0.9986323,0.9988033,0.99791247,0.9979488,0.9987084,0.9982912,0.99783033,0.99771786,0.9984,0.99861807,0.99732846,0.9983087,0.9986657,0.9988267,0.9982689,0.9984667,0.9976489,0.99866295,0.9983498,0.998858,0.9978386,0.99759597,0.9979573,0.9981626,0.99846894,0.997896,0.9976804,0.9991122,0.99872035,0.9979626,0.9981974,0.9980949,0.99728113,0.9981181,0.9979514,0.99835545,0.99746835,0.9988263,0.9989285,0.99889773,0.99834996,0.99843407,0.99836594,0.9984314,0.9981451,0.99808383,0.996805,0.9965542
Dengue,0.9976069,0.997188,0.9981022,0.99819195,0.99840593,0.9974178,0.9970591,0.99742764,0.9976639,0.9985003,0.9964685,0.9962186,0.99654734,0.9978494,0.9964871,0.99662983,0.9974666,0.9981814,0.996976,0.9970621,0.9976323,0.997657,0.99758124,0.9988092,0.9973326,0.99763423,0.9985298,0.99718595,0.9971673,0.99761283,0.99735916,0.9952649,0.9975077,0.9973434,0.9974659,0.99800074,0.9972623,0.99999946,0.9972572,0.99808705,0.9976637,0.9986385,0.9978807,0.99859005,0.9978473,0.9973534,0.9973465,0.99912935,0.99905854,0.9970977,0.9978148,0.99782354,0.9963844,0.9979955,0.9972972,0.9968507,0.996825,0.9977348,0.9985464,0.9967566,0.99738574,0.9968401,0.99641764,0.9978876,0.9985296,0.99746025,0.9986577,0.99783546,0.998127,0.9970882,0.99738973,0.9976759,0.9975049,0.9975757,0.99588144,0.9969107,0.9984359,0.9986798,0.9972519,0.99670345,0.9970063,0.9965719,0.9986506,0.9983982,0.9977004,0.9972806,0.9972105,0.99669105,0.99746704,0.99880147,0.99876,0.99926573,0.9970153,0.9979322,0.99760205,0.99904144,0.99854606,0.99745035,0.997992,0.99736947,0.9979559,0.9975727,0.99671704,0.99805844,0.9978039,0.9968825,0.9968169,0.99609107,0.9983774,0.99759686,0.99672824,0.9975811,0.9977082,0.99776495,0.9981528,0.9975055,0.99757934,0.99751884,0.999288,0.99690765,0.9980579,0.9976934,0.9968294,0.99744284,0.9980872,0.9970087,0.99743444,0.9987088,0.9974774,0.99734086,0.997254,0.9974139,0.9960951,0.9975132,0.9984086,0.9978505,0.9986423,0.9965628,0.99734724,0.99740803,0.99771005,0.99769706,0.9977806,0.99922925,0.9974967,0.99767643,0.99765784,0.9983067,0.99887294,0.9973132,0.9968195,0.9982761,0.9970719,0.9965043,0.9974822,0.99779403,0.99690723,0.99849755,0.9970004,0.9953947,0.9972762,0.9981026,0.99869055,0.99901855,0.99750286,0.9988035,0.9975986,0.9980238,0.9972315,0.99853283,0.99676853,0.9983698,0.99779135,0.9997398,0.99957013
Depressive_disorders,0.99838144,0.99746484,0.99813706,0.9988146,0.9961949,0.99861634,0.9995913,0.9981673,0.99894094,0.99735785,0.9997011,0.9970675,0.9973898,0.9989242,0.9980684,0.99934703,0.9991393,0.99776787,0.99964374,0.9979998,0.99858147,0.9981929,0.9985803,0.99836326,0.998182,0.99839085,0.99680215,0.9985048,0.99884874,0.9983047,0.9983569,0.9986751,0.9977556,0.9981114,0.9963531,0.9968738,0.9986385,0.9972572,0.99999976,0.9984768,0.9989834,0.99847424,0.998681,0.9979189,0.9982573,0.99953574,0.99959075,0.99671894,0.9979606,0.99700904,0.9989279,0.9986795,0.997803,0.99767023,0.9983143,0.9973391,0.9990402,0.9985333,0.99719757,0.9968944,0.99653864,0.9978805,0.9974708,0.9984693,0.9966714,0.99855024,0.9988477,0.9989508,0.9982845,0.99765646,0.998895,0.99884087,0.9988533,0.9985255,0.99705106,0.99884677,0.9970532,0.9969899,0.99796206,0.9983967,0.99766284,0.9977754,0.99666303,0.997638,0.9977438,0.998006,0.9978651,0.99896497,0.9987059,0.9987184,0.99663895,0.99747044,0.99775547,0.99799466,0.99888784,0.99792,0.99794626,0.9978213,0.9984687,0.9976621,0.99888474,0.9981309,0.99867237,0.99884087,0.99786603,0.9973081,0.99786866,0.99743336,0.99642026,0.9985662,0.99847543,0.99884194,0.9989328,0.9985521,0.99830866,0.9980277,0.99982846,0.9987123,0.997749,0.9976698,0.9992269,0.9989044,0.9979242,0.99900556,0.99869996,0.9972027,0.9978937,0.99878055,0.9981191,0.9980685,0.9978889,0.99812806,0.99696565,0.9987125,0.9981356,0.9982166,0.9985871,0.9978468,0.99834996,0.9986109,0.99858403,0.9984375,0.99843013,0.9974372,0.998049,0.9986313,0.9982562,0.99721324,0.99752814,0.9995341,0.999401,0.99876475,0.9975195,0.9977,0.9990552,0.9986595,0.9975959,0.99821985,0.99784404,0.996003,0.99816376,0.99750924,0.99806875,0.99709135,0.998538,0.9987278,0.9985932,0.9981229,0.9983041,0.9981525,0.99776316,0.99795324,0.99836713,0.9968493,0.9966696
Dermatitis,0.9995642,0.9985744,0.9985401,0.9994422,0.997233,0.99862844,0.99791527,0.99950683,0.99845237,0.9986102,0.9976963,0.99749327,0.99795145,0.9993131,0.99785256,0.9975664,0.9980879,0.99936736,0.9981965,0.99836403,0.99880934,0.9984773,0.9987272,0.9982902,0.99848396,0.9985394,0.99776596,0.99844575,0.9987393,0.99871427,0.9986249,0.996204,0.99728084,0.99871814,0.99784356,0.99811035,0.9986135,0.99808705,0.9984768,1.0000002,0.9988565,0.9992425,0.9988858,0.9985755,0.99818337,0.99805367,0.99849933,0.9973701,0.9988692,0.9980619,0.99912477,0.99856967,0.99807626,0.9974066,0.99843675,0.99845386,0.997843,0.9990362,0.9980958,0.9981429,0.9986766,0.99852526,0.9979354,0.999063,0.99774855,0.99882764,0.9988145,0.9991412,0.9987782,0.99849737,0.9987378,0.9985435,0.9986418,0.99922675,0.99757046,0.9971549,0.99819016,0.9980924,0.9980128,0.998029,0.99820644,0.9982221,0.99808955,0.998775,0.9985816,0.99865705,0.9982104,0.99822533,0.9988146,0.99915516,0.9975472,0.9981146,0.99847656,0.99893636,0.9986779,0.99841803,0.99892527,0.99866253,0.998603,0.9984754,0.9989594,0.9984841,0.9982983,0.99905694,0.9983761,0.9983808,0.99844015,0.99755716,0.99738455,0.99911135,0.99832404,0.99885076,0.9990962,0.99907875,0.9991248,0.9987536,0.9985227,0.99910015,0.99847966,0.99849886,0.9991385,0.9987832,0.9982352,0.99877125,0.9995755,0.99687755,0.99838334,0.9988801,0.99880934,0.9984314,0.9983569,0.9988549,0.9977971,0.9983371,0.99852914,0.99905807,0.9991452,0.99649197,0.99843675,0.9985306,0.9997548,0.99956656,0.9988228,0.9982155,0.998391,0.99923134,0.9978114,0.99887604,0.99833876,0.99817115,0.9976329,0.99856794,0.99838585,0.9979876,0.99862194,0.99855936,0.99826264,0.9986482,0.9983539,0.99721324,0.99856365,0.9979378,0.9988786,0.9981969,0.9990399,0.99917746,0.9989586,0.9996724,0.99850386,0.99911773,0.99819356,0.99930036,0.9985474,0.9977904,0.9975206
Diabetes_mellitus,0.99866325,0.998732,0.9990207,0.99918664,0.99659365,0.99859864,0.99850917,0.9984664,0.9988696,0.99754685,0.99800926,0.9979675,0.9979196,0.9992232,0.99883276,0.99793136,0.9981055,0.99822766,0.99854034,0.9987208,0.9988255,0.9985998,0.9990634,0.99803424,0.99906796,0.9988381,0.99737203,0.99958473,0.9992456,0.99935025,0.9990642,0.99669397,0.9968466,0.9985914,0.99700546,0.9972628,0.99872935,0.9976637,0.9989834,0.9988565,1.0000001,0.99903685,0.99933803,0.9982844,0.99805087,0.99851686,0.99874955,0.9966944,0.9982729,0.9977595,0.9998362,0.9988681,0.9985794,0.99718064,0.99856406,0.99795294,0.9985738,0.99879825,0.99758327,0.9972631,0.9970371,0.99884295,0.99843323,0.9993147,0.9969637,0.9991136,0.99896944,0.99898267,0.9989417,0.99831396,0.99976575,0.9984754,0.9987001,0.9991802,0.99753135,0.99725825,0.9974228,0.99745417,0.9986131,0.9993014,0.9985331,0.9983568,0.9972291,0.99801457,0.99845845,0.99864495,0.99878335,0.9985704,0.9994227,0.99897873,0.99703526,0.99781173,0.9983132,0.9986074,0.99920255,0.99812263,0.9984094,0.9983768,0.99859107,0.9984219,0.9990101,0.99878067,0.998354,0.99926686,0.99846464,0.998023,0.99860173,0.9982801,0.996781,0.9990167,0.9988234,0.9995981,0.9993624,0.9993582,0.9989833,0.9987338,0.99881047,0.99913234,0.99802655,0.9983273,0.99928886,0.99948496,0.99856424,0.99886805,0.9992041,0.99653214,0.9978953,0.9990603,0.99849933,0.99871594,0.99877673,0.99911976,0.9976036,0.99873275,0.9985847,0.998703,0.99889183,0.9963648,0.99893814,0.99928933,0.99891376,0.9989409,0.9990457,0.99756575,0.9988263,0.99929225,0.9978592,0.997394,0.9978896,0.9985319,0.9979899,0.99884593,0.9981808,0.99859095,0.99948835,0.99854785,0.9982212,0.9984982,0.9986191,0.996479,0.9988105,0.9977681,0.9984876,0.9975319,0.99923384,0.99898624,0.99953306,0.9985775,0.9988715,0.99859834,0.99875075,0.9984474,0.99899393,0.99711114,0.99688935
