MeSH Terms,All of Us,Estonian Biobank,FinnGen,Million Veteran Program,UK Biobank
alopecia areata,10,0,5,0,2
alpha 1-antitrypsin,0,0,1,1,6
alpha 1-antitrypsin deficiency,0,0,0,0,5
alpha catenin,0,1,0,0,1
alpha karyopherins,0,0,0,1,0
alpha particles,1,0,0,0,0
alpha-2-hs-glycoprotein,0,0,2,0,1
alpha-fetoproteins,0,0,0,0,1
alpha-galactosidase,0,0,0,0,1
alpha-ketoglutarate-dependent dioxygenase fto,0,0,2,2,10
alpha-linolenic acid,0,0,0,0,3
alpha-synuclein,0,0,0,0,1
alpha-tocopherol,0,0,1,0,2
alpha7 nicotinic acetylcholine receptor,0,0,0,1,0
alphapapillomavirus,0,1,0,0,0
alphaproteobacteria,0,0,1,0,0
alprazolam,0,0,0,1,0
alternative splicing,0,0,0,3,0
altruism,0,0,0,0,4
alveolar epithelial cells,0,0,0,0,2
alveolar process,0,0,0,1,0
alzheimer disease,4,0,26,6,262
amantadine,0,0,0,1,0
amblyopia,0,0,0,0,2
ambulatory care,0,0,0,2,0
american heart association,2,0,0,2,4
american hospital association,1,0,0,1,0
american indian or alaska native,1,0,0,0,1
amides,0,0,0,0,1
amidohydrolases,0,0,0,0,1
amino acid motifs,0,0,0,1,0
amino acid sequence,1,0,0,27,1
amino acid substitution,0,0,0,3,6
amino acids,1,0,1,5,9
"amino acids, branched-chain",0,0,4,0,5
"amino acids, neutral",0,0,0,0,1
aminoacyltransferases,0,0,0,1,0
aminolevulinic acid,0,0,0,1,0
aminooxyacetic acid,0,0,0,1,0
aminopeptidases,0,0,1,0,1
amish,0,0,0,0,1
amlodipine,0,0,0,0,1
amnion,0,0,0,1,0
amniotic fluid,0,0,0,16,0
amoxicillin,1,0,0,0,0
amoxicillin-potassium clavulanate combination,1,0,0,0,0
amp-activated protein kinases,0,0,0,0,4
amplified fragment length polymorphism analysis,0,0,0,0,1
"amplifiers, electronic",0,0,0,1,0
amygdala,0,0,0,0,15
amyloid beta-peptides,1,0,1,2,7
amyloid beta-protein precursor,1,0,0,0,0
"amyloid neuropathies, familial",1,0,0,1,4
amyloid precursor protein secretases,1,0,0,0,0
amyloidosis,0,0,0,1,2
amyotrophic lateral sclerosis,0,0,3,0,21
anaerobiosis,0,0,0,1,0
analgesia,0,0,0,1,0
"analgesia, epidural",0,0,0,0,1
"analgesia, obstetrical",0,0,0,0,1
analgesics,0,0,1,0,5
"analgesics, non-narcotic",0,0,0,0,1
"analgesics, opioid",3,0,1,2,8
analysis of variance,0,0,0,21,4
anaphylaxis,1,0,0,1,0
"anastomosis, surgical",0,0,0,8,0
anatomic landmarks,0,0,0,2,1
"anatomy, artistic",0,0,0,0,1
"anatomy, comparative",1,0,0,0,0
"anatomy, cross-sectional",0,0,0,0,1
androgen antagonists,0,0,0,1,2
androgens,0,0,0,1,7
androstenedione,0,0,0,0,1
anecdotes as topic,1,0,0,1,0
anemia,1,0,1,0,12
"anemia, aplastic",0,0,1,0,0
"anemia, iron-deficiency",1,0,3,0,6
"anemia, megaloblastic",0,0,0,0,1
"anemia, pernicious",0,0,2,0,2
"anemia, sickle cell",0,0,0,1,0
anesthesia,0,0,0,2,0
"anesthesia, conduction",0,0,0,1,0
"anesthesia, general",0,0,0,1,0
"anesthesia, intravenous",0,0,0,1,0
"anesthetics, intravenous",0,0,0,2,0
aneuploidy,0,0,0,1,5
aneurysm,0,0,0,1,1
"aneurysm, false",0,0,0,1,0
anger,1,0,0,0,0
anger management therapy,1,0,0,0,0
angina pectoris,0,0,0,0,5
"angina, stable",0,0,0,1,0
"angina, unstable",0,0,1,0,0
angioedema,0,0,1,0,1
angiogenesis inducing agents,1,0,0,0,0
angiogenesis inhibitors,1,0,0,1,1
angiography,0,0,0,3,0
"angiography, digital subtraction",0,0,0,1,0
angiomyolipoma,0,0,0,1,0
angioplasty,1,0,0,0,0
"angioplasty, balloon",0,0,0,1,0
"angioplasty, balloon, coronary",0,0,0,5,0
angiopoietin-1,0,0,0,0,1
angiopoietin-like protein 3,0,0,2,0,11
angiopoietin-like protein 4,0,0,1,0,3
angiopoietin-like protein 7,0,0,1,0,1
angiopoietin-like protein 8,0,0,1,0,1
angiopoietin-like proteins,0,0,3,0,5
angiotensin ii,0,0,0,3,1
angiotensin ii type 1 receptor blockers,0,0,0,1,0
angiotensin ii type 2 receptor blockers,0,0,0,3,0
angiotensin receptor antagonists,0,0,1,1,5
angiotensin-converting enzyme 2,1,0,0,2,4
angiotensin-converting enzyme inhibitors,0,0,1,1,6
angiotensinogen,0,0,0,3,0
anhedonia,0,0,0,0,5
animal distribution,0,0,0,1,0
animal feed,0,0,0,1,0
animal husbandry,1,0,0,0,0
"animal proteins, dietary",0,0,0,0,2
animals,37,2,27,284,216
"animals, genetically modified",0,0,0,1,1
"animals, newborn",0,0,0,9,1
"animals, wild",0,0,0,0,1
"anion exchange protein 1, erythrocyte",0,0,0,0,1
anion exchange resins,0,0,0,1,0
anions,0,0,0,1,0
anisotropy,0,0,0,1,8
ankle,0,0,0,0,2
ankle injuries,0,0,1,0,1
ankyrins,0,0,1,0,3
annexin a1,0,0,0,0,1
annexin a4,0,0,0,1,0
annexin a5,0,0,0,0,1
annexins,0,0,1,1,0
anniversaries and special events,3,0,0,0,0
anoctamins,0,0,0,0,2
anorexia,0,0,0,0,1
anorexia nervosa,0,0,0,0,6
anovulation,0,0,1,0,1
anterior cruciate ligament,0,0,0,0,1
anterior cruciate ligament injuries,0,0,0,1,0
anterior cruciate ligament reconstruction,0,0,0,1,0
anthelmintics,0,0,0,1,0
anthocyanins,0,0,0,0,1
anthracyclines,0,0,0,1,0
anthropology,1,0,0,0,1
"anthropology, cultural",1,0,0,0,0
anthropometry,0,0,0,6,22
anti-anxiety agents,0,0,0,2,2
anti-arrhythmia agents,1,0,0,6,2
anti-asthmatic agents,0,0,0,0,1
anti-bacterial agents,6,1,0,9,1
anti-hiv agents,1,0,0,0,0
anti-infective agents,1,0,0,0,0
anti-inflammatory agents,2,1,0,0,2
"anti-inflammatory agents, non-steroidal",0,0,0,0,8
anti-mullerian hormone,0,0,0,0,1
anti-obesity agents,1,0,0,0,1
anti-retroviral agents,2,0,0,0,0
antibiotic prophylaxis,0,0,0,7,0
"antibiotics, antineoplastic",0,0,0,10,0
antibodies,0,0,0,5,1
"antibodies, anticardiolipin",0,0,0,1,0
"antibodies, bacterial",0,0,2,0,4
"antibodies, monoclonal",1,0,0,7,4
"antibodies, monoclonal, humanized",0,0,0,1,4
"antibodies, monoclonal, murine-derived",0,0,0,1,0
"antibodies, neoplasm",0,0,0,2,0
"antibodies, neutralizing",0,0,0,1,1
"antibodies, protozoan",0,0,0,0,3
"antibodies, viral",2,0,2,3,5
antibody formation,0,0,1,3,3
anticarcinogenic agents,0,0,0,2,0
anticholesteremic agents,0,0,2,1,7
anticoagulants,1,0,0,5,6
anticonvulsants,1,0,0,2,1
antidepressive agents,0,1,0,0,9
"antidepressive agents, tricyclic",0,0,0,0,1
antigen presentation,0,0,0,2,1
antigens,0,0,0,1,1
"antigens, bacterial",0,0,0,0,1
"antigens, cd",0,0,1,1,3
"antigens, cd34",0,0,0,4,0
"antigens, differentiation",0,0,0,0,1
"antigens, helminth",0,0,0,1,0
"antigens, neoplasm",0,0,0,3,3
"antigens, nuclear",0,0,0,4,0
"antigens, protozoan",0,0,0,0,1
"antigens, surface",0,1,1,0,1
"antigens, viral",0,0,0,0,1
antihypertensive agents,4,1,3,3,33
antimanic agents,0,0,0,0,1
"antimetabolites, antineoplastic",1,0,0,4,0
antimicrobial cationic peptides,1,0,0,0,0
antineoplastic agents,3,0,1,40,2
"antineoplastic agents, alkylating",0,0,0,3,0
"antineoplastic agents, hormonal",0,0,0,2,2
"antineoplastic agents, immunological",0,0,0,1,0
"antineoplastic agents, phytogenic",2,0,0,6,0
antineoplastic combined chemotherapy protocols,0,0,0,60,2
antioxidants,0,0,11,9,13
antiporters,0,0,0,0,1
antipsychotic agents,0,0,1,0,4
antirheumatic agents,0,0,0,0,2
antiviral agents,3,0,0,2,3
antley-bixler syndrome phenotype,0,0,0,0,1
anxiety,14,0,12,9,91
anxiety disorders,1,0,8,5,54
aorta,1,0,1,13,11
"aorta, thoracic",1,0,0,3,4
aortic aneurysm,0,0,6,5,13
"aortic aneurysm, abdominal",0,0,7,4,5
"aortic aneurysm, thoracic",0,0,6,4,7
aortic diseases,0,0,0,2,1
aortic dissection,0,0,4,3,6
aortic rupture,0,0,0,1,0
"aortic stenosis, subvalvular",0,0,0,1,0
aortic valve,1,0,0,19,9
aortic valve insufficiency,1,0,0,5,1
aortic valve stenosis,2,0,2,7,19
aortography,0,0,0,2,0
apgar score,0,0,0,1,0
apical hypertrophic cardiomyopathy,0,0,0,0,1
apoferritins,0,0,0,0,1
apolipoprotein a-i,0,0,3,0,18
apolipoprotein a-v,1,0,0,0,1
apolipoprotein b-100,1,1,3,0,25
apolipoprotein c-i,0,0,0,0,1
apolipoprotein c-ii,1,0,0,0,0
apolipoprotein c-iii,0,0,1,0,4
apolipoprotein e2,0,0,0,0,4
apolipoprotein e3,0,0,0,0,4
apolipoprotein e4,1,0,1,3,45
apolipoprotein l1,3,0,0,6,1
apolipoproteins,1,0,3,1,13
apolipoproteins a,0,0,1,0,7
apolipoproteins b,0,0,4,1,39
apolipoproteins c,1,0,0,0,0
apolipoproteins e,0,0,2,2,76
apoptosis,0,0,0,23,2
apoptosis regulatory proteins,0,0,0,2,10
appendectomy,0,0,1,0,1
appendicitis,0,0,1,0,0
appointments and schedules,1,0,0,1,0
aptitude,1,0,0,0,1
aquaporin 4,0,0,0,0,1
arabidopsis,0,0,0,1,0
arabidopsis proteins,0,0,0,2,0
arachidonate 15-lipoxygenase,0,0,0,0,1
arachidonic acid,0,0,2,0,4
arachidonic acids,0,0,1,0,1
arachis,0,0,0,1,0
archaea,0,0,0,2,0
archaeal proteins,0,0,0,1,0
archaeology,1,0,0,0,1
architectural accessibility,1,0,0,0,0
area under curve,0,0,0,1,13
argininosuccinate synthase,0,0,0,1,0
arm,0,0,0,1,1
armadillo domain proteins,0,0,0,0,1
arnold-chiari malformation,0,0,0,1,0
arntl transcription factors,0,0,0,0,2
aromatase,0,0,0,0,2
aromatase inhibitors,0,0,0,0,2
arousal,1,0,0,0,0
"arrhythmias, cardiac",3,0,2,63,17
arrhythmogenic right ventricular dysplasia,0,0,0,0,4
arsenic,0,0,0,0,1
arsenites,0,0,0,0,1
art,2,0,0,0,0
arterial occlusive diseases,0,0,0,1,0
arterial pressure,0,0,0,1,3
arteries,0,0,0,0,3
arterioles,0,0,0,0,2
arteriosclerosis,0,0,0,1,0
arteriovenous anastomosis,0,0,0,1,0
arteriovenous fistula,0,0,0,3,0
arteriovenous malformations,0,0,0,5,0
arthralgia,0,0,0,1,4
arthritis,1,0,1,0,3
"arthritis, infectious",0,0,1,0,0
"arthritis, juvenile",0,1,2,0,0
"arthritis, psoriatic",2,0,9,0,15
"arthritis, rheumatoid",1,0,39,1,69
"arthroplasty, replacement",0,0,0,0,2
"arthroplasty, replacement, hip",0,0,0,1,4
"arthroplasty, replacement, knee",0,0,0,2,5
arthroscopy,1,0,0,0,2
artifacts,1,0,0,0,5
artificial intelligence,4,0,0,6,16
artificial organs,0,0,0,1,0
artificially sweetened beverages,0,0,0,0,6
arylamine n-acetyltransferase,0,0,0,0,4
arylsulfotransferase,0,0,0,0,1
asbestos,1,0,0,0,0
ascites,0,0,0,1,1
ascitic fluid,0,0,0,1,0
ascorbic acid,0,0,6,8,12
asia,1,0,1,0,8
"asia, eastern",0,0,1,0,1
"asia, southern",0,0,0,0,1
asian,6,0,0,0,5
asian people,0,0,3,8,50
asparaginase,0,0,0,1,0
aspartate aminotransferases,1,0,2,0,13
aspartic acid,0,0,0,0,1
aspartic acid endopeptidases,1,0,0,0,0
aspirin,1,0,1,5,14
association,0,0,0,1,0
association learning,0,0,0,1,0
asthma,5,2,25,2,126
asthma-chronic obstructive pulmonary disease overlap syndrome,0,0,0,0,1
astigmatism,0,0,0,0,1
astragalus propinquus,0,0,0,1,0
astrocytes,0,0,0,1,1
astrocytoma,0,0,0,2,1
astronauts,1,0,0,0,0
asymptomatic diseases,0,0,0,2,4
ataxia,0,0,0,1,0
ataxia telangiectasia mutated proteins,0,0,0,1,3
atherosclerosis,1,2,8,10,66
athletes,1,0,0,6,3
athletic injuries,3,0,1,1,1
athletic performance,0,0,0,1,1
atlases as topic,0,0,0,0,3
atorvastatin,0,0,1,0,3
atp binding cassette transporter 1,0,0,0,0,1
"atp binding cassette transporter, subfamily b",0,0,0,11,2
"atp binding cassette transporter, subfamily b, member 1",0,0,0,23,0
"atp binding cassette transporter, subfamily g, member 2",0,0,0,17,5
"atp binding cassette transporter, subfamily g, member 5",0,0,1,0,4
"atp binding cassette transporter, subfamily g, member 8",0,0,1,0,2
atp-binding cassette transporters,0,0,0,18,4
atpases associated with diverse cellular activities,0,0,1,0,1
atrial appendage,0,0,0,3,1
atrial fibrillation,4,0,23,55,143
atrial flutter,0,0,1,2,3
atrial function,0,0,0,2,0
"atrial function, left",0,0,0,9,5
"atrial function, right",0,0,0,0,1
atrial natriuretic factor,0,0,0,2,0
atrial pressure,0,0,0,1,0
atrial remodeling,0,0,0,5,0
atrioventricular block,0,0,1,7,3
atrioventricular node,0,0,0,7,1
atrophy,0,0,1,0,22
atropine,0,0,0,1,0
attention,3,0,0,2,1
attention deficit disorder with hyperactivity,3,1,5,4,21
attitude,1,1,0,0,1
attitude of health personnel,14,0,0,1,0
attitude to death,5,0,0,0,0
attitude to health,8,0,0,0,1
audiologists,1,0,0,0,0
audiometry,0,0,0,1,1
"audiometry, pure-tone",0,0,0,2,2
auditory cortex,0,0,0,0,1
auditory perception,0,0,0,0,1
auditory perceptual disorders,0,0,0,0,1
auditory threshold,0,0,0,1,5
aurora kinase a,0,0,0,1,0
auscultation,0,0,0,3,0
australasian people,0,0,0,0,1
australia,3,0,1,5,22
australian aboriginal and torres strait islander peoples,0,0,0,0,1
authorship,1,0,0,0,0
autism spectrum disorder,2,0,4,2,21
autistic disorder,2,0,0,4,13
autoanalysis,0,0,0,0,2
autoantibodies,0,0,0,2,2
autoantigens,0,0,1,1,3
autoencoder,0,0,0,0,1
autografts,0,0,0,1,0
autoimmune diseases,5,0,24,1,28
autoimmunity,0,0,2,0,3
autolysis,0,0,0,1,0
automation,0,0,0,2,10
automobile driving,1,0,0,3,6
automobiles,1,0,0,1,0
autonomic nervous system,0,0,1,5,4
autonomic nervous system diseases,0,0,0,2,2
autophagy,1,0,0,4,1
autophagy-related protein 7,0,0,0,0,1
autopsy,0,0,2,4,2
aviation,0,0,0,1,0
avitaminosis,0,0,1,0,0
avoidant restrictive food intake disorder,0,1,0,0,0
awards and prizes,2,0,0,0,1
awareness,1,0,0,0,1
"axial length, eye",0,0,0,0,3
axons,0,0,0,1,0
azithromycin,1,0,0,0,0
b-lymphocytes,0,0,1,1,5
b7 antigens,0,0,0,1,0
b7-h1 antigen,0,0,1,4,1
bacillus,0,0,0,0,1
bacillus thuringiensis,0,0,0,4,0
bacillus thuringiensis toxins,0,0,0,5,0
back pain,0,0,1,0,13
bacteremia,1,0,0,0,0
bacteria,3,0,5,2,5
bacterial infections,3,0,2,0,3
bacterial physiological phenomena,0,0,0,1,0
bacterial proteins,0,0,0,15,0
bacterial toxins,0,0,0,4,0
bacterial translocation,0,0,0,1,0
bacterial vaccines,0,0,0,2,0
bacteriological techniques,0,0,0,1,0
bacteriophages,0,0,0,2,0
bacteriuria,0,0,0,0,1
bacteroidaceae,0,0,1,0,0
bacteroides,0,0,3,0,0
bacteroidetes,0,0,4,0,1
baculoviridae,0,0,0,2,0
balloon occlusion,0,0,0,1,0
balloon valvuloplasty,0,0,0,2,0
baltimore,0,0,0,0,1
bandages,0,0,0,1,0
bangladesh,0,0,0,1,1
bariatric surgery,0,0,0,0,1
barrett esophagus,0,0,2,0,4
bartter syndrome,0,0,0,0,1
basal ganglia,0,0,0,0,1
basal metabolism,0,0,1,0,5
base sequence,0,1,0,22,5
basement membrane,0,0,0,2,0
basic helix-loop-helix leucine zipper transcription factors,0,0,0,0,4
basic helix-loop-helix transcription factors,0,0,1,0,4
basic reproduction number,0,0,0,0,1
basic-leucine zipper transcription factors,0,0,0,0,1
basophils,0,1,0,0,1
bayes theorem,5,2,18,5,88
bays,0,0,0,1,0
bcg vaccine,1,0,0,0,0
bcl-2-associated x protein,0,0,0,1,0
bcl-2-like protein 11,0,0,0,0,1
becaplermin,0,0,1,0,1
beer,0,0,0,0,4
beginning of human life,1,0,0,0,0
behavior,3,0,0,0,10
behavior therapy,0,0,0,2,0
"behavior, addictive",1,0,0,1,1
"behavior, animal",3,0,0,1,0
behavioral medicine,1,0,0,0,0
behavioral symptoms,0,0,0,0,2
beijing,0,0,0,0,1
belgium,1,0,0,0,0
benchmarking,2,0,0,1,8
benign paroxysmal positional vertigo,0,0,0,0,1
benzamides,0,0,0,2,0
benzazepines,0,0,0,1,0
benzene,0,0,0,0,2
benzenesulfonamides,0,0,0,0,1
benzhydryl compounds,1,0,0,0,0
benzodiazepines,0,0,0,1,1
benzophenoneidum,0,0,0,1,0
beta 2-glycoprotein i,0,0,0,0,1
beta 2-microglobulin,0,0,1,1,0
beta carotene,0,0,3,0,1
beta catenin,0,0,0,1,0
beta particles,0,0,0,1,0
beta-arrestin 2,0,0,0,0,1
beta-arrestins,0,0,0,0,1
beta-defensins,0,0,0,0,1
beta-endorphin,0,0,0,1,1
beta-lactamases,0,0,0,1,0
betacoronavirus,11,0,0,0,28
betaine,0,0,0,0,1
betula,0,0,0,1,0
beverages,0,0,0,0,13
bias,3,0,0,2,25
bibliometrics,1,0,0,0,1
bicuspid aortic valve disease,0,0,0,4,0
bicycling,0,0,0,1,9
bifidobacterium,0,0,0,1,0
big data,2,0,1,1,18
biglycan,0,0,0,1,1
bile acids and salts,0,0,1,0,0
bile duct neoplasms,0,0,0,0,1
bile ducts,0,0,0,0,1
"bile ducts, intrahepatic",0,0,0,0,2
biliary tract,0,0,1,0,1
biliary tract diseases,0,0,2,0,4
biliary tract neoplasms,0,0,2,0,4
bilirubin,1,0,2,0,13
binding sites,1,0,0,10,0
binge drinking,1,0,0,0,1
binge-eating disorder,0,0,0,1,1
biocompatible materials,2,0,0,0,0
biodiversity,0,0,0,1,0
bioengineering,0,0,0,1,0
bioethical issues,1,0,0,0,2
bioethics,2,0,0,0,0
"biofeedback, psychology",0,0,0,1,0
biological assay,0,0,0,1,0
biological clocks,0,0,0,0,1
biological evolution,2,0,0,1,10
biological factors,1,0,0,0,2
biological ontologies,0,0,0,0,1
biological phenomena,0,0,0,0,1
biological products,1,0,0,0,1
biological science disciplines,1,0,0,0,0
biological specimen banks,14,11,26,30,2262
biological transport,1,0,0,4,1
"biological variation, individual",0,0,0,0,2
"biological variation, population",1,0,0,0,5
biological warfare,2,0,0,0,0
biology,0,0,0,0,1
biomarkers,7,3,51,23,410
"biomarkers, pharmacological",0,0,0,1,0
"biomarkers, tumor",0,3,8,21,42
biomechanical phenomena,2,0,0,5,4
biomedical engineering,0,0,0,0,1
biomedical research,50,0,1,3,17
biomedical technology,2,0,0,0,1
biometric identification,0,0,0,0,1
biometry,0,0,0,1,3
biophysical phenomena,0,0,0,1,0
biophysics,2,0,0,1,1
biopolymers,0,0,0,1,0
bioprosthesis,0,0,0,6,0
biopsy,0,0,1,5,3
