disease,n_papers,gap_score,ct_equity,sii,ktp,rcc,mean_drift,unified_score,dimensions_available
Vitamin_A_deficiency,3135,65.0,,0.0015678917989134789,0.9989964962005615,0.006557582411915064,0.00013083696831017733,32.09449003158666,2
Protein-energy_malnutrition,2931,65.0,,0.0014428526628762484,0.9991269111633301,0.006611890159547329,0.00014493466005660594,32.08814476199671,2
Onchocerciasis,2345,60.0,,0.0025801307056099176,0.9987198114395142,0.006194391753524542,0.0001713657402433455,29.683170811926473,2
Cystic_echinococcosis,11794,60.0,,0.0022014654241502285,0.9984024167060852,0.007459771353751421,7.275434472830966e-05,29.663954961822547,2
Self-harm,58732,60.0,,0.001985883805900812,0.9990158081054688,0.006764611229300499,2.2457195882452652e-05,29.653014999105416,2
Appendicitis,16121,60.0,,0.0017849546857178211,0.9988091588020325,0.006629957351833582,4.96277425554581e-05,29.64281859599165,2
Rabies,9674,60.0,,0.001778035773895681,0.998972475528717,0.007267190143465996,7.68762402003631e-05,29.642467487033514,2
COVID-19,52153,60.0,,0.0016639137174934149,0.9988614320755005,0.007392252329736948,0.0002656153228599578,29.63667621849967,2
Low_back_pain,40563,60.0,,0.0015933364629745483,0.99900883436203,0.0062567368149757385,2.2899646864971146e-05,29.633094686180794,2
Tetanus,12379,60.0,,0.001500709680840373,0.9991143345832825,0.007436290383338928,6.0780690546380356e-05,29.62839422260981,2
Exposure_to_mechanical_forces,17810,60.0,,0.0014637731947004795,0.9990972876548767,0.006983748637139797,4.4834156142314896e-05,29.626519833760923,2
Acne_vulgaris,16412,60.0,,0.0013910419074818492,0.9991838932037354,0.007048164494335651,4.847233140026219e-05,29.62282899231997,2
Chronic_obstructive_pulmonary_disease,73460,60.0,,0.0013139790389686823,0.9992098808288574,0.0071531059220433235,2.2133956008474343e-05,29.61891833929095,2
HIV_AIDS,222246,60.0,,0.001190053764730692,0.9992278814315796,0.007636045105755329,1.018780949380016e-05,29.61262959403111,2
Dietary_iron_deficiency,22514,60.0,,0.0011814224999397993,0.9992982149124146,0.00694924034178257,3.332587220938876e-05,29.61219158954918,2
Pruritus,19806,60.0,,0.0011669844388961792,0.9993494749069214,0.007112381514161825,4.117076241527684e-05,29.611458911824577,2
Headache_disorders,99995,60.0,,0.0010897755855694413,0.9993179440498352,0.007150991819798946,1.39406092785066e-05,29.607540850610985,2
Lower_respiratory_infections,174866,60.0,,0.0010489261476323009,0.9994163513183594,0.007580908015370369,4.14389833167661e-05,29.605467894058958,2
Upper_respiratory_infections,176702,60.0,,0.0010368520161136985,0.9994226098060608,0.007598127704113722,4.0943807107396424e-05,29.60485517693711,2
Exposure_to_forces_of_nature,27992,50.0,,0.002425660379230976,0.9981935024261475,0.007913259789347649,0.0001186820154543966,24.749958884916197,2
"Inguinal,_femoral,_and_abdominal_hernia",13350,50.0,,0.0021087294444441795,0.9985888004302979,0.0063039991073310375,6.009065327816643e-05,24.733875822553884,2
Intestinal_nematode_infections,26256,50.0,,0.0020175366662442684,0.9989097714424133,0.0068988194689154625,3.4139706258429214e-05,24.7292481293318,2
Falls,17388,50.0,,0.001766393193975091,0.9987977147102356,0.0063303811475634575,5.896733273402788e-05,24.716503535216646,2
Drug_use_disorders,177601,50.0,,0.0016569036524742842,0.9991750121116638,0.006904706824570894,1.028867882268969e-05,24.710947349528546,2
Neck_pain,16475,50.0,,0.0016051107086241245,0.9989991188049316,0.0061543476767838,4.847233140026219e-05,24.708319050885404,2
Age-related_and_other_hearing_loss,80002,50.0,,0.0014369189739227295,0.9990764856338501,0.0071556163020431995,2.0439807485672645e-05,24.699783947930406,2
Idiopathic_epilepsy,74509,50.0,,0.001407011179253459,0.9990671873092651,0.006808532401919365,1.649443947826512e-05,24.698266238947188,2
Leukemia,192887,50.0,,0.001384854898788035,0.9992074370384216,0.007705360651016235,1.3784720067633316e-05,24.69714189038626,2
Decubitus_ulcer,13194,50.0,,0.001358471461571753,0.9991432428359985,0.006826615426689386,5.4038486268837005e-05,24.695803029393193,2
Pneumoconiosis,5837,50.0,,0.00133895396720618,0.9990484714508057,0.00731023820117116,0.0001396766019752249,24.694812589380614,2
Cardiomyopathy_and_myocarditis,109826,50.0,,0.0013340843142941594,0.9991523623466492,0.007447933312505484,1.597175287315622e-05,24.694565472665676,2
Congenital_birth_defects,207110,50.0,,0.0012665730901062489,0.9991509914398193,0.007488636765629053,8.610578333900776e-06,24.69113952994569,2
Oral_disorders,192917,50.0,,0.001101818634197116,0.9992435574531555,0.007403785362839699,1.3718237823923118e-05,24.682778856063734,2
Neonatal_disorders,222965,50.0,,0.0009983265772461891,0.9993723630905151,0.007504780776798725,1.0112156815011986e-05,24.677527020337866,2
Police_conflict_and_executions,2599,40.0,,0.002992486348375678,0.9982592463493347,0.006150481756776571,0.0002055145159829408,19.85335005349966,2
Other_transport_injuries,759,40.0,,0.00280177709646523,0.9982135891914368,0.006285442505031824,0.0006867647171020508,19.843672270566895,2
Anxiety_disorders,61312,40.0,,0.002061313483864069,0.999101996421814,0.006286961492151022,1.8319258742849343e-05,19.80609650515131,2
Autism_spectrum_disorders,94640,40.0,,0.0017586875474080443,0.999085009098053,0.007318068295717239,2.041000516328495e-05,19.79073936807742,2
Bipolar_disorder,46090,40.0,,0.001680632820352912,0.9991981387138367,0.0062767015770077705,2.369972389715258e-05,19.786778381928354,2
Other_unintentional_injuries,4626,40.0,,0.0016587722348049283,0.9989564418792725,0.006881503388285637,0.00011832667951239273,19.785669038781144,2
Leprosy,8452,40.0,,0.0016424661735072732,0.9988564848899841,0.007501645945012569,0.0001096908890758641,19.784841567013803,2
Schizophrenia,123827,40.0,,0.001628828700631857,0.9992432594299316,0.0068526058457791805,1.5261080989148468e-05,19.78414951615147,2
Diphtheria,9165,40.0,,0.0016086995601654053,0.999047577381134,0.007566067855805159,9.02414321899414e-05,19.783128037381527,2
Non-Hodgkin_lymphoma,70213,40.0,,0.0015899789286777377,0.9990898370742798,0.007000977173447609,1.635001171962358e-05,19.78217803518663,2
Other_neglected_tropical_diseases,12657,40.0,,0.0015351080801337957,0.9991307258605957,0.00821550004184246,0.00011125665332656354,19.779393544365,2
Vascular_intestinal_disorders,4226,40.0,,0.0015216803876683116,0.999011218547821,0.006506042554974556,0.0001276593975489959,19.778712139075708,2
Osteoarthritis,114321,40.0,,0.001509783323854208,0.9990286827087402,0.006876267027109861,1.5893807358224876e-05,19.778108407479166,2
Idiopathic_developmental_intellectual_disability,63611,40.0,,0.0014971267664805055,0.9990602135658264,0.007498915772885084,1.860811244114302e-05,19.777466134418415,2
Ischemic_heart_disease,109356,40.0,,0.001487736706621945,0.999212384223938,0.007171096745878458,3.270919478381984e-05,19.77698962391813,2
Rheumatic_heart_disease,4749,40.0,,0.0014273237902671099,0.9990543127059937,0.006944846361875534,0.00018435028323438019,19.773923893834446,2
Acute_hepatitis,105425,40.0,,0.0013970434665679932,0.999090850353241,0.006603155750781298,1.6079498891485855e-05,19.772387280393,2
Sexually_transmitted_infections_excluding_HIV,203014,40.0,,0.0013834488345310092,0.9991106390953064,0.007182412780821323,1.0559191650827415e-05,19.771697403543367,2
Depressive_disorders,227813,40.0,,0.001347912009805441,0.9993259310722351,0.006946473382413387,1.2879188034276012e-05,19.769894042288634,2
Blindness_and_vision_loss,55325,40.0,,0.0013182145776227117,0.9991406798362732,0.007216088008135557,1.7773647414287552e-05,19.768387008416678,2
Varicella_and_herpes_zoster,15389,40.0,,0.0013152360916137695,0.9992356300354004,0.007084512617439032,4.859154068981297e-05,19.768235861365476,2
Chronic_kidney_disease,136989,40.0,,0.0012980926549062133,0.9993157982826233,0.006722744554281235,1.6347719792975113e-05,19.767365895920612,2
Other_sense_organ_diseases,99493,40.0,,0.0012787706218659878,0.9992121458053589,0.007201609667390585,1.4632940292358398e-05,19.766385374840958,2
Asthma,142197,40.0,,0.0012016785331070423,0.9992629885673523,0.007302391342818737,1.3848910384695046e-05,19.76247323899349,2
Gallbladder_and_biliary_diseases,62746,40.0,,0.0011957562528550625,0.9993249177932739,0.007095328066498041,1.702858935459517e-05,19.762172705368762,2
Poisonings,91498,40.0,,0.0011658460134640336,0.9991771578788757,0.008113138377666473,2.2739171981811523e-05,19.76065487232504,2
Dermatitis,77689,40.0,,0.0011626153718680143,0.9993755221366882,0.007407326251268387,1.5893807358224876e-05,19.760490929318674,2
Cirrhosis_and_other_chronic_liver_diseases,115444,40.0,,0.0011193030513823032,0.9993690252304077,0.006807056721299887,1.6567799320910126e-05,19.758292990667158,2
Pancreatitis,48066,40.0,,0.0011160314315930009,0.9993355870246887,0.00710704131051898,2.2129370336188003e-05,19.75812696817039,2
Stroke,213448,40.0,,0.0010709970956668258,0.9994202852249146,0.007260454352945089,1.1781086868722923e-05,19.755841643660705,2
Other_musculoskeletal_disorders,219603,40.0,,0.0009724801639094949,0.9994416236877441,0.007729632779955864,1.2328991942922585e-05,19.750842276974513,2
Adverse_effects_of_medical_treatment,115362,40.0,,0.0009236311889253557,0.9994407892227173,0.00751708447933197,1.7849299183581024e-05,19.748363373766363,2
Upper_digestive_system_diseases,216009,40.0,,0.0008628761861473322,0.9995750188827515,0.007644737139344215,1.2819583389500622e-05,19.745280284073147,2
Tracheal,1146,30.0,,0.002458406612277031,0.9983752965927124,0.007255407050251961,0.0004099202051293105,14.90087436539913,2
Yellow_fever,5685,30.0,,0.0021509421057999134,0.9989386200904846,0.007661812473088503,0.00015995594731066376,14.88527168895104,2
Aortic_aneurysm,48286,30.0,,0.001954616978764534,0.9987398982048035,0.006879290100187063,1.970392077055294e-05,14.87530892131044,2
Atrial_fibrillation_and_flutter,101534,30.0,,0.0016972101293504238,0.9990116357803345,0.006728275679051876,1.7273883713642135e-05,14.862246484175992,2
Parkinson's_disease,140133,30.0,,0.001600571908056736,0.9989749789237976,0.007028219755738974,1.4807169463892933e-05,14.857342455035717,2
Alzheimer's_disease_and_other_dementias,204293,30.0,,0.0014890212332829833,0.9990776181221008,0.007225359324365854,1.4940133041818626e-05,14.851681674524809,2
Bacterial_skin_diseases,14283,30.0,,0.0013951939763501287,0.9992071986198425,0.007676133885979652,7.722469308646396e-05,14.84692029133717,2
Psoriasis,47484,30.0,,0.0012851256178691983,0.999264121055603,0.007077239919453859,2.6700588932726532e-05,14.841334732847091,2
"Tracheal,_bronchus,_and_lung_cancer",188000,30.0,,0.0011176728876307607,0.9995706081390381,0.007741264067590237,1.694376624072902e-05,14.832837131611115,2
Diabetes_mellitus,231620,30.0,,0.0010570836020633578,0.9994475245475769,0.00733746774494648,1.4903454029990826e-05,14.829762451447992,2
Other_skin_and_subcutaneous_diseases,204666,30.0,,0.0007831478142179549,0.9995349645614624,0.007841210812330246,1.1549545888556167e-05,14.8158612323633,2
Ebola,10194,20.0,,0.002445325255393982,0.9986464381217957,0.00712676253169775,0.00020124591537751257,9.974837401019993,2
Zika_virus,12776,20.0,,0.002414488699287176,0.998604953289032,0.007635738700628281,0.0002974501112475991,9.97327256085935,2
Interpersonal_violence,86268,20.0,,0.002398492069914937,0.9987782835960388,0.006902297958731651,2.4868892069207504e-05,9.972460791607624,2
Trachoma,2072,20.0,,0.0020336199086159468,0.9986234307289124,0.006551122758537531,0.00020714283164124936,9.953944890884989,2
Non-rheumatic_valvular_heart_disease,77007,20.0,,0.0018826377345249057,0.9988960027694702,0.006853332743048668,1.7963922800845467e-05,9.94628310891619,2
Endocarditis,25786,20.0,,0.0018575984286144376,0.9987329840660095,0.007719812914729118,4.6796521928627044e-05,9.945012457571478,2
Alcohol_use_disorders,39037,20.0,,0.0017676412826403975,0.999144971370697,0.006683488842099905,2.377766759309452e-05,9.94044746807429,2
Acute_glomerulonephritis,32647,20.0,,0.001632543746381998,0.9988569617271423,0.006603907328099012,2.910082184826024e-05,9.93359177220446,2
Stomach_cancer,103320,20.0,,0.001527757034637034,0.9994316101074219,0.007401833776384592,1.8727321730693802e-05,9.928274237578597,2
Alopecia_areata,4415,20.0,,0.00147624674718827,0.9991047978401184,0.006488794926553965,0.00020206662884447724,9.925660282693135,2
Eating_disorders,51541,20.0,,0.0014383376110345125,0.9991678595542908,0.007197868078947067,1.8977201762027107e-05,9.923736535485334,2
Hodgkin_lymphoma,27318,20.0,,0.001427644514478743,0.9991455078125,0.0068832156248390675,3.125117291347124e-05,9.923193900734743,2
Malignant_skin_melanoma,120427,20.0,,0.0011710887774825096,0.9994215965270996,0.007789527531713247,1.4763611943635624e-05,9.91017465437971,2
Hypertensive_heart_disease,228464,20.0,,0.0010738575365394354,0.9994747042655945,0.007208548486232758,1.2819583389500622e-05,9.905240531704987,2
Lower_extremity_peripheral_arterial_disease,52741,20.0,,0.0010444909567013383,0.9994124174118042,0.0074417670257389545,1.9075778254773468e-05,9.903750287354992,2
Other_digestive_diseases,218025,20.0,,0.0007999330991879106,0.9996199607849121,0.007772253360599279,1.6471514754812233e-05,9.891339888615507,2
Conduct_disorder,6012,10.0,,0.0033469724003225565,0.9983583092689514,0.005803059320896864,0.00014329873374663293,5.095219494941742,2
African_trypanosomiasis,4845,10.0,,0.002652810886502266,0.9985998868942261,0.007300170138478279,0.0001157426813733764,5.059993388270264,2
Chagas_disease,17438,10.0,,0.0022344356402754784,0.9986300468444824,0.007747333962470293,5.605129263130948e-05,5.03876240562592,2
Attention-deficit_hyperactivity_disorder,44908,10.0,,0.0021696758922189474,0.999022901058197,0.006137066055089235,2.1478304915945046e-05,5.035476090052902,2
Food-borne_trematodiases,17465,10.0,,0.001953926170244813,0.9989221096038818,0.007281002122908831,5.787152622360736e-05,5.024527596698991,2
Neuroblastoma_and_other_peripheral_nervous_cell_tumors,34075,10.0,,0.001499040168710053,0.9991012811660767,0.007722422480583191,3.627171827247366e-05,5.001443829456928,2
Eye_cancer,20518,10.0,,0.0014800566714257002,0.9991307258605957,0.007083289325237274,4.412806811160408e-05,5.000480487803693,2
Environmental_heat_and_cold_exposure,10160,10.0,,0.0014744317159056664,0.9989790916442871,0.007225159090012312,7.270161586347967e-05,5.000195042299691,2
Motor_neuron_disease,52517,10.0,,0.0014657085994258523,0.9990520477294922,0.00799647718667984,2.2695614461554214e-05,4.999752376687281,2
Sudden_infant_death_syndrome,4695,10.0,,0.0014610439538955688,0.9989871978759766,0.00680845882743597,0.00012740492820739746,4.999515663332015,2
Multiple_myeloma,45115,10.0,,0.0014506310690194368,0.9991554021835327,0.007238815538585186,2.1533323888434097e-05,4.998987248278597,2
Testicular_cancer,12763,10.0,,0.0014483582926914096,0.9991868138313293,0.006841416470706463,5.250252070254646e-05,4.9988719133604596,2
Gallbladder_and_biliary_tract_cancer,17652,10.0,,0.0014465403510257602,0.9994730353355408,0.006799664348363876,4.082688974449411e-05,4.998779659604292,2
Esophageal_cancer,51432,10.0,,0.001415446400642395,0.9994931817054749,0.006911867763847113,2.646217035362497e-05,4.9972017576445396,2
Larynx_cancer,14243,10.0,,0.0013770520454272628,0.9993435144424438,0.007105918135493994,5.813057578052394e-05,4.995253387379891,2
Other_mental_disorders,219665,10.0,,0.0013237077509984374,0.9994320869445801,0.007374185603111982,1.2028675882902462e-05,4.992546363483503,2
Soft_tissue_and_other_extraosseous_sarcomas,69865,10.0,,0.0013188302982598543,0.9994239807128906,0.007324570789933205,1.7163845768664032e-05,4.9922988509564705,2
Other_pharynx_cancer,27592,10.0,,0.0012990713585168123,0.9995047450065613,0.006896326318383217,3.398152330191806e-05,4.991296158491898,2
Other_neoplasms,112046,10.0,,0.001291214837692678,0.9993516206741333,0.006808165926486254,1.3044247680227272e-05,4.990897469375448,2
Thyroid_cancer,52209,10.0,,0.0012881809379905462,0.9993529319763184,0.007098181638866663,2.3972530470928177e-05,4.990743510286088,2
Liver_cancer,156561,10.0,,0.0012881738366559148,0.9994845390319824,0.0072370655834674835,1.712487210170366e-05,4.990743149919853,2
Kidney_cancer,67556,10.0,,0.0012730627786368132,0.9994548559188843,0.007261249702423811,2.0343522919574752e-05,4.989976320109927,2
Pulmonary_Arterial_Hypertension,52658,10.0,,0.0012711983872577548,0.9991531372070312,0.007844376377761364,3.228737841709517e-05,4.989881709204125,2
Non-melanoma_skin_cancer,102183,10.0,,0.0012498199939727783,0.9995923638343811,0.006761476397514343,1.4456419194175396e-05,4.9887968355150365,2
Maternal_disorders,197490,10.0,,0.0012421804713085294,0.9991770386695862,0.007051172200590372,1.1258400263614021e-05,4.988409158245507,2
Multiple_sclerosis,90164,10.0,,0.0012393820798024535,0.9991677403450012,0.006975026801228523,1.3864957509213127e-05,4.988267150318334,2
Mesothelioma,14334,10.0,,0.0012371272314339876,0.9993435144424438,0.007207092363387346,5.647998477797955e-05,4.988152725177247,2
Malignant_neoplasm_of_bone_and_articular_cartilage,72852,10.0,,0.0012254565954208374,0.9993911981582642,0.0074175214394927025,1.8695225662668236e-05,4.987560483946728,2
Cervical_cancer,77362,10.0,,0.0012234514579176903,0.999399721622467,0.00727734062820673,1.765443812473677e-05,4.9874587307003,2
Other_nutritional_deficiencies,72403,10.0,,0.00122140406165272,0.999301552772522,0.0072068339213728905,1.9832299585686997e-05,4.987354832979392,2
Pancreatic_cancer,87717,10.0,,0.0012173973955214024,0.9995570182800293,0.007388839963823557,1.5595784134347923e-05,4.987151509623474,2
Gout,12818,10.0,,0.0012046241899952292,0.9992230534553528,0.007543409243226051,8.549140329705551e-05,4.986503317104236,2
Ovarian_cancer,88730,10.0,,0.0012010389473289251,0.9995417594909668,0.0074203903786838055,1.5753965271869674e-05,4.986321379416692,2
Nasopharynx_cancer,24915,10.0,,0.0011983930598944426,0.9994438290596008,0.007790419738739729,4.155819260631688e-05,4.986187110502106,2
Bladder_cancer,54009,10.0,,0.0011978810653090477,0.9995356202125549,0.007083744276314974,2.2429685486713424e-05,4.986161128687325,2
Brain_and_central_nervous_system_cancer,155117,10.0,,0.0011831409065052867,0.9993929862976074,0.007337271235883236,1.601072472112719e-05,4.9854131206286265,2
Prostate_cancer,164684,10.0,,0.0011781960492953658,0.9994072914123535,0.007247893139719963,1.2936500752402935e-05,4.985162187576183,2
Lip_and_oral_cavity_cancer,57156,10.0,,0.0011779284104704857,0.9994972348213196,0.007045316975563765,2.0038623915752396e-05,4.985148605904472,2
Uterine_cancer,96168,10.0,,0.001155062927864492,0.9995306730270386,0.007061760872602463,1.3938317351858132e-05,4.983988267981183,2
Other_unspecified_infectious_diseases,211595,10.0,,0.0011427205754444003,0.9993295073509216,0.00756648788228631,1.1666463251458481e-05,4.983361939649417,2
Rheumatoid_arthritis,111424,10.0,,0.0011207318166270852,0.9993170499801636,0.007166572846472263,2.126281106029637e-05,4.982246092187046,2
Inflammatory_bowel_disease,95884,10.0,,0.0011190694058313966,0.9993254542350769,0.007038096431642771,1.766819150361698e-05,4.982161731042191,2
Other_intestinal_infectious_diseases,25413,10.0,,0.0011003565741702914,0.9993236660957336,0.007296539843082428,3.6209821701049805e-05,4.981212124659388,2
Other_chronic_respiratory_diseases,99873,10.0,,0.0010788876097649336,0.9993942379951477,0.007234664633870125,2.6017427444458008e-05,4.980122654823893,2
Breast_cancer,219224,10.0,,0.0010550826555117965,0.9995400905609131,0.007509819231927395,1.5125824575079605e-05,4.978914642220002,2
Colon_and_rectum_cancer,190757,10.0,,0.0010421520564705133,0.9996317625045776,0.0075095584616065025,1.499515292380238e-05,4.97825846256716,2
Other_malignant_neoplasms,221347,10.0,,0.0010278815170750022,0.9996271729469299,0.007286077830940485,1.2312943908909801e-05,4.977534285941119,2
Gynecological_diseases,207352,10.0,,0.000982270808890462,0.9995316863059998,0.007290965411812067,1.1391364751034416e-05,4.975219712689963,2
Other_cardiovascular_and_circulatory_diseases,210283,10.0,,0.0009405058808624744,0.9995600581169128,0.007804782595485449,1.6721394786145538e-05,4.973100298431827,2
Urinary_diseases_and_male_infertility,217013,10.0,,0.0008891248726285994,0.9995130896568298,0.007422324735671282,1.1638952855719253e-05,4.9704929039841375,2
Other_neurological_disorders,220012,10.0,,0.0008771502762101591,0.9995073676109314,0.007837469689548016,1.4089620890445076e-05,4.969885237897231,2
"Endocrine,_metabolic,_blood,_and_immune_disorders",219891,10.0,,0.0008232027175836265,0.999566376209259,0.0076827858574688435,1.4027724319021218e-05,4.967147600593797,2
