Biobank,Theme,Top Terms,All Terms
FinnGen,2,"cytomegalovirus infections, herpes simplex, herpesviridae, puberty, precocious, eukaryotic initiation factor-4g","cytomegalovirus infections, herpes simplex, herpesviridae, puberty, precocious, eukaryotic initiation factor-4g, cytomegalovirus, herpesviridae infections, herpesvirus 1, human, tor serine-threonine kinases, idiopathic pulmonary fibrosis"
FinnGen,3,"primary immunodeficiency diseases, varicella zoster virus infection, immunologic deficiency syndromes, virus activation, herpes zoster","primary immunodeficiency diseases, varicella zoster virus infection, immunologic deficiency syndromes, virus activation, herpes zoster, herpesvirus 3, human, mendelian randomization analysis, chickenpox, infectious mononucleosis, crohn disease"
FinnGen,4,"regulatory factor x transcription factors, mice, inbred nod, insulin-secreting cells, narcolepsy, mice, scid","regulatory factor x transcription factors, mice, inbred nod, insulin-secreting cells, narcolepsy, mice, scid, basic helix-loop-helix transcription factors, haploinsufficiency, nerve tissue proteins, autoimmunity, puberty, precocious"
FinnGen,5,"exotropia, esotropia, polymorphism, genetic, strabismus, blood coagulation factors","exotropia, esotropia, polymorphism, genetic, strabismus, blood coagulation factors, serine-arginine splicing factors, butyrophilins, chromosomes, human, pair 3, patient acuity, prostatic diseases"
All of Us,1,"nursing research, science, philosophy, burns, chemical, caustics","nursing research, science, philosophy, burns, chemical, caustics, household products, esophageal stenosis, mythology, oral hygiene, tooth diseases"
All of Us,2,"cementation, dental prosthesis design, dental casting technique, crowns, gold alloys","cementation, dental prosthesis design, dental casting technique, crowns, gold alloys, dental marginal adaptation, dental pins, empathy, plants, medicinal, physician-patient relations"
All of Us,3,"history, 20th century, history, 21st century, psychoanalytic theory, psychoanalysis, practice management, dental","history, 20th century, history, 21st century, psychoanalytic theory, psychoanalysis, practice management, dental, national institutes of health (u.s.), thoracic surgery, interprofessional relations, mythology, history, 19th century"
All of Us,4,"consumer product safety, biotechnology, food, genetically modified, organisms, genetically modified, food technology","consumer product safety, biotechnology, food, genetically modified, organisms, genetically modified, food technology, food supply, food industry, interprofessional relations, terminal care, plants, genetically modified"
All of Us,5,"disaster planning, personnel, hospital, health facility closure, reimbursement mechanisms, gatekeeping","disaster planning, personnel, hospital, health facility closure, reimbursement mechanisms, gatekeeping, emergency service, hospital, ice, electricity, new york, disasters"
Estonian Biobank,1,"s-adenosylmethionine, purines, mercaptopurine, methyltransferases, gene expression profiling","s-adenosylmethionine, purines, mercaptopurine, methyltransferases, gene expression profiling, oxidation-reduction, estonia, prophylactic mastectomy, orosomucoid, brca2 protein"
Estonian Biobank,2,"prophylactic mastectomy, brca2 protein, truth disclosure, hereditary breast and ovarian cancer syndrome, attitude","prophylactic mastectomy, brca2 protein, truth disclosure, hereditary breast and ovarian cancer syndrome, attitude, genetic carrier screening, brca1 protein, patient compliance, genetic counseling, medication adherence"
Estonian Biobank,3,"ccaat-enhancer-binding proteins, gata2 transcription factor, enhancer elements, genetic, basophils, base sequence","ccaat-enhancer-binding proteins, gata2 transcription factor, enhancer elements, genetic, basophils, base sequence, gene expression regulation, developmental, hematopoiesis, databases, nucleic acid, cell lineage, estonia"
Estonian Biobank,4,"ixodes, lyme disease, borrelia burgdorferi, secretoglobins, candidiasis, vulvovaginal","ixodes, lyme disease, borrelia burgdorferi, secretoglobins, candidiasis, vulvovaginal, milk proteins, antigens, surface, genetic loci, mass screening, serpins"
Estonian Biobank,5,"estonia, alphapapillomavirus, cd59 antigens, gene dosage, polymerase chain reaction","estonia, alphapapillomavirus, cd59 antigens, gene dosage, polymerase chain reaction, carcinogens, human papillomavirus 18, papillomavirus vaccines, papillomaviridae, electronic health records"
