Biobank,Cluster_ID,Number_of_Publications,Total_Unique_MeSH_Terms,Top_5_Semantic_Terms_cDF_IPF,Cluster_Description,Primary_Research_Theme,c_DF_IPF_Score_Range,Term_1_MeSH,Term_1_Semantic_Descriptor,Term_1_cDF_IPF_Score,Term_1_DF_Score,Term_1_IPF_Score,Term_2_MeSH,Term_2_Semantic_Descriptor,Term_2_cDF_IPF_Score,Term_2_DF_Score,Term_2_IPF_Score,Term_3_MeSH,Term_3_Semantic_Descriptor,Term_3_cDF_IPF_Score,Term_3_DF_Score,Term_3_IPF_Score,Term_4_MeSH,Term_4_Semantic_Descriptor,Term_4_cDF_IPF_Score,Term_4_DF_Score,Term_4_IPF_Score,Term_5_MeSH,Term_5_Semantic_Descriptor,Term_5_cDF_IPF_Score,Term_5_DF_Score,Term_5_IPF_Score
Estonian Biobank,C7,133,497,phenotype polymorphism_single_nucleotide (Phenotype Polymorphism Single Nucleotide): 0.5699 | quantitative_trait_loci (Quantitative Trait Loci): 0.5477 | polymorphism_single_nucleotide (Polymorphism Single Nucleotide): 0.5288 | phenotype (Phenotype): 0.5085 | animals (Animals): 0.4322,"Research spanning Phenotype Polymorphism Single Nucleotide, Quantitative Trait Loci, and Polymorphism Single Nucleotide",Genomics,0.5699 - 0.4322,phenotype polymorphism_single_nucleotide,Phenotype Polymorphism Single Nucleotide,0.5699317023545661,0.21804511278195488,2.613824703901976,quantitative_trait_loci,Quantitative Trait Loci,0.5476681729048545,0.23308270676691728,2.3496731289143757,polymorphism_single_nucleotide,Polymorphism Single Nucleotide,0.528779043206862,0.5338345864661654,0.9905297569931358,phenotype,Phenotype,0.5085442770264276,0.2857142857142857,1.7799049695924964,animals,Animals,0.43222715681661356,0.15789473684210525,2.7374386598385527
Estonian Biobank,C4,82,498,young_adult (Young Adult): 1.5514 | adult aged (Adult Aged): 1.4195 | adolescent adult (Adolescent Adult): 1.3468 | adolescent (Adolescent): 1.2993 | adult (Adult): 1.2241,"Research spanning Young Adult, Adult Aged, and Adolescent Adult",Pediatric,1.5514 - 1.2241,young_adult,Young Adult,1.5514357965467864,0.6951219512195121,2.2318900932778334,adult aged,Adult Aged,1.419486880283735,0.6585365853658537,2.155517114504931,adolescent adult,Adolescent Adult,1.346824148572303,0.524390243902439,2.5683623298355545,adolescent,Adolescent,1.2993429701051384,0.5487804878048781,2.3676916344138075,adult,Adult,1.2241138658565842,0.9878048780487805,1.239226382719011
Estonian Biobank,C0,70,397,male middle_aged (Male Middle Aged): 1.1035 | middle_aged (Middle Aged): 1.0987 | aged (Aged): 0.9939 | humans male (Humans Male): 0.8558 | male (Male): 0.7130,"Research spanning Male Middle Aged, Middle Aged, and Aged",Male Middle Aged,1.1035 - 0.7130,male middle_aged,Male Middle Aged,1.1034635848036547,0.5571428571428572,1.9805756650322008,middle_aged,Middle Aged,1.098657275051723,0.7857142857142857,1.3982910773385566,aged,Aged,0.9939155690662297,0.6,1.6565259484437163,humans male,Humans Male,0.8557928628108449,0.5,1.7115857256216898,male,Male,0.7130000320498124,0.8714285714285714,0.8181967580899486
Estonian Biobank,C9,66,295,genetics_population (Genetics Population): 0.8192 | genetic_variation (Genetic Variation): 0.7563 | genome_human (Genome Human): 0.7259 | estonia (Estonia): 0.6622 | haplotypes (Haplotypes): 0.6144,"Research spanning Genetics Population, Genetic Variation, and Genome Human",Genomics,0.8192 - 0.6144,genetics_population,Genetics Population,0.819222435339177,0.24242424242424243,3.3792925457741054,genetic_variation,Genetic Variation,0.7563278879791085,0.3484848484848485,2.1703322002878767,genome_human,Genome Human,0.7258507507854235,0.2727272727272727,2.661452752879886,estonia,Estonia,0.6622333568636837,0.30303030303030304,2.185370077650156,haplotypes,Haplotypes,0.6144168265043828,0.18181818181818182,3.3792925457741054
Estonian Biobank,C6,65,367,obesity (Obesity): 1.0610 | body_mass_index (Body Mass Index): 1.0211 | genetic_loci (Genetic Loci): 1.0102 | white_people (White People): 0.7060 | genetic_loci genomewide_association_study (Genetic Loci Genomewide Association Study): 0.6969,"Research spanning Obesity, Body Mass Index, and Genetic Loci",Genomics,1.0610 - 0.6969,obesity,Obesity,1.0609853968861325,0.4307692307692308,2.4630018141999503,body_mass_index,Body Mass Index,1.0210533502717416,0.47692307692307695,2.1409183150859095,genetic_loci,Genetic Loci,1.0101596570651488,0.4461538461538462,2.2641509554908508,white_people,White People,0.7060426404715888,0.3230769230769231,2.185370077650156,genetic_loci genomewide_association_study,Genetic Loci Genomewide Association Study,0.6969306122752753,0.2,3.484653061376376
Estonian Biobank,C5,62,248,genetic_predisposition_to_disease genomewide_association_study (Genetic Predisposition To Disease Genomewide Association Study): 1.4725 | genetic_predisposition_to_disease (Genetic Predisposition To Disease): 1.0247 | genomewide_association_study humans (Genomewide Association Study Humans): 0.9580 | genomewide_association_study (Genomewide Association Study): 0.6571 | humans polymorphism_single_nucleotide (Humans Polymorphism Single Nucleotide): 0.6274,"Research spanning Genetic Predisposition To Disease Genomewide Association Study, Genetic Predisposition To Disease, and Genomewide Association Study Humans",Genomics,1.4725 - 0.6274,genetic_predisposition_to_disease genomewide_association_study,Genetic Predisposition To Disease Genomewide Association Study,1.472466522481124,0.8225806451612904,1.7900573410554839,genetic_predisposition_to_disease,Genetic Predisposition To Disease,1.0246794792608183,0.8387096774193549,1.221733225272514,genomewide_association_study humans,Genomewide Association Study Humans,0.9580127044739324,0.6290322580645161,1.5229945558303541,genomewide_association_study,Genomewide Association Study,0.6571417396420304,0.9838709677419355,0.6679145550459981,humans polymorphism_single_nucleotide,Humans Polymorphism Single Nucleotide,0.6274384143881876,0.16129032258064516,3.890118169206763
Estonian Biobank,C2,35,227,genetic_variation (Genetic Variation): 2.1083 | genetic_variation genomewide_association_study (Genetic Variation Genomewide Association Study): 2.0483 | genetic_predisposition_to_disease genetic_variation (Genetic Predisposition To Disease Genetic Variation): 1.9310 | genetic_predisposition_to_disease (Genetic Predisposition To Disease): 0.6981 | diabetes_mellitus_type_2 (Diabetes Mellitus Type 2): 0.6871,"Research spanning Genetic Variation, Genetic Variation Genomewide Association Study, and Genetic Predisposition To Disease Genetic Variation",Genomics,2.1083 - 0.6871,genetic_variation,Genetic Variation,2.1083227088510803,0.9714285714285714,2.1703322002878767,genetic_variation genomewide_association_study,Genetic Variation Genomewide Association Study,2.048267156363028,0.6571428571428571,3.116928281421999,genetic_predisposition_to_disease genetic_variation,Genetic Predisposition To Disease Genetic Variation,1.9310243118709174,0.5714285714285714,3.3792925457741054,genetic_predisposition_to_disease,Genetic Predisposition To Disease,0.6981332715842936,0.5714285714285714,1.221733225272514,diabetes_mellitus_type_2,Diabetes Mellitus Type 2,0.6870665445963701,0.2857142857142857,2.4047329060872955
Estonian Biobank,C1,27,113,biological_specimen_banks (Biological Specimen Banks): 1.5826 | europe (Europe): 1.1153 | databases_factual (Databases Factual): 1.0865 | europe humans (Europe Humans): 1.0185 | biomedical_research (Biomedical Research): 1.0185,"Research spanning Biological Specimen Banks, Europe, and Databases Factual",Biological Specimen Banks,1.5826 - 1.0185,biological_specimen_banks,Biological Specimen Banks,1.5825912749543432,0.5555555555555556,2.8486642949178176,europe,Europe,1.1152527873416325,0.4074074074074074,2.7374386598385527,databases_factual,Databases Factual,1.0865109979434724,0.2962962962962963,3.6669746180592195,europe humans,Europe Humans,1.0185034108740831,0.2222222222222222,4.583265348933375,biomedical_research,Biomedical Research,1.0185034108740831,0.2222222222222222,4.583265348933375
Estonian Biobank,C8,25,110,depressive_disorder_major (Depressive Disorder Major): 1.6764 | polymorphism_single_nucleotide risk_factors (Polymorphism Single Nucleotide Risk Factors): 1.6438 | risk_factors (Risk Factors): 1.4485 | depressive_disorder_major genomewide_association_study (Depressive Disorder Major Genomewide Association Study): 0.7982 | genomewide_association_study humans (Genomewide Association Study Humans): 0.7920,"Research spanning Depressive Disorder Major, Polymorphism Single Nucleotide Risk Factors, and Risk Factors",Genomics,1.6764 - 0.7920,depressive_disorder_major,Depressive Disorder Major,1.6764332031028246,0.44,3.8100754615973287,polymorphism_single_nucleotide risk_factors,Polymorphism Single Nucleotide Risk Factors,1.6438256953793629,0.44,3.735967489498552,risk_factors,Risk Factors,1.448541302604875,0.8,1.8106766282560935,depressive_disorder_major genomewide_association_study,Depressive Disorder Major Genomewide Association Study,0.798196872993313,0.16,4.988730456208206,genomewide_association_study humans,Genomewide Association Study Humans,0.7919571690317841,0.52,1.5229945558303541
Estonian Biobank,C3,22,104,endometrium (Endometrium): 1.2500 | prospective_studies (Prospective Studies): 1.0308 | multicenter_studies_as_topic (Multicenter Studies As Topic): 0.9070 | menstrual_cycle (Menstrual Cycle): 0.8665 | gene_expression_profiling humans (Gene Expression Profiling Humans): 0.8665,"Research spanning Endometrium, Prospective Studies, and Multicenter Studies As Topic",Epidemiological,1.2500 - 0.8665,endometrium,Endometrium,1.249981458800011,0.2727272727272727,4.583265348933375,prospective_studies,Prospective Studies,1.0307597374658704,0.3181818181818182,3.239530603464164,multicenter_studies_as_topic,Multicenter Studies As Topic,0.9070419011287647,0.18181818181818182,4.988730456208206,menstrual_cycle,Menstrual Cycle,0.866470346435272,0.18181818181818182,4.765586905393996,gene_expression_profiling humans,Gene Expression Profiling Humans,0.866470346435272,0.18181818181818182,4.765586905393996
FinnGen,C8,456,762,genomewide_association_study mendelian_randomization_analysis (Genomewide Association Study Mendelian Randomization Analysis): 0.3802 | polymorphism_single_nucleotide (Polymorphism Single Nucleotide): 0.2505 | diabetes_mellitus_type_2 (Diabetes Mellitus Type 2): 0.2424 | genetic_predisposition_to_disease (Genetic Predisposition To Disease): 0.2239 | genetic_predisposition_to_disease genomewide_association_study (Genetic Predisposition To Disease Genomewide Association Study): 0.2065,"Research spanning Genomewide Association Study Mendelian Randomization Analysis, Polymorphism Single Nucleotide, and Diabetes Mellitus Type 2",Genomics,0.3802 - 0.2065,genomewide_association_study mendelian_randomization_analysis,Genomewide Association Study Mendelian Randomization Analysis,0.3802164034308483,0.2236842105263158,1.6997909800437923,polymorphism_single_nucleotide,Polymorphism Single Nucleotide,0.2505305795551182,0.3048245614035088,0.8218844912024021,diabetes_mellitus_type_2,Diabetes Mellitus Type 2,0.24244874314681858,0.09429824561403509,2.571084345929053,genetic_predisposition_to_disease,Genetic Predisposition To Disease,0.22392231200127283,0.17543859649122806,1.2763571784072552,genetic_predisposition_to_disease genomewide_association_study,Genetic Predisposition To Disease Genomewide Association Study,0.206500437889149,0.07456140350877193,2.76953528463094
FinnGen,C2,183,435,risk_factors (Risk Factors): 0.8213 | polymorphism_single_nucleotide risk_factors (Polymorphism Single Nucleotide Risk Factors): 0.8128 | humans mendelian_randomization_analysis (Humans Mendelian Randomization Analysis): 0.7617 | polymorphism_single_nucleotide (Polymorphism Single Nucleotide): 0.7231 | genomewide_association_study polymorphism_single_nucleotide (Genomewide Association Study Polymorphism Single Nucleotide): 0.7090,"Research spanning Risk Factors, Polymorphism Single Nucleotide Risk Factors, and Humans Mendelian Randomization Analysis",Genomics,0.8213 - 0.7090,risk_factors,Risk Factors,0.8213316900998211,0.6338797814207651,1.2957215455885107,polymorphism_single_nucleotide risk_factors,Polymorphism Single Nucleotide Risk Factors,0.8127782525749333,0.26229508196721313,3.098717087941933,humans mendelian_randomization_analysis,Humans Mendelian Randomization Analysis,0.7616689622022954,0.5409836065573771,1.4079335361921217,polymorphism_single_nucleotide,Polymorphism Single Nucleotide,0.7230787053747909,0.8797814207650273,0.8218844912024021,genomewide_association_study polymorphism_single_nucleotide,Genomewide Association Study Polymorphism Single Nucleotide,0.708999848554932,0.23497267759562843,3.017371448501222
FinnGen,C0,165,524,male (Male): 1.3400 | middle_aged (Middle Aged): 1.1059 | female male (Female Male): 1.0679 | humans male (Humans Male): 1.0273 | female (Female): 0.9628,"Research spanning Male, Middle Aged, and Female Male",Male,1.3400 - 0.9628,male,Male,1.3400426076660457,0.9454545454545454,1.4173527581083176,middle_aged,Middle Aged,1.105902369602327,0.509090909090909,2.1723082260045707,female male,Female Male,1.0679356824273516,0.3575757575757576,2.9865997898392034,humans male,Humans Male,1.0273033232094588,0.3333333333333333,3.0819099696283767,female,Female,0.962801452707227,0.8727272727272727,1.1032099978936976
FinnGen,C6,100,188,gastrointestinal_microbiome (Gastrointestinal Microbiome): 2.4056 | humans gastrointestinal_microbiome (Humans Gastrointestinal Microbiome): 1.5158 | gastrointestinal_microbiome genomewide_association_study (Gastrointestinal Microbiome Genomewide Association Study): 1.4826 | mendelian_randomization_analysis gastrointestinal_microbiome (Mendelian Randomization Analysis Gastrointestinal Microbiome): 1.0761 | gastrointestinal_microbiome mendelian_randomization_analysis (Gastrointestinal Microbiome Mendelian Randomization Analysis): 0.6771,"Research spanning Gastrointestinal Microbiome, Humans Gastrointestinal Microbiome, and Gastrointestinal Microbiome Genomewide Association Study",Genomics,2.4056 - 0.6771,gastrointestinal_microbiome,Gastrointestinal Microbiome,2.4055699074667336,1.0,2.4055699074667336,humans gastrointestinal_microbiome,Humans Gastrointestinal Microbiome,1.5157550822244021,0.47,3.2250108132434088,gastrointestinal_microbiome genomewide_association_study,Gastrointestinal Microbiome Genomewide Association Study,1.482620498490825,0.44,3.369592042024602,mendelian_randomization_analysis gastrointestinal_microbiome,Mendelian Randomization Analysis Gastrointestinal Microbiome,1.076050402382426,0.29,3.7105186289049175,gastrointestinal_microbiome mendelian_randomization_analysis,Gastrointestinal Microbiome Mendelian Randomization Analysis,0.677090488371902,0.16,4.231815552324387
FinnGen,C9,100,402,male female (Male Female): 2.3285 | male (Male): 1.3890 | middle_aged (Middle Aged): 1.2382 | female (Female): 1.1032 | female middle_aged (Female Middle Aged): 0.8579,"Research spanning Male Female, Male, and Middle Aged",Male Female,2.3285 - 0.8579,male female,Male Female,2.3285070295709183,0.87,2.676444861575768,male,Male,1.3890057029461513,0.98,1.4173527581083176,middle_aged,Middle Aged,1.2382156888226052,0.57,2.1723082260045707,female,Female,1.1032099978936976,1.0,1.1032099978936976,female middle_aged,Female Middle Aged,0.8578945364228993,0.21,4.0852120782042824
FinnGen,C7,89,217,humans genomewide_association_study (Humans Genomewide Association Study): 2.4844 | genomewide_association_study mendelian_randomization_analysis (Genomewide Association Study Mendelian Randomization Analysis): 1.0886 | polymorphism_single_nucleotide (Polymorphism Single Nucleotide): 0.3140 | telomere (Telomere): 0.3109 | lupus_erythematosus_systemic (Lupus Erythematosus Systemic): 0.2969,"Research spanning Humans Genomewide Association Study, Genomewide Association Study Mendelian Randomization Analysis, and Polymorphism Single Nucleotide",Genomics,2.4844 - 0.2969,humans genomewide_association_study,Humans Genomewide Association Study,2.484412610124344,0.9775280898876404,2.5415255436904207,genomewide_association_study mendelian_randomization_analysis,Genomewide Association Study Mendelian Randomization Analysis,1.0886301782302938,0.6404494382022472,1.6997909800437923,polymorphism_single_nucleotide,Polymorphism Single Nucleotide,0.3139783449537267,0.38202247191011235,0.8218844912024021,telomere,Telomere,0.3108745060979579,0.06741573033707865,4.611305173786376,lupus_erythematosus_systemic,Lupus Erythematosus Systemic,0.29687634668442897,0.06741573033707865,4.403665809152363
FinnGen,C3,73,214,pregnancy (Pregnancy): 2.8588 | female pregnancy (Female Pregnancy): 1.3553 | diabetes_gestational (Diabetes Gestational): 1.2731 | preeclampsia (Preeclampsia): 1.2178 | female (Female): 1.1032,"Research spanning Pregnancy, Female Pregnancy, and Diabetes Gestational",Metabolic,2.8588 - 1.1032,pregnancy,Pregnancy,2.8587664183475003,1.0,2.8587664183475003,female pregnancy,Female Pregnancy,1.3552666803934736,0.3424657534246575,3.957378706748943,diabetes_gestational,Diabetes Gestational,1.2731162638359435,0.3150684931506849,4.040760315653212,preeclampsia,Preeclampsia,1.217763382799598,0.3013698630136986,4.040760315653212,female,Female,1.1032099978936976,1.0,1.1032099978936976
FinnGen,C1,61,168,causality (Causality): 2.1971 | depressive_disorder_major (Depressive Disorder Major): 1.0599 | genomewide_association_study causality (Genomewide Association Study Causality): 0.8460 | humans depressive_disorder_major (Humans Depressive Disorder Major): 0.7346 | depression (Depression): 0.5781,"Research spanning Causality, Depressive Disorder Major, and Genomewide Association Study Causality",Genomics,2.1971 - 0.5781,causality,Causality,2.197121870859168,0.7540983606557377,2.9135746548349837,depressive_disorder_major,Depressive Disorder Major,1.0598715582041212,0.26229508196721313,4.040760315653212,genomewide_association_study causality,Genomewide Association Study Causality,0.8459807654976051,0.18032786885245902,4.69134788139581,humans depressive_disorder_major,Humans Depressive Disorder Major,0.734610976756202,0.14754098360655737,4.979029953569814,depression,Depression,0.5780888843032692,0.14754098360655737,3.9181579936110467
FinnGen,C4,47,159,genetic_predisposition_to_disease polymorphism_single_nucleotide (Genetic Predisposition To Disease Polymorphism Single Nucleotide): 2.0191 | autoimmune_diseases (Autoimmune Diseases): 2.0008 | mendelian_randomization_analysis autoimmune_diseases (Mendelian Randomization Analysis Autoimmune Diseases): 1.0370 | genetic_predisposition_to_disease (Genetic Predisposition To Disease): 0.9505 | humans mendelian_randomization_analysis (Humans Mendelian Randomization Analysis): 0.7489,"Research spanning Genetic Predisposition To Disease Polymorphism Single Nucleotide, Autoimmune Diseases, and Mendelian Randomization Analysis Autoimmune Diseases",Genomics,2.0191 - 0.7489,genetic_predisposition_to_disease polymorphism_single_nucleotide,Genetic Predisposition To Disease Polymorphism Single Nucleotide,2.019090301803798,0.5531914893617021,3.649894007106865,autoimmune_diseases,Autoimmune Diseases,2.000761528652449,0.5106382978723404,3.9181579936110467,mendelian_randomization_analysis autoimmune_diseases,Mendelian Randomization Analysis Autoimmune Diseases,1.0369509442602336,0.2127659574468085,4.873669438023098,genetic_predisposition_to_disease,Genetic Predisposition To Disease,0.9504787498777432,0.7446808510638298,1.2763571784072552,humans mendelian_randomization_analysis,Humans Mendelian Randomization Analysis,0.748900817123469,0.5319148936170213,1.4079335361921217
FinnGen,C5,34,117,crohn_disease (Crohn Disease): 3.2488 | colitis_ulcerative (Colitis Ulcerative): 3.2199 | inflammatory_bowel_diseases (Inflammatory Bowel Diseases): 3.1701 | colitis_ulcerative crohn_disease (Colitis Ulcerative Crohn Disease): 2.2690 | inflammatory_bowel_diseases colitis_ulcerative (Inflammatory Bowel Diseases Colitis Ulcerative): 1.3180,"Research spanning Crohn Disease, Colitis Ulcerative, and Inflammatory Bowel Diseases",Crohn Disease,3.2488 - 1.3180,crohn_disease,Crohn Disease,3.2488177161438068,0.8529411764705882,3.8089587016858424,colitis_ulcerative,Colitis Ulcerative,3.2199016867831767,0.8529411764705882,3.7750571500216554,inflammatory_bowel_diseases,Inflammatory Bowel Diseases,3.170060817602873,0.8823529411764706,3.592735593283256,colitis_ulcerative crohn_disease,Colitis Ulcerative Crohn Disease,2.2689967624758123,0.5294117647058824,4.285882773565423,inflammatory_bowel_diseases colitis_ulcerative,Inflammatory Bowel Diseases Colitis Ulcerative,1.3179785171214213,0.2647058823529412,4.979029953569814
