Biobank,Cluster_ID,Number_of_Publications,Total_Unique_MeSH_Terms,Primary_Research_Theme,Top_5_Semantic_Terms_cDF_IPF
Estonian Biobank,C0,70,397,Male Middle Aged,male middle_aged (Male Middle Aged): 1.1035 | middle_aged (Middle Aged): 1.0987 | aged (Aged): 0.9939 | humans male (Humans Male): 0.8558 | male (Male): 0.7130
Estonian Biobank,C9,66,295,Genomics,genetics_population (Genetics Population): 0.8192 | genetic_variation (Genetic Variation): 0.7563 | genome_human (Genome Human): 0.7259 | estonia (Estonia): 0.6622 | haplotypes (Haplotypes): 0.6144
Estonian Biobank,C6,65,367,Genomics,obesity (Obesity): 1.0610 | body_mass_index (Body Mass Index): 1.0211 | genetic_loci (Genetic Loci): 1.0102 | white_people (White People): 0.7060 | genetic_loci genomewide_association_study (Genetic Loci Genomewide Association Study): 0.6969
Estonian Biobank,C5,62,248,Genomics,genetic_predisposition_to_disease genomewide_association_study (Genetic Predisposition To Disease Genomewide Association Study): 1.4725 | genetic_predisposition_to_disease (Genetic Predisposition To Disease): 1.0247 | genomewide_association_study humans (Genomewide Association Study Humans): 0.9580 | genomewide_association_study (Genomewide Association Study): 0.6571 | humans polymorphism_single_nucleotide (Humans Polymorphism Single Nucleotide): 0.6274
Estonian Biobank,C2,35,227,Genomics,genetic_variation (Genetic Variation): 2.1083 | genetic_variation genomewide_association_study (Genetic Variation Genomewide Association Study): 2.0483 | genetic_predisposition_to_disease genetic_variation (Genetic Predisposition To Disease Genetic Variation): 1.9310 | genetic_predisposition_to_disease (Genetic Predisposition To Disease): 0.6981 | diabetes_mellitus_type_2 (Diabetes Mellitus Type 2): 0.6871
Estonian Biobank,C1,27,113,Biological Specimen Banks,biological_specimen_banks (Biological Specimen Banks): 1.5826 | europe (Europe): 1.1153 | databases_factual (Databases Factual): 1.0865 | europe humans (Europe Humans): 1.0185 | biomedical_research (Biomedical Research): 1.0185
Estonian Biobank,C8,25,110,Genomics,depressive_disorder_major (Depressive Disorder Major): 1.6764 | polymorphism_single_nucleotide risk_factors (Polymorphism Single Nucleotide Risk Factors): 1.6438 | risk_factors (Risk Factors): 1.4485 | depressive_disorder_major genomewide_association_study (Depressive Disorder Major Genomewide Association Study): 0.7982 | genomewide_association_study humans (Genomewide Association Study Humans): 0.7920
Estonian Biobank,C3,22,104,Epidemiological,endometrium (Endometrium): 1.2500 | prospective_studies (Prospective Studies): 1.0308 | multicenter_studies_as_topic (Multicenter Studies As Topic): 0.9070 | menstrual_cycle (Menstrual Cycle): 0.8665 | gene_expression_profiling humans (Gene Expression Profiling Humans): 0.8665
FinnGen,C8,456,762,Genomics,genomewide_association_study mendelian_randomization_analysis (Genomewide Association Study Mendelian Randomization Analysis): 0.3802 | polymorphism_single_nucleotide (Polymorphism Single Nucleotide): 0.2505 | diabetes_mellitus_type_2 (Diabetes Mellitus Type 2): 0.2424 | genetic_predisposition_to_disease (Genetic Predisposition To Disease): 0.2239 | genetic_predisposition_to_disease genomewide_association_study (Genetic Predisposition To Disease Genomewide Association Study): 0.2065
FinnGen,C2,183,435,Genomics,risk_factors (Risk Factors): 0.8213 | polymorphism_single_nucleotide risk_factors (Polymorphism Single Nucleotide Risk Factors): 0.8128 | humans mendelian_randomization_analysis (Humans Mendelian Randomization Analysis): 0.7617 | polymorphism_single_nucleotide (Polymorphism Single Nucleotide): 0.7231 | genomewide_association_study polymorphism_single_nucleotide (Genomewide Association Study Polymorphism Single Nucleotide): 0.7090
FinnGen,C0,165,524,Male,male (Male): 1.3400 | middle_aged (Middle Aged): 1.1059 | female male (Female Male): 1.0679 | humans male (Humans Male): 1.0273 | female (Female): 0.9628
FinnGen,C6,100,188,Genomics,gastrointestinal_microbiome (Gastrointestinal Microbiome): 2.4056 | humans gastrointestinal_microbiome (Humans Gastrointestinal Microbiome): 1.5158 | gastrointestinal_microbiome genomewide_association_study (Gastrointestinal Microbiome Genomewide Association Study): 1.4826 | mendelian_randomization_analysis gastrointestinal_microbiome (Mendelian Randomization Analysis Gastrointestinal Microbiome): 1.0761 | gastrointestinal_microbiome mendelian_randomization_analysis (Gastrointestinal Microbiome Mendelian Randomization Analysis): 0.6771
FinnGen,C9,100,402,Male Female,male female (Male Female): 2.3285 | male (Male): 1.3890 | middle_aged (Middle Aged): 1.2382 | female (Female): 1.1032 | female middle_aged (Female Middle Aged): 0.8579
FinnGen,C7,89,217,Genomics,humans genomewide_association_study (Humans Genomewide Association Study): 2.4844 | genomewide_association_study mendelian_randomization_analysis (Genomewide Association Study Mendelian Randomization Analysis): 1.0886 | polymorphism_single_nucleotide (Polymorphism Single Nucleotide): 0.3140 | telomere (Telomere): 0.3109 | lupus_erythematosus_systemic (Lupus Erythematosus Systemic): 0.2969
FinnGen,C3,73,214,Metabolic,pregnancy (Pregnancy): 2.8588 | female pregnancy (Female Pregnancy): 1.3553 | diabetes_gestational (Diabetes Gestational): 1.2731 | preeclampsia (Preeclampsia): 1.2178 | female (Female): 1.1032
FinnGen,C1,61,168,Genomics,causality (Causality): 2.1971 | depressive_disorder_major (Depressive Disorder Major): 1.0599 | genomewide_association_study causality (Genomewide Association Study Causality): 0.8460 | humans depressive_disorder_major (Humans Depressive Disorder Major): 0.7346 | depression (Depression): 0.5781
FinnGen,C4,47,159,Genomics,genetic_predisposition_to_disease polymorphism_single_nucleotide (Genetic Predisposition To Disease Polymorphism Single Nucleotide): 2.0191 | autoimmune_diseases (Autoimmune Diseases): 2.0008 | mendelian_randomization_analysis autoimmune_diseases (Mendelian Randomization Analysis Autoimmune Diseases): 1.0370 | genetic_predisposition_to_disease (Genetic Predisposition To Disease): 0.9505 | humans mendelian_randomization_analysis (Humans Mendelian Randomization Analysis): 0.7489
FinnGen,C5,34,117,Crohn Disease,crohn_disease (Crohn Disease): 3.2488 | colitis_ulcerative (Colitis Ulcerative): 3.2199 | inflammatory_bowel_diseases (Inflammatory Bowel Diseases): 3.1701 | colitis_ulcerative crohn_disease (Colitis Ulcerative Crohn Disease): 2.2690 | inflammatory_bowel_diseases colitis_ulcerative (Inflammatory Bowel Diseases Colitis Ulcerative): 1.3180
Million Veteran Program,C1,82,296,Genomics,genetic_predisposition_to_disease genomewide_association_study (Genetic Predisposition To Disease Genomewide Association Study): 0.7583 | phenotype (Phenotype): 0.7400 | genomewide_association_study humans (Genomewide Association Study Humans): 0.6416 | genetic_predisposition_to_disease (Genetic Predisposition To Disease): 0.6342 | polymorphism_single_nucleotide (Polymorphism Single Nucleotide): 0.6230
Million Veteran Program,C2,53,268,Female Humans,female humans (Female Humans): 0.9441 | humans male (Humans Male): 0.7379 | male middle_aged (Male Middle Aged): 0.6640 | male (Male): 0.6022 | female (Female): 0.5987
Million Veteran Program,C4,37,227,Epidemiological,covid19 (Covid19): 0.7321 | male female (Male Female): 0.7038 | risk_factors (Risk Factors): 0.6822 | female (Female): 0.6545 | middle_aged (Middle Aged): 0.6536
Million Veteran Program,C0,31,228,Genomics,united_states_department_of_veterans_affairs (United States Department Of Veterans Affairs): 1.1907 | united_states united_states_department_of_veterans_affairs (United States United States Department Of Veterans Affairs): 1.1706 | genotype (Genotype): 1.0991 | united_states (United States): 0.9323 | aged (Aged): 0.8956
Million Veteran Program,C6,31,166,White People,white_people (White People): 1.3036 | stress_disorders_posttraumatic (Stress Disorders Posttraumatic): 1.0927 | veterans white_people (Veterans White People): 1.0107 | multifactorial_inheritance (Multifactorial Inheritance): 0.8575 | stress_disorders_posttraumatic united_states (Stress Disorders Posttraumatic United States): 0.7727
Million Veteran Program,C3,28,147,Genomics,mendelian_randomization_analysis (Mendelian Randomization Analysis): 2.0462 | mendelian_randomization_analysis polymorphism_single_nucleotide (Mendelian Randomization Analysis Polymorphism Single Nucleotide): 1.2433 | humans mendelian_randomization_analysis (Humans Mendelian Randomization Analysis): 1.0584 | triglycerides (Triglycerides): 0.8554 | cholesterol_hdl (Cholesterol Hdl): 0.8224
Million Veteran Program,C7,21,97,Humans Veterans,humans veterans (Humans Veterans): 2.1970 | aortic_aneurysm_abdominal (Aortic Aneurysm Abdominal): 1.1406 | veterans (Veterans): 0.7530 | brain_injuries_traumatic (Brain Injuries Traumatic): 0.7025 | crosssectional_studies (Crosssectional Studies): 0.5859
Million Veteran Program,C8,21,161,Epidemiological,incidence (Incidence): 1.6123 | prospective_studies (Prospective Studies): 1.4349 | humans incidence (Humans Incidence): 1.4112 | incidence male (Incidence Male): 1.2793 | risk_assessment (Risk Assessment): 1.1240
Million Veteran Program,C9,12,42,Depressive Disorder Major,depressive_disorder_major (Depressive Disorder Major): 2.4696 | suicide_attempted (Suicide Attempted): 1.9751 | suicidal_ideation (Suicidal Ideation): 1.3307 | depressive_disorder_major genomewide_association_study (Depressive Disorder Major Genomewide Association Study): 1.1713 | humans interleukin6 (Humans Interleukin6): 0.8484
Million Veteran Program,C5,9,60,Genomics,genomics (Genomics): 3.0097 | genomics humans (Genomics Humans): 2.7896 | genomewide_association_study genomics (Genomewide Association Study Genomics): 2.3191 | epigenesis_genetic (Epigenesis Genetic): 1.5617 | casecontrol_studies cell_cycle_proteins (Casecontrol Studies Cell Cycle Proteins): 1.1313
UK Biobank,C1,1872,883,Biological Specimen Banks,biological_specimen_banks (Biological Specimen Banks): 0.5157 | united_kingdom (United Kingdom): 0.3596 | animals (Animals): 0.2781 | risk_factors (Risk Factors): 0.2227 | crosssectional_studies (Crosssectional Studies): 0.2205
UK Biobank,C8,1511,861,Male Middle Aged,male middle_aged (Male Middle Aged): 1.2239 | adult aged (Adult Aged): 1.1271 | female humans (Female Humans): 1.0103 | humans male (Humans Male): 0.9533 | middle_aged (Middle Aged): 0.8691
UK Biobank,C9,1200,777,Male Female,male female (Male Female): 1.1318 | aged (Aged): 0.8973 | middle_aged (Middle Aged): 0.8600 | female middle_aged (Female Middle Aged): 0.8483 | adult (Adult): 0.7694
UK Biobank,C5,1173,658,Genomics,mendelian_randomization_analysis (Mendelian Randomization Analysis): 1.6008 | humans mendelian_randomization_analysis (Humans Mendelian Randomization Analysis): 0.9615 | genomewide_association_study (Genomewide Association Study): 0.8843 | polymorphism_single_nucleotide (Polymorphism Single Nucleotide): 0.8686 | genomewide_association_study mendelian_randomization_analysis (Genomewide Association Study Mendelian Randomization Analysis): 0.6742
UK Biobank,C6,839,637,Cardiovascular,prospective_studies (Prospective Studies): 1.3105 | risk_factors (Risk Factors): 0.8333 | cardiovascular_diseases (Cardiovascular Diseases): 0.7852 | prospective_studies risk_factors (Prospective Studies Risk Factors): 0.7542 | humans prospective_studies (Humans Prospective Studies): 0.6350
UK Biobank,C4,692,693,Genomics,genetic_predisposition_to_disease genomewide_association_study (Genetic Predisposition To Disease Genomewide Association Study): 1.9502 | genomewide_association_study humans (Genomewide Association Study Humans): 1.6032 | genetic_predisposition_to_disease (Genetic Predisposition To Disease): 1.3779 | genomewide_association_study (Genomewide Association Study): 1.1029 | polymorphism_single_nucleotide (Polymorphism Single Nucleotide): 0.9013
UK Biobank,C3,640,577,Genomics,phenotype (Phenotype): 1.5687 | humans genomewide_association_study (Humans Genomewide Association Study): 0.9280 | genomewide_association_study (Genomewide Association Study): 0.8879 | polymorphism_single_nucleotide (Polymorphism Single Nucleotide): 0.8754 | phenotype polymorphism_single_nucleotide (Phenotype Polymorphism Single Nucleotide): 0.7164
UK Biobank,C7,583,550,Neurological,brain (Brain): 2.1225 | magnetic_resonance_imaging (Magnetic Resonance Imaging): 2.0046 | humans magnetic_resonance_imaging (Humans Magnetic Resonance Imaging): 0.9629 | magnetic_resonance_imaging male (Magnetic Resonance Imaging Male): 0.8467 | white_matter (White Matter): 0.8463
UK Biobank,C0,339,578,Genomics,genotype (Genotype): 3.1374 | genotype humans (Genotype Humans): 2.2016 | genomewide_association_study genotype (Genomewide Association Study Genotype): 1.7096 | phenotype (Phenotype): 0.7984 | polymorphism_single_nucleotide (Polymorphism Single Nucleotide): 0.6611
UK Biobank,C2,207,351,Environmental,air_pollution (Air Pollution): 3.6367 | air_pollutants (Air Pollutants): 3.4905 | particulate_matter (Particulate Matter): 3.4026 | environmental_exposure (Environmental Exposure): 3.2408 | nitrogen_dioxide (Nitrogen Dioxide): 2.1115
