Biobank,PMID,Title,Abstract,Journal,Year,MeSH_Terms,is_preprint,cluster
Million Veteran Program,29753396,Prevalence of Ideal Cardiovascular Health Metrics in the Million Veteran Program.,"No data exist on the prevalence of ideal cardiovascular health metrics in a national sample of U.S. veterans. We assessed the prevalence of ideal Life's Simple Seven (LSS) metrics in a cross-sectional study of 554,855 U.S. veterans enrolled in the Million Veteran Program (MVP) from 2011 to 2017. We used the American Heart Association's established criteria to categorize each LSS metric as either poor, intermediate, or ideal for a veteran at time of MVP enrollment. Information on adiposity/body mass index, smoking status, diet, and physical activity was obtained from self-reported survey data, and clinical measurements for total cholesterol, blood pressure, and plasma glucose were obtained from electronic health records. Complete data on all LSS health factors were available for 201,745 veterans. The prevalence of having 0, 1, 2, 3, 4, 5, 6, and 7 ideal cardiovascular health metrics was 29.2%, 34.6%, 22.6%, 10.0%, 3.0%, 0.6%, <0.1%, and 0%, respectively. The frequency of ideal body mass index, physical activity, smoking status, total cholesterol, blood pressure, and plasma glucose was 19.4%, 3.8%, 27.0%, 21.8%, 17.8%, and 34.5%, respectively, in our study population. Among the 7 metrics, MVP participants were least likely to achieve ideal diet (0.4%), particularly the recommendation for fruit and vegetable (at least 4.5 cups/day) intake. Our data show an extremely low prevalence of ideal cardiovascular health factors among veterans in the MVP, especially for diet and physical activity. These findings underscore the need to improve adherence to modifiable lifestyle factors that could result in subsequent reduction in cardiovascular disease burden among veterans.",The American journal of cardiology,2018,"Aged; Blood Pressure; Body Mass Index; Cardiovascular Diseases; Cross-Sectional Studies; Exercise; Female; Follow-Up Studies; Humans; Life Style; Male; Prevalence; Quality Indicators, Health Care; Retrospective Studies; United States; Veterans",False,8
Million Veteran Program,29580627,Alcohol Consumption and Risk of Coronary Artery Disease (from the Million Veteran Program).,"Moderate alcohol consumption has been associated with a lower risk of coronary artery disease (CAD) in the general population but has not been well studied in US veterans. We obtained self-reported alcohol consumption from Million Veteran Program participants. Using electronic health records, CAD events were defined as 1 inpatient or 2 outpatient diagnosis codes for CAD, or 1 code for a coronary procedure. We excluded participants with prevalent CAD (n = 69,995) or incomplete alcohol information (n = 8,449). We used a Cox proportional hazards model to estimate hazard ratios and 95% confidence intervals for CAD, adjusting for age, gender, body mass index, race, smoking, education, and exercise. Among 156,728 participants, the mean age was 65.3 years (standard deviation = 12.1) and 91% were men. There were 6,153 CAD events during a mean follow-up of 2.9 years. Adjusted hazard ratios (95% confidence intervals) for CAD were 1.00 (reference), 1.02 (0.92 to 1.13), 0.83 (0.74 to 0.93), 0.77 (0.67 to 0.87), 0.71 (0.62 to 0.81), 0.62 (0.51 to 0.76), 0.58 (0.46 to 0.74), and 0.95 (0.85 to 1.06) for categories of never drinker; former drinker; current drinkers of ≤0.5 drink/day, >0.5 to 1 drink/day, >1 to 2 drinks/day, >2 to 3 drinks/day, and >3 to 4 drinks/day; and heavy drinkers (>4 drinks/day) or alcohol use disorder, respectively. For a fixed amount of ethanol, intake at ≥3 days/week was associated with lower CAD risk compared with ≤1 day/week. Beverage preference (beer, wine, or liquor) did not influence the alcohol-CAD relation. Our data show a lower risk of CAD with light-to-moderate alcohol consumption among US veterans, and drinking frequency may provide a further reduction in risk.",The American journal of cardiology,2018,Aged; Alcohol Drinking; Alcoholic Beverages; Alcoholism; Coronary Artery Disease; Female; Humans; Male; Middle Aged; Proportional Hazards Models; Protective Factors; Risk Factors; Self Report; United States; Veterans,False,2
Million Veteran Program,30275531,"Genetics of blood lipids among ~300,000 multi-ethnic participants of the Million Veteran Program.","The Million Veteran Program (MVP) was established in 2011 as a national research initiative to determine how genetic variation influences the health of US military veterans. Here we genotyped 312,571 MVP participants using a custom biobank array and linked the genetic data to laboratory and clinical phenotypes extracted from electronic health records covering a median of 10.0 years of follow-up. Among 297,626 veterans with at least one blood lipid measurement, including 57,332 black and 24,743 Hispanic participants, we tested up to around 32 million variants for association with lipid levels and identified 118 novel genome-wide significant loci after meta-analysis with data from the Global Lipids Genetics Consortium (total n > 600,000). Through a focus on mutations predicted to result in a loss of gene function and a phenome-wide association study, we propose novel indications for pharmaceutical inhibitors targeting PCSK9 (abdominal aortic aneurysm), ANGPTL4 (type 2 diabetes) and PDE3B (triglycerides and coronary disease).",Nature genetics,2018,"Aged; Black People; Cardiovascular Diseases; Diabetes Mellitus, Type 2; Ethnicity; Female; Genome-Wide Association Study; Genotype; Hispanic or Latino; Humans; Lipid Metabolism; Lipids; Male; Middle Aged; Polymorphism, Single Nucleotide; Veterans; White People",False,0
Million Veteran Program,29680824,DASH Score and Subsequent Risk of Coronary Artery Disease: The Findings From Million Veteran Program.,"While adherence to healthful dietary patterns has been associated with a lower risk of coronary artery disease (CAD) in the general population, limited data are available among US veterans. We tested the hypothesis that adherence to Dietary Approach to Stop Hypertension (DASH) food pattern is associated with a lower risk of developing CAD among veterans. We analyzed data on 153 802 participants of the Million Veteran Program enrolled between 2011 and 2016. Information on dietary habits was obtained using a food frequency questionnaire at enrollment. We used electronic health records to assess the development of CAD during follow-up. Of the 153 802 veterans who provided information on diet and were free of CAD at baseline, the mean age was 64.0 (SD=11.8) years and 90.4% were men. During a mean follow-up of 2.8 years, 5451 CAD cases occurred. The crude incidence rate of CAD was 14.0, 13.1, 12.6, 12.3, and 11.1 cases per 1000 person-years across consecutive quintiles of Dietary Approach to Stop Hypertension score. Hazard ratios (95% confidence interval) for CAD were 1.0 (ref), 0.91 (0.84-0.99), 0.87 (0.80-0.95), 0.86 (0.79-0.94), and 0.80 (0.73-0.87) from the lowest to highest quintile of Dietary Approach to Stop Hypertension score controlling for age, sex, body mass index, race, smoking, exercise, alcohol intake, and statin use ( Our data are consistent with an inverse association between Dietary Approach to Stop Hypertension diet score and incidence of CAD among US veterans.",Journal of the American Heart Association,2018,"Aged; Coronary Artery Disease; Diet, Healthy; Dietary Approaches To Stop Hypertension; Female; Humans; Incidence; Male; Middle Aged; Patient Compliance; Prognosis; Prospective Studies; Protective Factors; Risk Assessment; Risk Factors; Risk Reduction Behavior; Time Factors; United States; Veterans Health",False,8
Million Veteran Program,29844141,Interdisciplinary Models for Research and Clinical Endeavors in Genomic Medicine: A Scientific Statement From the American Heart Association.,"The completion of the Human Genome Project has unleashed a wealth of human genomics information, but it remains unclear how best to implement this information for the benefit of patients. The standard approach of biomedical research, with researchers pursuing advances in knowledge in the laboratory and, separately, clinicians translating research findings into the clinic as much as decades later, will need to give way to new interdisciplinary models for research in genomic medicine. These models should include scientists and clinicians actively working as teams to study patients and populations recruited in clinical settings and communities to make genomics discoveries-through the combined efforts of data scientists, clinical researchers, epidemiologists, and basic scientists-and to rapidly apply these discoveries in the clinic for the prediction, prevention, diagnosis, prognosis, and treatment of cardiovascular diseases and stroke. The highly publicized US Precision Medicine Initiative, also known as All of Us, is a large-scale program funded by the US National Institutes of Health that will energize these efforts, but several ongoing studies such as the UK Biobank Initiative; the Million Veteran Program; the Electronic Medical Records and Genomics Network; the Kaiser Permanente Research Program on Genes, Environment and Health; and the DiscovEHR collaboration are already providing exemplary models of this kind of interdisciplinary work. In this statement, we outline the opportunities and challenges in broadly implementing new interdisciplinary models in academic medical centers and community settings and bringing the promise of genomics to fruition.",Circulation. Genomic and precision medicine,2018,American Heart Association; Biomedical Research; Cardiovascular Diseases; Electronic Health Records; Genomics; Humans; Interdisciplinary Studies; Precision Medicine; United States,False,5
Million Veteran Program,31106297,Effects of Genetic Variants Associated with Familial Hypercholesterolemia on Low-Density Lipoprotein-Cholesterol Levels and Cardiovascular Outcomes in the Million Veteran Program.,"Familial hypercholesterolemia (FH) is characterized by inherited high levels of low-density lipoprotein cholesterol (LDL-C) and premature coronary heart disease (CHD). Over a thousand low-frequency variants in  We examined the individual and collective association between putatively pathogenic FH variants included on the MVP biobank array and the maximum LDL-C level over an interval of 15 years (maxLDL). We assessed the collective effect on clinical outcomes by leveraging data from 61.7 million clinical encounters. We found 8 out of 16 putatively pathogenic FH variants with ≥30 observed carriers to be significantly associated with elevated maxLDL (9.4-80.2 mg/dL). Phenotypic effects were similar for European and African Americans despite substantial differences in carrier frequencies. Based on observed effects on maxLDL, we identified a total of 748 carriers (1:443) who had elevated maxLDL (36.5±1.4 mg/dL, p=1.2×10 The distribution and phenotypic effects of putatively pathogenic FH variants were heterogeneous within and across variants. More robust evidence of genotype-phenotype associations of FH variants in multi-ethnic populations is needed to accurately infer at-risk individuals from genetic screening.",Circulation. Genomic and precision medicine,2018,"Adult; Aged; Apolipoproteins B; Cholesterol, LDL; Cohort Studies; Coronary Artery Disease; Female; Genetic Association Studies; Genetic Variation; Heterozygote; Humans; Hypercholesterolemia; Male; Middle Aged; Polymorphism, Single Nucleotide; Proprotein Convertase 9; Receptors, LDL; United States; Veterans",False,2
Million Veteran Program,29972609,AUDIT-C and ICD codes as phenotypes for harmful alcohol use: association with ADH1B polymorphisms in two US populations.,"Longitudinal electronic health record (EHR) data offer a large-scale, untapped source of phenotypical information on harmful alcohol use. Using established, alcohol-associated variants in the gene that encodes the enzyme alcohol dehydrogenase 1B (ADH1B) as criterion standards, we compared the individual and combined validity of three longitudinal EHR-based phenotypes of harmful alcohol use: Alcohol Use Disorders Identification Test-Consumption (AUDIT-C) trajectories; mean age-adjusted AUDIT-C; and diagnoses of alcohol use disorder (AUD). With longitudinal EHR data from the Million Veteran Program (MVP) linked to genetic data, we used two population-specific polymorphisms in ADH1B that are associated strongly with AUD in African Americans (AAs) and European Americans (EAs): rs2066702 (Arg369Cys, AAs) and rs1229984 (Arg48His, EAs) as criterion measures. United States Department of Veterans Affairs Healthcare System. A total of 167 721 veterans (57 677 AAs and 110 044 EAs; 92% male, mean age = 63 years) took part in this study. Data were collected from 1  October 2007 to 1 May 2017. Using all AUDIT-C scores and AUD diagnostic codes recorded in the EHR, we calculated age-adjusted mean AUDIT-C values, longitudinal statistical trajectories of AUDIT-C scores and ICD-9/10 diagnostic groupings for AUD. A total of 19 793 AAs (34.3%) had one or two minor alleles at rs2066702 [minor allele frequency (MAF) = 0.190] and 6933 EAs (6.3%) had one or two minor alleles at rs1229984 (MAF = 0.032). In both populations, trajectories and age-adjusted mean AUDIT-C were correlated (r = 0.90) but, when considered separately, highest score (8+ versus 0) of age-adjusted mean AUDIT-C demonstrated a stronger association with the ADH1B variants [adjusted odds ratio (aOR) 0.54 in AAs and 0.37 in AAs] than did the highest trajectory (aOR 0.71 in AAs and 0.53 in EAs); combining AUDIT-C metrics did not improve discrimination. When age-adjusted mean AUDIT-C score and AUD diagnoses were considered together, age-adjusted mean AUDIT-C (8+ versus 0) was associated with lower odds of having the ADH1B minor allele than were AUD diagnostic codes: aOR = 0.59 versus 0.86 in AAs and 0.48 versus 0.68 in EAs. These independent associations combine to yield an even lower aOR of 0.51 for AAs and 0.33 for EAs. The age-adjusted mean AUDIT-C score is associated more strongly with genetic polymorphisms of known risk for alcohol use disorder than are longitudinal trajectories of AUDIT-C or AUD diagnostic codes. AUD diagnostic codes modestly enhance this association.","Addiction (Abingdon, England)",2018,"Black or African American; Aged; Alcohol Dehydrogenase; Alcoholism; Disease Progression; Electronic Health Records; Female; Humans; International Classification of Diseases; Longitudinal Studies; Male; Middle Aged; Phenotype; Polymorphism, Single Nucleotide; Surveys and Questionnaires; United States; White People",False,2
Million Veteran Program,30090940,Association of Interleukin 6 Receptor Variant With Cardiovascular Disease Effects of Interleukin 6 Receptor Blocking Therapy: A Phenome-Wide Association Study.,"Electronic health record (EHR) biobanks containing clinical and genomic data on large numbers of individuals have great potential to inform drug discovery. Individuals with interleukin 6 receptor (IL6R) single-nucleotide polymorphisms (SNPs) who are not receiving IL6R blocking therapy have biomarker profiles similar to those treated with IL6R blockers. This gene-drug pair provides an example to test whether associations of IL6R SNPs with a broad range of phenotypes can inform which diseases may benefit from treatment with IL6R blockade. To determine whether screening for clinical associations with the IL6R SNP in a phenome-wide association study (PheWAS) using EHR biobank data can identify drug effects from IL6R clinical trials. Diagnosis codes and routine laboratory measurements were extracted from the VA Million Veteran Program (MVP); diagnosis codes were mapped to phenotype groups using published PheWAS methods. A PheWAS was performed by fitting logistic regression models for testing associations of the IL6R SNPs with 1342 phenotype groups and by fitting linear regression models for testing associations of the IL6R SNP with 26 routine laboratory measurements. Significance was reported using a false discovery rate of 0.05 or less. Findings were replicated in 2 independent cohorts using UK Biobank and Vanderbilt University Biobank data. The Million Veteran Program included 332 799 US veterans; the UK Biobank, 408 455 individuals from the general population of the United Kingdom; and the Vanderbilt University Biobank, 13 835 patients from a tertiary care center. IL6R SNPs (rs2228145; rs4129267). Phenotypes defined by International Classification of Diseases, Ninth Revision codes. Of the 332 799 veterans included in the main cohort, 305 228 (91.7%) were men, and the mean (SD) age was 66.1 (13.6) years. The IL6R SNP was most strongly associated with a reduced risk of aortic aneurysm phenotypes (odds ratio, 0.87-0.90; 95% CI, 0.84-0.93) in the MVP. We observed known off-target effects of IL6R blockade from clinical trials (eg, higher hemoglobin level). The reduced risk for aortic aneurysms among those with the IL6R SNP in the MVP was replicated in the Vanderbilt University Biobank, and the reduced risk for coronary heart disease was replicated in the UK Biobank. In this proof-of-concept study, we demonstrated application of the PheWAS using large EHR biobanks to inform drug effects. The findings of an association of the IL6R SNP with reduced risk for aortic aneurysms correspond with the newest indication for IL6R blockade, giant cell arteritis, of which a major complication is aortic aneurysm.",JAMA cardiology,2018,"Aged; Aged, 80 and over; Antibodies, Monoclonal, Humanized; Aortic Aneurysm; Cardiovascular Diseases; Current Procedural Terminology; Female; Genome-Wide Association Study; Humans; Linear Models; Male; Middle Aged; Phenotype; Polymorphism, Single Nucleotide; Proof of Concept Study; Receptors, Interleukin-6; Veterans",False,1
Million Veteran Program,31152163,A catalog of genetic loci associated with kidney function from analyses of a million individuals.,"Chronic kidney disease (CKD) is responsible for a public health burden with multi-systemic complications. Through trans-ancestry meta-analysis of genome-wide association studies of estimated glomerular filtration rate (eGFR) and independent replication (n = 1,046,070), we identified 264 associated loci (166 new). Of these, 147 were likely to be relevant for kidney function on the basis of associations with the alternative kidney function marker blood urea nitrogen (n = 416,178). Pathway and enrichment analyses, including mouse models with renal phenotypes, support the kidney as the main target organ. A genetic risk score for lower eGFR was associated with clinically diagnosed CKD in 452,264 independent individuals. Colocalization analyses of associations with eGFR among 783,978 European-ancestry individuals and gene expression across 46 human tissues, including tubulo-interstitial and glomerular kidney compartments, identified 17 genes differentially expressed in kidney. Fine-mapping highlighted missense driver variants in 11 genes and kidney-specific regulatory variants. These results provide a comprehensive priority list of molecular targets for translational research.",Nature genetics,2019,"Chromosome Mapping; Genetic Association Studies; Genetic Predisposition to Disease; Genome-Wide Association Study; Glomerular Filtration Rate; Humans; Inheritance Patterns; Kidney Function Tests; Phenotype; Polymorphism, Single Nucleotide; Quantitative Trait Loci; Quantitative Trait, Heritable; Renal Insufficiency, Chronic; Uromodulin; White People",False,1
Million Veteran Program,31594949,International meta-analysis of PTSD genome-wide association studies identifies sex- and ancestry-specific genetic risk loci.,"The risk of posttraumatic stress disorder (PTSD) following trauma is heritable, but robust common variants have yet to be identified. In a multi-ethnic cohort including over 30,000 PTSD cases and 170,000 controls we conduct a genome-wide association study of PTSD. We demonstrate SNP-based heritability estimates of 5-20%, varying by sex. Three genome-wide significant loci are identified, 2 in European and 1 in African-ancestry analyses. Analyses stratified by sex implicate 3 additional loci in men. Along with other novel genes and non-coding RNAs, a Parkinson's disease gene involved in dopamine regulation, PARK2, is associated with PTSD. Finally, we demonstrate that polygenic risk for PTSD is significantly predictive of re-experiencing symptoms in the Million Veteran Program dataset, although specific loci did not replicate. These results demonstrate the role of genetic variation in the biology of risk for PTSD and highlight the necessity of conducting sex-stratified analyses and expanding GWAS beyond European ancestry populations.",Nature communications,2019,"Black People; Datasets as Topic; Female; Genetic Loci; Genetic Predisposition to Disease; Genome-Wide Association Study; Humans; Male; Sex Factors; Stress Disorders, Post-Traumatic; Ubiquitin-Protein Ligases; Veterans; White People",False,6
