Biobank,PMID,Title,Abstract,Journal,Year,MeSH_Terms,is_preprint,cluster
All of Us,30366570,"Understanding the All of Us Research Program: A Dialogue with Dara Richardson-Heron, MD.",,The Journal of the Association of Nurses in AIDS Care : JANAC,2018,"Health Information Systems; Health Records, Personal; Humans; Research",False,5
All of Us,29512940,Engaging populations underrepresented in research through novel approaches to consent.,"The lack of diversity of populations included in genomics databases is an important inhibitor of genomic discovery from bench to bedside. One way to increase the diversity of participants is to ensure that informed consent processes are designed for cultural and linguistic concordance for non-majority populations. This article describes two case studies of genomics research studies that are using novel approaches to informed consent to increase recruitment and retention of participants from traditionally underrepresented populations: The Cancer Health Assessments Reaching Many (CHARM) study, part of the Clinical Sequencing Evidence-Generating Research (CSER) consortium, and the All of Us Research Program, part of the Precision Medicine Initiative. We conclude by proposing a community of practice among researchers seeking to improve informed consent to increase diversity in genomics research.","American journal of medical genetics. Part C, Seminars in medical genetics",2018,"Genetic Research; Genetics, Medical; Humans; Informed Consent; Minority Groups; National Human Genome Research Institute (U.S.); Precision Medicine; United States",False,5
All of Us,30325292,Working Together to Address Women's Health in Research and Drug Development: Summary of the 2017 Women's Health Congress Preconference Symposium.,"Historically, women have been underrepresented in clinical research, requiring physicians to extrapolate medical recommendations for women from clinical research done in cohorts consisting predominantly of male participants. While government-funded clinical research has achieved gender parity in phase-3 clinical trials across many biomedical disciplines, improvements are still needed in several facets of women's health research, such as the inclusion of women in early-phase clinical trials, the inclusion of pregnant women and women with physical and intellectual disabilities, the consideration of sex as a biological variable in preclinical research, and the analysis and reporting of sex and gender differences across the full biomedical research continuum. The National Institutes of Health (NIH) Office of Research on Women's Health and the Office of Women's Health of the U.S. Food and Drug Administration (FDA) cosponsored a preconference symposium at the 25th Annual Women's Health Congress, held in Arlington, VA in April, 2017, to highlight gains made and remaining needs regarding the representation of women in clinical research, to introduce innovative procedures and technologies, and to outline revised policy for future studies. Six speakers presented information on a range of subjects related to the representation of women in clinical research and federal initiatives to advance precision medicine. Topics included the following: the return on investment from the NIH-funded Women's Health Initiative; progress in including women in clinical trials for FDA-approved drugs and products; the importance of clinical trials in pregnant women; FDA initiatives to report drug safety during pregnancy; the NIH-funded All of Us Research Program; and efforts to enhance FDA transparency and communications, including the introduction of Drug Trials Snapshots. This article summarizes the major points of the presentations and the discussions that followed.",Journal of women's health (2002),2018,Biomedical Research; Clinical Trials as Topic; Drug Development; Female; Financial Management; Humans; Needs Assessment; Patient Selection; Pregnant People; Quality Improvement; Sexism; United States; Women's Health,False,1
All of Us,30071015,A collaborative translational research framework for evaluating and implementing the appropriate use of human genome sequencing to improve health.,"In a Policy Forum, Muin Khoury and colleagues discuss research on the clinical application of genome sequencing data.",PLoS medicine,2018,"Cooperative Behavior; Cost-Benefit Analysis; Evidence-Based Medicine; Genome, Human; Humans; Translational Research, Biomedical; Whole Genome Sequencing",False,5
All of Us,29512070,Blood-Based Biomarker Screening with Agnostic Biological Definitions for an Accurate Diagnosis Within the Dimensional Spectrum of Neurodegenerative Diseases.,"The discovery, development, and validation of novel candidate biomarkers in Alzheimer's disease (AD) and other neurodegenerative diseases (NDs) are increasingly gaining momentum. As a result, evolving diagnostic research criteria of NDs are beginning to integrate biofluid and neuroimaging indicators of pathophysiological mechanisms. More than 10% of people aged over 65 suffer from NDs. There is an urgent need for a refined two-stage diagnostic model to first initiate an early, sensitive, and noninvasive process in primary care settings. Individuals that meet detection criteria will then be channeled to more specific, costly (positron-emission tomography), and invasive (cerebrospinal fluid) assessment methods for confirmatory biological characterization and diagnosis.A reliable and sensitive blood test for AD and other NDs is not yet established; however, it would provide the golden screening gate for an efficient primary care management. A limitation to the development of a large-scale blood-screening biomarker-based test is the traditional application of clinically descriptive criteria for the categorization of single late-stage ND constructs. These are genetically and biologically heterogeneous, reflected in multiple pathophysiological mechanisms and subsequent pathologies throughout a dimensional continuum. Evidence suggests that a shared, ""open-source"" integrated multilevel categorization of NDs that clusters individuals based on descriptive clinical phenotypes and pathophysiological biomarker signatures will provide the next incremental step toward an improved diagnostic process of NDs. This intermediate objective toward unbiased biomarker-guided early detection of individuals at risk for NDs is currently carried out by the international pilot Alzheimer Precision Medicine Initiative Cohort Program (APMI-CP).","Methods in molecular biology (Clifton, N.J.)",2018,Biomarkers; Early Diagnosis; Humans; Mass Screening; Neurodegenerative Diseases; Precision Medicine,False,5
All of Us,31412182,"The ""All of Us"" Research Program.","Knowledge gained from observational cohort studies has dramatically advanced the prevention and treatment of diseases. Many of these cohorts, however, are small, lack diversity, or do not provide comprehensive phenotype data. The All of Us Research Program plans to enroll a diverse group of at least 1 million persons in the United States in order to accelerate biomedical research and improve health. The program aims to make the research results accessible to participants, and it is developing new approaches to generate, access, and make data broadly available to approved researchers. All of Us opened for enrollment in May 2018 and currently enrolls participants 18 years of age or older from a network of more than 340 recruitment sites. Elements of the program protocol include health questionnaires, electronic health records (EHRs), physical measurements, the use of digital health technology, and the collection and analysis of biospecimens. As of July 2019, more than 175,000 participants had contributed biospecimens. More than 80% of these participants are from groups that have been historically underrepresented in biomedical research. EHR data on more than 112,000 participants from 34 sites have been collected. The All of Us data repository should permit researchers to take into account individual differences in lifestyle, socioeconomic factors, environment, and biologic characteristics in order to advance precision diagnosis, prevention, and treatment.",The New England journal of medicine,2019,Biological Specimen Banks; Biomedical Research; Cohort Studies; Datasets as Topic; Electronic Health Records; Health Surveys; Humans; Observational Studies as Topic; Precision Medicine; Research Design; United States,False,1
All of Us,30814352,The Alzheimer Precision Medicine Initiative.,"Precision medicine (PM) is an evolving scientific renaissance movement implementing key breakthrough technological and scientific advances to overcome the limitations of traditional symptom- and sign-based phenotypic diagnoses and clinical ""one-size-fits-all, magic bullet drug development"" in these largely heterogeneous target populations. It is a conceptual shift from ineffective treatments for biologically heterogeneous ""population averages"" to individually-tailored biomarker-guided targeted therapies. PM is defining which therapeutic approach will be the most effective for a specific individual, at a determined disease stage, across multiple medical research fields, including neuroscience, neurology and psychiatry. The launch of the Alzheimer Precision Medicine Initiative (APMI) and its associated cohort program in 2016-facilitated by the academic core coordinating center run by the Sorbonne University Clinical Research Group in Alzheimer Precision Medicine (Sorbonne University GRC n°21 APM)""-is geared at transforming healthcare, conventional clinical diagnostics, and drug development research in Alzheimer's disease. Ever since the commencement of the APMI, the international interdisciplinary research network has introduced groundbreaking translational neuroscience programs on the basis of agnostic exploratory genomics, systems biology, and systems neurophysiology applying innovative ""big data science"", including breakthrough artificial intelligence-based algorithms. Here, we present the scientific breakthrough advances and the pillars of the theoretical and conceptual development leading to the APMI.",Journal of Alzheimer's disease : JAD,2019,Alzheimer Disease; Biomarkers; Biomedical Research; Health Services Needs and Demand; Humans; Precision Medicine,False,5
All of Us,31693825,"The ""All of Us"" Research Program.",,The New England journal of medicine,2019,Genomics; Population Health; Program Evaluation,False,7
All of Us,31693824,"The ""All of Us"" Research Program.",,The New England journal of medicine,2019,"Genetics, Population; Genomics; Program Evaluation",False,7
All of Us,31045611,Development of the Initial Surveys for the All of Us Research Program.,"The All of Us Research Program is building a national longitudinal cohort and collecting data from multiple information sources (e.g., biospecimens, electronic health records, and mobile/wearable technologies) to advance precision medicine. Participant-provided information, collected via surveys, will complement and augment these information sources. We report the process used to develop and refine the initial three surveys for this program. The All of Us survey development process included: (1) prioritization of domains for scientific needs, (2) examination of existing validated instruments, (3) content creation, (4) evaluation and refinement via cognitive interviews and online testing, (5) content review by key stakeholders, and (6) launch in the All of Us electronic participant portal. All content was translated into Spanish. We conducted cognitive interviews in English and Spanish with 169 participants, and 573 individuals completed online testing. Feedback led to over 40 item content changes. Lessons learned included: (1) validated survey instruments performed well in diverse populations reflective of All of Us; (2) parallel evaluation of multiple languages can ensure optimal survey deployment; (3) recruitment challenges in diverse populations required multiple strategies; and (4) key stakeholders improved integration of surveys into larger Program context. This efficient, iterative process led to successful testing, refinement, and launch of three All of Us surveys. Reuse of All of Us surveys, available at http://researchallofus.org, may facilitate large consortia targeting diverse populations in English and Spanish to capture participant-provided information to supplement other data, such as genetic, physical measurements, or data from electronic health records.","Epidemiology (Cambridge, Mass.)",2019,"Adolescent; Adult; Aged; Aged, 80 and over; Factor Analysis, Statistical; Female; Health Surveys; Humans; Longitudinal Studies; Male; Middle Aged; Pilot Projects; Precision Medicine; Qualitative Research; Translations; United States; Young Adult",False,2
All of Us,31219738,Emerging Concepts in Precision Medicine and Cardiovascular Diseases in Racial and Ethnic Minority Populations.,"Cardiovascular diseases remain the leading cause of mortality and a major contributor to preventable deaths worldwide. The dominant modifiable risk factors and the social and environmental determinants that increase cardiovascular risk are known, and collectively, are as important in racial and ethnic minority populations as they are in majority populations. Their prevention and treatment remain the foundation for cardiovascular health promotion and disease prevention. Genetic and epigenetic factors are increasingly recognized as important contributors to cardiovascular risk and provide an opportunity for advancing precision cardiovascular medicine. In this review, we explore emerging concepts at the interface of precision medicine and cardiovascular disease in racial and ethnic minority populations. Important among these are the lack of racial and ethnic diversity in genomics studies and biorepositories; the resulting misclassification of benign variants as pathogenic in minorities; and the importance of ensuring ancestry-matched controls in variant interpretation. We address the relevance of epigenetics, pharmacogenomics, genetic testing and counseling, and their social and cultural implications. We also examine the potential impact of precision medicine on racial and ethnic disparities. The National Institutes of Health's All of Us Research Program and the National Heart, Lung, and Blood Institute's Trans-Omics for Precision Medicine Initiative are presented as examples of research programs at the forefront of precision medicine and diversity to explore research implications in minorities. We conclude with an overview of implementation research challenges in precision medicine and the ethical implications in minority populations. Successful implementation of precision medicine in cardiovascular disease in minority populations will benefit from strategies that directly address diversity and inclusion in genomics research and go beyond race and ethnicity to explore ancestry-matched controls, as well as geographic, cultural, social, and environmental determinants of health.",Circulation research,2019,Cardiovascular Diseases; Ethnicity; Health Services Accessibility; Healthcare Disparities; Humans; Minority Groups; Precision Medicine,False,5
All of Us,30963079,Implementing a universal informed consent process for the ,The United States' ,Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing,2019,Biomedical Research; Cohort Studies; Computational Biology; Genetic Testing; Genomics; Health Insurance Portability and Accountability Act; Humans; Informed Consent; Longitudinal Studies; United States,False,1
All of Us,30779778,Data model harmonization for the All Of Us Research Program: Transforming i2b2 data into the OMOP common data model.,"The All Of Us Research Program (AOU) is building a nationwide cohort of one million patients' EHR and genomic data. Data interoperability is paramount to the program's success. AOU is standardizing its EHR data around the Observational Medical Outcomes Partnership (OMOP) data model. OMOP is one of several standard data models presently used in national-scale initiatives. Each model is unique enough to make interoperability difficult. The i2b2 data warehousing and analytics platform is used at over 200 sites worldwide, which uses a flexible ontology-driven approach for data storage. We previously demonstrated this ontology system can drive data reconfiguration, to transform data into new formats without site-specific programming. We previously implemented this on our 12-site Accessible Research Commons for Health (ARCH) network to transform i2b2 into the Patient Centered Outcomes Research Network model. Here, we leverage our investment in i2b2 high-performance transformations to support the AOU OMOP data pipeline. Because the ARCH ontology has gained widespread national interest (through the Accrual to Clinical Trials network, other PCORnet networks, and the Nebraska Lexicon), we leveraged sites' existing investments into this standard ontology. We developed an i2b2-to-OMOP transformation, driven by the ARCH-OMOP ontology and the OMOP concept mapping dictionary. We demonstrated and validated our approach in the AOU New England HPO (NEHPO). First, we transformed into OMOP a fake patient dataset in i2b2 and verified through AOU tools that the data was structurally compliant with OMOP. We then transformed a subset of data in the Partners Healthcare data warehouse into OMOP. We developed a checklist of assessments to ensure the transformed data had self-integrity (e.g., the distributions have an expected shape and required fields are populated), using OMOP's visual Achilles data quality tool. This i2b2-to-OMOP transformation is being used to send NEHPO production data to AOU. It is open-source and ready for use by other research projects.",PloS one,2019,"Biomedical Research; Cohort Studies; Databases, Factual; Delivery of Health Care; Electronic Health Records; Humans; Information Storage and Retrieval; United States",False,1
All of Us,31580791,Return of Value in the New Era of Biomedical Research-One Size Will Not Fit All.,,AJOB empirical bioethics,2019,"Biomedical Research; Databases, Factual; Health Information Management; Health Literacy; Humans; Research Design",False,1
All of Us,31735716,Envisioning Future Research and Clinical Practice with a Bioethics Lens: A Word for the Next Generation of Researchers (,"Precision medicine, a revolutionary approach to disease prevention and treatment, takes into account individual differences in lifestyle, environment, and biology. Organized by the National Institutes of Health, the All of Us Research Program seeks to engage one million or more volunteers living in the U.S. to contribute their health data over many years. The program seeks to improve health outcomes, fuel the development of new treatments for disease, and catalyze a new era of evidence-based and precise preventive care and medical treatment. Although the concept of precision medicine is promising, if we are to change the treatment paradigm and ensure that the medicines and prevention strategies people are using work for them, those who have been historically underrepresented in research must be included. To accomplish this, conversations will not be easy, and it will take purposeful time and effort to build trust toward action.",Journal of health care for the poor and underserved,2019,Bioethical Issues; Biomedical Research; Health Status Disparities; Humans; Longitudinal Studies; Minority Groups; National Institutes of Health (U.S.); Precision Medicine; Socioeconomic Factors; United States,False,5
All of Us,30609404,Integrating Genomics into Healthcare: A Global Responsibility.,"Genomic sequencing is rapidly transitioning into clinical practice, and implementation into healthcare systems has been supported by substantial government investment, totaling over US$4 billion, in at least 14 countries. These national genomic-medicine initiatives are driving transformative change under real-life conditions while simultaneously addressing barriers to implementation and gathering evidence for wider adoption. We review the diversity of approaches and current progress made by national genomic-medicine initiatives in the UK, France, Australia, and US and provide a roadmap for sharing strategies, standards, and data internationally to accelerate implementation.",American journal of human genetics,2019,"Australia; Delivery of Health Care; Evidence-Based Medicine; France; Genetics, Medical; Genomics; Humans; Information Dissemination; International Cooperation; Private Sector; United Kingdom; United States",False,7
All of Us,31633387,Precision Health: Bringing Oral Health into the Context of Overall Health.,"Unprecedented advances in genomics, data science, and biotechnology have ushered in a new era of health care in which interventions are increasingly tailored to individual patients. Precision-based approaches extend to oral health, which is essential to overall health. Harnessing the full potential of precision oral health will depend on research to more fully understand the factors that underlie health and contribute to disease-including the human genome, microbiome, epigenome, proteome, and others.",Advances in dental research,2019,"Genome, Human; Genomics; Humans; Oral Health; Precision Medicine; Proteome",False,7
All of Us,31877158,What Twitter teaches us about patient-provider communication on pain.,"The objective of this study was to understand how pain patients and health care providers (HCPs) are engaging on Twitter and what insights this engagement might provide. By identifying how information is spread by and between these audiences, organizations such as patient advocacy groups may be better poised to develop and share materials that facilitate online communication between HCPs and pain patients, with an end goal of improving a shared decision-making process around pain management. We analyzed the Twitter audiences most engaged on pain topics by conducting a Social Network Analysis (SNA) of a large network of connected users on Twitter. The analysis segmented users based on the sources they cited and measured their influence based on who follows them. As a point of comparison, we also conducted an SNA of Twitter audiences most engaged on oncology topics. Oncology was chosen as a comparison due to what was perceived to be a highly developed online network of both patients and physicians. The populations included in this research included 12,086 accounts that were highly engaged on pain-related topics, and 12,617 accounts that were highly engaged on oncology-related topics. Network statistics were generated for variables including: word use, sources cited, retweets, and mentions. We also statistically analyzed the Twitter follow relationships among select HCPs and patient groups within each SNA. The creation of separate pain and oncology SNAs allowed the team to compare relationships and engagement related to these topics. We found that on Twitter, pain patients and providers appear to interact less than oncology patients and providers. Pain patients do not appear to follow medical professionals or share medical or health-related information on Twitter to the same extent as oncology patients. In addition, we found that pain patients do not communicate on Twitter in the same language as HCPs. Our results are important because they underscore that challenges in communication are not just problematic in face-to-face interactions, but also in digital social network (Twitter) interactions, serving as an additional roadblock to what can be shared decision-making opportunities around pain management. Contributing to this roadblock is access to quality information and a potential need for an online, evidence-based resource hub that could benefit the pain patient community in the same way that cancer.gov serves as a source of aggregated materials for oncology patients and HCPs. This study is an illustration of how social media networks like Twitter can be used to better understand the relationships, language gaps, and shared resources between pain patients and providers and offers a template for using digital social network (Twitter) interactions to research other difficult-to-treat or rare disease states.",PloS one,2019,Health Information Systems; Humans; Online Social Networking; Pain; Physician-Patient Relations; Social Media,False,5
