PMID,Biobank,Year,Title,population_stratification_mentioned,population_stratification_confidence,population_stratification_severity,population_stratification_mesh,population_stratification_keywords,batch_effects_mentioned,batch_effects_confidence,batch_effects_severity,batch_effects_mesh,batch_effects_keywords,missing_data_mentioned,missing_data_confidence,missing_data_severity,missing_data_mesh,missing_data_keywords,sampling_bias_mentioned,sampling_bias_confidence,sampling_bias_severity,sampling_bias_mesh,sampling_bias_keywords,technical_variation_mentioned,technical_variation_confidence,technical_variation_severity,technical_variation_mesh,technical_variation_keywords
16783631,UK Biobank,2006,Expression genetics and the phenotype revolution.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
16675786,UK Biobank,2006,Will UK Biobank pay off?,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,1,,0,0.0,none,0,,0,0.0,none,0,
16880826,UK Biobank,2006,Approaching the shared biology of obesity and depression: the stress axis as the locus of gene-environment interactions.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
16789317,UK Biobank,2006,"One million people, one medical gamble.",0,0.0,none,0,,0,0.0,none,1,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
16741348,UK Biobank,2006,From hype to mothballs in four years: troubles in the development of large-scale DNA biobanks in Europe.,0,0.0,none,0,,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,mar,0,0.0,none,0,,0,0.0,none,0,
16515401,UK Biobank,2006,Pharmacogenomic data sample collection and storage: ethical issues and policy approaches.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,1,,0,0.0,none,0,,0,0.0,none,0,
17014726,UK Biobank,2006,Generation Scotland: the Scottish Family Health Study; a new resource for researching genes and heritability.,1,0.3333333333333333,low,1,race,0,0.0,none,1,,1,0.3333333333333333,mentioned,1,mar,0,0.0,none,1,,0,0.0,none,0,
16639837,UK Biobank,2006,UK Biobank launched to mixed reception.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,1,,0,0.0,none,0,,0,0.0,none,0,
17906329,UK Biobank,2007,Forensic databases: benefits and ethical and social costs.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,inclusion,0,0.0,none,0,
17574079,UK Biobank,2007,UK Biobank: bank on it.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
17395934,UK Biobank,2007,UK Biobank gets 10% response rate as it starts recruiting volunteers.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
18381398,UK Biobank,2008,"The UK Biobank sample handling and storage protocol for the collection, processing and archiving of human blood and urine.",0,0.0,none,0,,0,0.0,none,1,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,1,
18370851,UK Biobank,2008,Taiwan Biobank: a project aiming to aid Taiwan's transition into a biomedical island.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
18381389,UK Biobank,2008,The UK Biobank sample handling and storage validation studies.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,healthy volunteer,0,0.0,none,0,
18381388,UK Biobank,2008,UK Biobank Pilot Study: stability of haematological and clinical chemistry analytes.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,assay variability
18381390,UK Biobank,2008,A GC-TOF-MS study of the stability of serum and urine metabolomes during the UK Biobank sample collection and preparation protocols.,1,0.3333333333333333,low,0,principal component,0,0.0,none,0,,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,healthy volunteer,0,0.0,none,0,
18381396,UK Biobank,2008,Design and implementation of a large-scale liquid nitrogen archive.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
18381395,UK Biobank,2008,Designing and implementing a large-scale automated -80 degrees C archive.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
18381393,UK Biobank,2008,Design and implementation of a high-throughput biological sample processing facility using modern manufacturing principles.,0,0.0,none,0,,0,0.0,none,1,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,1,
18381394,UK Biobank,2008,Designing an automated blood fractionation system.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
18381391,UK Biobank,2008,High-throughput 1H NMR-based metabolic analysis of human serum and urine for large-scale epidemiological studies: validation study.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
18381392,UK Biobank,2008,EBV Immortalization of human B lymphocytes separated from small volumes of cryo-preserved whole blood.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
19345813,UK Biobank,2009,An afternoon at UK Biobank.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,1,,0,0.0,none,0,
19033256,UK Biobank,2009,Environmental exposure measurement in cancer epidemiology.,0,0.0,none,0,,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,mar,0,0.0,none,0,,0,0.0,none,0,
19748601,UK Biobank,2009,The UK Biobank project: trust and altruism are alive and well: a model for achieving public support for research using personal data.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
19914512,UK Biobank,2009,Role of the UK Biobank Ethics and Governance Council.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
20726090,UK Biobank,2009,Population health data. Get a load of me.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
20923579,UK Biobank,2010,Current standards for the storage of human samples in biobanks.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,quality control
20520805,UK Biobank,2010,Markers of dysglycaemia and risk of coronary heart disease in people without diabetes: Reykjavik prospective study and systematic review.,0,0.0,none,0,,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,mar,0,0.0,none,0,,0,0.0,none,0,
20949382,UK Biobank,2011,Genetic research and biobanks.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
21715443,UK Biobank,2011,Cardiovascular MRI in clinical trials: expanded applications through novel surrogate endpoints.,0,0.0,none,0,,0,0.0,none,1,,1,0.3333333333333333,mentioned,0,mar,0,0.0,none,0,,0,0.0,none,0,
21917745,UK Biobank,2011,"Saliva, diagnostics, and dentistry.",0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
21214973,UK Biobank,2011,Putting the teeth into the UK Biobank.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,1,,1,0.3333333333333333,mentioned,1,inclusion,0,0.0,none,0,
21507012,UK Biobank,2011,Enterprising or altruistic selves? Making up research subjects in genetics research.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,1,,0,0.0,none,0,
21766192,UK Biobank,2011,Reflexive governance in biobanking: on the value of policy led approaches and the need to recognise the limits of law.,0,0.0,none,0,,0,0.0,none,1,,1,0.3333333333333333,mentioned,0,mar,0,0.0,none,0,,0,0.0,none,1,
22463865,UK Biobank,2012,What makes UK Biobank special?,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
22693700,UK Biobank,2012,Genetic epidemiology.,0,0.0,none,1,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
22794246,UK Biobank,2012,The UK Biobank and selection bias.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,selection bias,0,0.0,none,0,
22411865,UK Biobank,2012,New models for large prospective studies: is there a better way?,0,0.0,none,0,,0,0.0,none,1,,0,0.0,none,0,,0,0.0,none,1,,0,0.0,none,0,
23148109,UK Biobank,2012,Effects of the UK Biobank collection protocol on potential biomarkers in saliva.,0,0.0,none,0,,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,mar,0,0.0,none,0,,0,0.0,none,0,
22722691,UK Biobank,2012,The privacy-reciprocity connection in biobanking: comparing German with UK strategies.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
22470161,UK Biobank,2012,UK Biobank opens it data vaults to researchers.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
23220717,UK Biobank,2012,Data resource profile: cardiovascular disease research using linked bespoke studies and electronic health records (CALIBER).,0,0.0,none,0,,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,mar,0,0.0,none,0,,0,0.0,none,0,
24057481,UK Biobank,2013,Osteoporosis epidemiology in UK Biobank: a unique opportunity for international researchers.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
24336235,UK Biobank,2014,"Heaviness, health and happiness: a cross-sectional study of 163066 UK Biobank participants.",0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
24336895,UK Biobank,2013,Parental diabetes and birthweight in 236 030 individuals in the UK biobank study.,1,0.6666666666666666,mentioned,0,ethnic|ethnicity,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
24282498,UK Biobank,2013,"Prevalence and characteristics of probable major depression and bipolar disorder within UK biobank: cross-sectional study of 172,751 participants.",1,0.6666666666666666,mentioned,0,ethnic|ethnicity,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,mar,1,0.3333333333333333,mentioned,0,socioeconomic,0,0.0,none,0,
24360142,UK Biobank,2014,The prevalence of tinnitus and the relationship with neuroticism in a middle-aged UK population.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
23714095,UK Biobank,2013,"Imaging in population science: cardiovascular magnetic resonance in 100,000 participants of UK Biobank - rationale, challenges and approaches.",0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,quality control
23958225,UK Biobank,2013,New normative values for handgrip strength: results from the UK Biobank.,1,0.6666666666666666,low,0,ethnic|stratification,0,0.0,none,0,,1,0.6666666666666666,mentioned,0,missing data|mar,0,0.0,none,0,,0,0.0,none,0,
23604069,UK Biobank,2013,Activity recognition using a single accelerometer placed at the wrist or ankle.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
23990935,UK Biobank,2013,Crowdsourcing as a novel technique for retinal fundus photography classification: analysis of images in the EPIC Norfolk cohort on behalf of the UK Biobank Eye and Vision Consortium.,0,0.0,none,0,,0,0.0,none,1,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,1,
23692896,UK Biobank,2013,"Completeness and diagnostic validity of recording acute myocardial infarction events in primary care, hospital care, disease registry, and national mortality records: cohort study.",0,0.0,none,0,,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,mar,0,0.0,none,0,,0,0.0,none,1,
23593036,UK Biobank,2013,Functional IL6R 358Ala allele impairs classical IL-6 receptor signaling and influences risk of diverse inflammatory diseases.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
24553384,UK Biobank,2014,UK biobank data: come and get it.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
25386229,UK Biobank,2014,Self-Reported Facial Pain in UK Biobank Study: Prevalence and Associated Factors.,1,0.6666666666666666,mentioned,0,ethnic|ethnicity,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
24336235,UK Biobank,2014,"Heaviness, health and happiness: a cross-sectional study of 163066 UK Biobank participants.",0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
24513227,UK Biobank,2014,Cognitive functioning in obstructive lung disease: results from the United Kingdom biobank.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
24732693,UK Biobank,2014,"Prevalence, associated factors, and comorbid conditions for Ménière's disease.",0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
24888710,UK Biobank,2014,Vision impairment and dual sensory problems in middle age.,1,1.0,low,0,ethnic|ethnicity|diverse population,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,mar,1,0.6666666666666666,mentioned,0,socioeconomic|minority,0,0.0,none,0,
25538617,UK Biobank,2014,The effect of functional hearing loss and age on long- and short-term visuospatial memory: evidence from the UK biobank resource.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
24360142,UK Biobank,2014,The prevalence of tinnitus and the relationship with neuroticism in a middle-aged UK population.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
24974975,UK Biobank,2014,"Ethnic-specific obesity cutoffs for diabetes risk: cross-sectional study of 490,288 UK biobank participants.",1,0.3333333333333333,medium,0,ethnic,0,0.0,none,0,,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,socioeconomic,0,0.0,none,0,
24884621,UK Biobank,2014,"Gender differences in the association between adiposity and probable major depression: a cross-sectional study of 140,564 UK Biobank participants.",0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
25122018,UK Biobank,2014,"The tobacco industry, researchers, and ethical access to UK Biobank: using the public interest and public good.",0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
25098414,UK Biobank,2014,Critical issues in international biobanking.,0,0.0,none,0,,0,0.0,none,1,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,1,
25503070,UK Biobank,2014,Association of dietary factors with presence and severity of tinnitus in a middle-aged UK population.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
25490859,UK Biobank,2014,"Chronic multisite pain in major depression and bipolar disorder: cross-sectional study of 149,611 participants in UK Biobank.",0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
24899378,UK Biobank,2014,"Cigarette smoking, passive smoking, alcohol consumption, and hearing loss.",0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
25229622,UK Biobank,2014,"Relation between speech-in-noise threshold, hearing loss and cognition from 40-69 years of age.",0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
24755478,UK Biobank,2014,New reference values for body composition by bioelectrical impedance analysis in the general population: results from the UK Biobank.,1,1.0,mentioned,0,ethnic|ethnicity|stratification,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,missing data,0,0.0,none,0,,0,0.0,none,0,
24518430,UK Biobank,2014,Hearing in middle age: a population snapshot of 40- to 69-year olds in the United Kingdom.,1,0.3333333333333333,mentioned,0,ethnic,0,0.0,none,0,,0,0.0,none,0,,1,0.6666666666666666,mentioned,1,socioeconomic|minority,0,0.0,none,0,
25550291,UK Biobank,2014,Do smoking habits differ between women and men in contemporary Western populations? Evidence from half a million people in the UK Biobank study.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
25085103,UK Biobank,2014,Understanding the impact of pre-analytic variation in haematological and clinical chemistry analytes on the power of association studies.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,1,0.6666666666666666,mentioned,0,analytical variation|pre-analytical
25826379,UK Biobank,2015,UK biobank: an open access resource for identifying the causes of a wide range of complex diseases of middle and old age.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
26151266,UK Biobank,2015,Association of Cardiometabolic Multimorbidity With Mortality.,0,0.0,none,0,,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,mar,0,0.0,none,0,,0,0.0,none,0,
26598488,UK Biobank,2015,The UK Biobank.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
26315700,UK Biobank,2015,Measures of socioeconomic status and self-reported glaucoma in the U.K. Biobank cohort.,0,0.0,none,0,,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,mar,1,0.3333333333333333,mentioned,0,socioeconomic,0,0.0,none,0,
26049251,UK Biobank,2015,UK Biobank comes of age.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
26070470,UK Biobank,2015,On the relationship between functional hearing and depression.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
26700411,UK Biobank,2016,Women's reproductive health factors and body adiposity: findings from the UK Biobank.,1,0.3333333333333333,medium,0,ethnic,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,mar,1,0.3333333333333333,mentioned,0,socioeconomic,0,0.0,none,0,
26430771,UK Biobank,2015,Frequency and Distribution of Refractive Error in Adult Life: Methodology and Findings of the UK Biobank Study.,1,0.6666666666666666,mentioned,0,ethnic|ethnicity,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
25532548,UK Biobank,2015,Understanding visual impairment in UK Biobank.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
25730447,UK Biobank,2015,Mental Health and Subjective Well-being of Individuals With Ménière's: Cross-sectional Analysis in the UK Biobank.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
25749558,UK Biobank,2015,Physical activity in relation to body size and composition in women in UK Biobank.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
26703498,UK Biobank,2015,"Laser refractive surgery in the UK Biobank study: Frequency, distribution by sociodemographic factors, and general health, happiness, and social participation outcomes.",0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
26647871,UK Biobank,2015,"Cognitive function and lifetime features of depression and bipolar disorder in a large population sample: Cross-sectional study of 143,828 UK Biobank participants.",0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
26084728,UK Biobank,2015,"Puberty timing associated with diabetes, cardiovascular disease and also diverse health outcomes in men and women: the UK Biobank study.",1,0.6666666666666666,medium,0,ethnic|ethnicity,0,0.0,none,0,,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,socioeconomic,0,0.0,none,0,
25766493,UK Biobank,2015,"Investigating the association between tinnitus severity and symptoms of depression and anxiety, while controlling for neuroticism, in a large middle-aged UK population.",0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
25760329,UK Biobank,2015,"Hearing loss and cognition: the role of hearing AIDS, social isolation and depression.",0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,socioeconomic,0,0.0,none,0,
26445480,UK Biobank,2015,Ethnic differences in the association between depression and chronic pain: cross sectional results from UK Biobank.,1,1.0,high,0,ethnic|ethnicity|confounding,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,mar,1,0.3333333333333333,mentioned,0,inclusion,0,0.0,none,0,
26423011,UK Biobank,2015,"Novel insights into the genetics of smoking behaviour, lung function, and chronic obstructive pulmonary disease (UK BiLEVE): a genetic association study in UK Biobank.",1,1.0,mentioned,1,ancestry|european ancestry|genetic association,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,mar,0,0.0,none,0,,0,0.0,none,0,
26049253,UK Biobank,2015,"5 year mortality predictors in 498,103 UK Biobank participants: a prospective population-based study.",0,0.0,none,0,,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,mar,0,0.0,none,0,,0,0.0,none,0,
26448589,UK Biobank,2015,Role of Educational Exposure in the Association Between Myopia and Birth Order.,1,0.6666666666666666,medium,0,ethnic|ethnicity,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
26496350,UK Biobank,2015,Accuracy of Electronic Health Record Data for Identifying Stroke Cases in Large-Scale Epidemiological Studies: A Systematic Review from the UK Biobank Stroke Outcomes Group.,1,0.3333333333333333,mentioned,0,race,0,0.0,none,1,,1,0.3333333333333333,mentioned,0,mar,1,0.3333333333333333,mentioned,0,inclusion,0,0.0,none,1,
25551408,UK Biobank,2015,"Associations of Leg Length, Trunk Length, and Total Adult Height With Ménière's: Cross-Sectional Analysis in the UK Biobank.",1,0.6666666666666666,medium,0,ethnic|ethnicity,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,mar,1,0.3333333333333333,mentioned,0,socioeconomic,0,0.0,none,0,
26654569,UK Biobank,2016,Ethnic differences in sleep duration and morning-evening type in a population sample.,1,1.0,medium,0,ethnic|ethnicity|race,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
26481672,UK Biobank,2016,An integrated approach to correction for off-resonance effects and subject movement in diffusion MR imaging.,0,0.0,none,0,,0,0.0,none,1,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
26670686,UK Biobank,2015,Models of biobanks and implications for reproductive health innovation.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
26678491,UK Biobank,2016,Chronic widespread bodily pain is increased among individuals with history of fracture: findings from UK Biobank.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,socioeconomic,0,0.0,none,0,
26302374,UK Biobank,2015,"The Effect of Prenatal and Childhood Development on Hearing, Vision and Cognition in Adulthood.",0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,socioeconomic,0,0.0,none,0,
26000792,UK Biobank,2015,Suitability of UK Biobank Retinal Images for Automatic Analysis of Morphometric Properties of the Vasculature.,0,0.0,none,0,,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,mar,0,0.0,none,0,,0,0.0,none,0,
26355837,UK Biobank,2015,Accuracy of Patient Self-Report of Stroke: A Systematic Review from the UK Biobank Stroke Outcomes Group.,0,0.0,none,0,,0,0.0,none,1,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,1,
26746598,UK Biobank,2016,Spectral-Domain Optical Coherence Tomography Imaging in 67 321 Adults: Associations with Macular Thickness in the UK Biobank Study.,1,0.6666666666666666,medium,0,ethnic|ethnicity,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,mar,1,0.3333333333333333,mentioned,0,inclusion,0,0.0,none,0,
25966015,UK Biobank,2015,"Use of electronic health records to ascertain, validate and phenotype acute myocardial infarction: A systematic review and recommendations.",0,0.0,none,0,,0,0.0,none,1,,1,0.3333333333333333,mentioned,0,mar,0,0.0,none,0,,0,0.0,none,1,
26526341,UK Biobank,2015,Can large surveys conducted on highly selected populations provide valid information on the epidemiology of common health conditions? An analysis of UK Biobank data on musculoskeletal pain.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
25886648,UK Biobank,2015,"Relationship between smoking and obesity: a cross-sectional study of 499,504 middle-aged adults in the UK general population.",1,0.3333333333333333,high,0,confounding,0,0.0,none,0,,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,socioeconomic,0,0.0,none,0,
27123493,UK Biobank,2015,"Season of birth is associated with birth weight, pubertal timing, adult body size and educational attainment: a UK Biobank study.",0,0.0,none,0,,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,mar,0,0.0,none,0,,0,0.0,none,0,
26652593,UK Biobank,2016,The acceptability of repeat Internet-based hybrid diet assessment of previous 24-h dietary intake: administration of the Oxford WebQ in UK Biobank.,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
27631769,UK Biobank,2016,Algorithms for the Capture and Adjudication of Prevalent and Incident Diabetes in UK Biobank.,0,0.0,none,0,,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,mar,1,0.3333333333333333,mentioned,0,external validity,0,0.0,none,0,
27643430,UK Biobank,2016,Multimodal population brain imaging in the UK Biobank prospective epidemiological study.,0,0.0,none,0,,0,0.0,none,0,,1,0.3333333333333333,mentioned,0,mar,0,0.0,none,0,,0,0.0,none,0,
27225129,UK Biobank,2016,Genome-wide association study identifies 74 loci associated with educational attainment.,1,0.3333333333333333,medium,1,gwas,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
27863252,UK Biobank,2016,The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.,1,0.3333333333333333,mentioned,1,ancestry,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,,0,0.0,none,0,
